 (Half Day),(نصف يوم)
Project Name,اسم المشروع
Project Start Date,المشروع تاريخ البدء
Project Type,نوع المشروع
Project Value,المشروع القيمة
Project activity / task.,مشروع النشاط / المهمة.
Project master.,المشروع الرئيسي.
Project will get saved and will be searchable with project name given,سوف تحصل على حفظ المشروع وسوف تكون قابلة للبحث مع اسم مشروع معين
Project wise Stock Tracking,مشروع تتبع حركة الأسهم الحكمة
Projected Qty,الكمية المتوقع
Projects,مشاريع
Prompt for Email on Submission of,المطالبة البريد الالكتروني على تقديم
Properties,خصائص
Property,ممتلكات
Property Setter,الملكية واضعة
Property Setter overrides a standard DocType or Field property,واضعة الملكية يتجاوز خاصية DOCTYPE أو حقل القياسية
Property Type,نوع الملكية
Provide email id registered in company,توفير معرف البريد الإلكتروني المسجلة في الشركة
Public,جمهور
Published,نشرت
Published On,نشرت يوم
Pull Emails from the Inbox and attach them as Communication records (for known contacts).,سحب رسائل البريد الإلكتروني من علبة الوارد وإرفاقها كسجلات الاتصالات (الاتصالات المعروفة لل).
Pull Payment Entries,سحب مقالات الدفع
Pull sales orders (pending to deliver) based on the above criteria,سحب أوامر البيع (في انتظار لتسليم) بناء على المعايير المذكورة أعلاه
Purchase,شراء
Purchase Analytics,شراء تحليلات
Purchase Common,شراء المشتركة
Purchase Date,تاريخ شراء
Purchase Details,تفاصيل شراء
Purchase Discounts,شراء خصومات
Purchase Document No,شراء الوثيقة رقم
Purchase Document Type,شراء نوع الوثيقة
Purchase In Transit,شراء في العبور
Purchase Invoice,شراء الفاتورة
Purchase Invoice Advance,فاتورة الشراء مقدما
Purchase Invoice Advances,شراء السلف الفاتورة
Purchase Invoice Item,شراء السلعة الفاتورة
Purchase Invoice Trends,شراء اتجاهات الفاتورة
Purchase Order,أمر الشراء
Purchase Order Date,شراء الترتيب التاريخ
Purchase Order Item,شراء السلعة ترتيب
Purchase Order Item No,شراء السلعة طلب No
Purchase Order Item Supplied,شراء السلعة ترتيب الموردة
Purchase Order Items,شراء سلع ترتيب
Purchase Order Items Supplied,عناصر يوفرها أمر الشراء
Purchase Order Items To Be Billed,أمر الشراء البنود لتكون وصفت
Purchase Order Items To Be Received,أمر شراء الأصناف التي سترد
Purchase Order Message,رسالة طلب شراء
Purchase Order Required,أمر الشراء المطلوبة
Purchase Order Trends,شراء اتجاهات ترتيب
Purchase Order sent by customer,أمر الشراء المرسلة من قبل العملاء
Purchase Orders given to Suppliers.,أوامر الشراء نظرا للموردين.
Purchase Receipt,شراء استلام
Purchase Receipt Item,شراء السلعة استلام
Purchase Receipt Item Supplied,شراء السلعة استلام الموردة
Purchase Receipt Item Supplieds,شراء السلعة استلام Supplieds
Purchase Receipt Items,شراء قطع الإيصال
Purchase Receipt Message,رسالة إيصال شراء
Purchase Receipt No,لا شراء استلام
Purchase Receipt Required,مطلوب إيصال الشراء
Purchase Receipt Trends,شراء اتجاهات الإيصال
Purchase Register,سجل شراء
Purchase Return,شراء العودة
Purchase Returned,عاد شراء
Purchase Taxes and Charges,الضرائب والرسوم الشراء
Purchase Taxes and Charges Master,ضرائب المشتريات ورسوم ماجستير
Purpose,غرض
Purpose must be one of ,يجب أن يكون غرض واحد من
Python Module Name,بيثون اسم وحدة
QA Inspection,QA التفتيش
QAI/11-12/,QAI/11-12 /
QTN,QTN
Qty,الكمية
Qty Consumed Per Unit,الكمية المستهلكة لكل وحدة
Qty To Manufacture,لتصنيع الكمية
Qty as per Stock UOM,حسب الكمية سهم UOM
Qualification,المؤهل
Quality,جودة
Quality Inspection,فحص الجودة
Quality Inspection Parameters,معايير الجودة التفتيش
Quality Inspection Reading,جودة التفتيش القراءة
Quality Inspection Readings,قراءات نوعية التفتيش
Quantity,كمية
Quantity Requested for Purchase,مطلوب للشراء كمية
Quantity already manufactured,الكمية المصنعة بالفعل
Quantity and Rate,كمية وقيم
Quantity and Warehouse,الكمية والنماذج
Quantity cannot be a fraction.,الكمية لا يمكن أن يكون الكسر.
Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,كمية البند تم الحصول عليها بعد تصنيع / إعادة التعبئة من كميات معينة من المواد الخام
Quantity should be equal to Manufacturing Quantity. ,يجب أن تكون كمية مساوية لتصنيع الكمية.
Quarter,ربع
Quarterly,فصلي
Query,سؤال
Query Options,خيارات الاستعلام
Query Report,الاستعلام عن
Query must be a SELECT,يجب أن يكون الاستعلام SELECT
Quick Help for Setting Permissions,مساعدة سريعة لوضع ضوابط
Quick Help for User Properties,مساعدة سريعة عن خصائص المستخدم
Quotation,اقتباس
Quotation Date,اقتباس تاريخ
Quotation Item,اقتباس الإغلاق
Quotation Items,اقتباس عناصر
Quotation Lost Reason,فقدت اقتباس السبب
Quotation Message,اقتباس رسالة
Quotation Sent,اقتباس المرسلة
Quotation Series,سلسلة الاقتباس
Quotation To,اقتباس
Quotation Trend,تريند الاقتباس
Quotations received from Suppliers.,الاقتباسات الواردة من الموردين.
Quotes to Leads or Customers.,اقتباسات لعروض أو العملاء.
Raise Material Request when stock reaches re-order level,رفع طلب المواد عند الأسهم تصل إلى مستوى إعادة الطلب
Raised By,التي أثارها
Raised By (Email),التي أثارها (بريد إلكتروني)
Random,عشوائي
Range,نطاق
Rate,معدل
Rate ,معدل
Rate (Company Currency),معدل (عملة الشركة)
Rate Of Materials Based On,معدل المواد التي تقوم على
Rate and Amount,معدل والمبلغ
Rate at which Customer Currency is converted to customer's base currency,المعدل الذي يتم تحويل العملة إلى عملة الأساس العملاء العميل
Rate at which Price list currency is converted to company's base currency,المعدل الذي يتم تحويل سعر العملة العملة الأساسية القائمة لشركة
Rate at which Price list currency is converted to customer's base currency,المعدل الذي يتم تحويل سعر العملة العملة الأساسية القائمة لالعملاء
Rate at which customer's currency is converted to company's base currency,المعدل الذي يتم تحويل العملة إلى عملة العميل قاعدة الشركة
Rate at which supplier's currency is converted to company's base currency,المعدل الذي يتم تحويل العملة إلى عملة المورد قاعدة الشركة
Rate at which this tax is applied,المعدل الذي يتم تطبيق هذه الضريبة
Raw Material Item Code,قانون المواد الخام المدينة
Raw Materials Supplied,المواد الخام الموردة
Raw Materials Supplied Cost,المواد الخام الموردة التكلفة
Re-Order Level,إعادة ترتيب مستوى
