 (Half Day),(Poludnevni)
"Replace a particular BOM in all other BOMs where it is used. It will replace the old BOM link, update cost and regenerate ""BOM Explosion Item"" table as per new BOM","Zamijenite određeni BOM u svim drugim sastavnicama gdje se koriste. To će zamijeniti staru vezu BOM, ažurirati troškove i regenerirati &quot;BOM eksploziju predmeta&quot; stol kao i po novom BOM"
Replied,Odgovorio
Report,Prijavi
Report Builder,Report Builder
Report Builder reports are managed directly by the report builder. Nothing to do.,Report Builder izvješća se izravno upravlja Report Builder. Ništa učiniti.
Report Date,Prijavi Datum
Report Hide,Prijavi Sakrij
Report Name,Naziv izvješća
Report Type,Prijavi Vid
Report was not saved (there were errors),Izvješće nije spašen (bilo pogrešaka)
Reports,Izvješća
Reports to,Izvješća
Represents the states allowed in one document and role assigned to change the state.,Predstavlja stanja dopušteni u jednom dokumentu i uloge dodijeljene promijeniti stanje.
Reqd,Reqd
Reqd By Date,Reqd Po datumu
Request Type,Zahtjev Tip
Request for Information,Zahtjev za informacije
Request for purchase.,Zahtjev za kupnju.
Requested By,Traženi Do
Requested Items To Be Ordered,Traženi Proizvodi se mogu naručiti
Requested Items To Be Transferred,Traženi stavki za prijenos
Requests for items.,Zahtjevi za stavke.
Required By,Potrebna Do
Required Date,Potrebna Datum
Required Qty,Potrebna Kol
Required only for sample item.,Potrebna je samo za primjer stavke.
Required raw materials issued to the supplier for producing a sub - contracted item.,Potrebna sirovina izdane dobavljač za proizvodnju pod - ugovoreni predmet.
Reseller,Prodavač
Reserved Quantity,Rezervirano Količina
Reserved Warehouse,Rezervirano galerija
Reserved Warehouse in Sales Order / Finished Goods Warehouse,Rezervirano Warehouse u prodajni nalog / skladišta gotovih proizvoda
Reserved Warehouse is missing in Sales Order,Rezervirano Warehouse nedostaje u prodajni nalog
Resignation Letter Date,Ostavka Pismo Datum
Resolution,Rezolucija
Resolution Date,Rezolucija Datum
Resolution Details,Rezolucija o Brodu
Resolved By,Riješen Do
Restrict IP,Zabraniti IP
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111),Zabraniti korisnika iz ove IP adrese samo. Višestruki IP adrese može biti dodan odvajajući zarezima. Također prihvaća djelomične IP adrese kao što su (111.111.111)
Restricting By User,Ograničavanje strane korisnika
Retail,Maloprodaja
Retailer,Prodavač na malo
Review Date,Recenzija Datum
Rgt,Ustaša
Right,Desno
Role,Uloga
Role Allowed to edit frozen stock,Uloga dopuštenih urediti smrznute zalihe
Role Name,Uloga Ime
Role that is allowed to submit transactions that exceed credit limits set.,Uloga koja je dopušteno podnijeti transakcije koje premašuju kreditnih ograničenja postavljena.
Roles,Uloge
Roles Assigned,Uloge Dodijeljeni
Roles Assigned To User,Uloge dodijeljena Korisniku
Roles HTML,Uloge HTML
Root ,Korijen
Root cannot have a parent cost center,Korijen ne mogu imati središte troškova roditelj
Rounded Total,Zaobljeni Ukupno
Rounded Total (Company Currency),Zaobljeni Ukupno (Društvo valuta)
Row,Red
Row ,Red
Row #,Redak #
Row # ,Redak #
Rules defining transition of state in the workflow.,Pravila definiraju prijelaz stanja u tijek rada.
"Rules for how states are transitions, like next state and which role is allowed to change state etc.","Pravila za koliko su države prijelaza, kao i sljedeći države i koja uloga je dozvoljeno da promijeni stanje itd."
Rules to calculate shipping amount for a sale,Pravila za izračun shipping iznos za prodaju
SLE Exists,SLE Exists
SMS,SMS
SMS Center,SMS centar
SMS Control,SMS kontrola
SMS Gateway URL,SMS Gateway URL
SMS Log,SMS Prijava
SMS Parameter,SMS parametra
SMS Parameters,SMS Parametri
SMS Sender Name,SMS Sender Ime
SMS Settings,Postavke SMS
SMTP Server (e.g. smtp.gmail.com),SMTP poslužitelj (npr. smtp.gmail.com)
SO,SO
SO Date,SO Datum
SO Pending Qty,SO čekanju Kol
SO/10-11/,SO/10-11 /
SO1112,SO1112
SQTN,SQTN
STE,Ste
SUP,SUP
SUPP,Supp
SUPP/10-11/,SUPP/10-11 /
Salary,Plata
Salary Information,Plaća informacije
Salary Manager,Plaća Manager
Salary Mode,Plaća način
Salary Slip,Plaća proklizavanja
Salary Slip Deduction,Plaća proklizavanja Odbitak
Salary Slip Earning,Plaća proklizavanja Zarada
Salary Structure,Plaća Struktura
Salary Structure Deduction,Plaća Struktura Odbitak
Salary Structure Earning,Plaća Struktura Zarada
Salary Structure Earnings,Plaća Struktura Zarada
Salary breakup based on Earning and Deduction.,Plaća raspada temelju zarađivati ​​i odbitka.
Salary components.,Plaća komponente.
Sales,Prodajni
Sales Analytics,Prodaja Analitika
Sales BOM,Prodaja BOM
Sales BOM Help,Prodaja BOM Pomoć
Sales BOM Item,Prodaja BOM artikla
Sales BOM Items,Prodaja BOM Proizvodi
Sales Common,Prodaja Zajedničke
Sales Details,Prodaja Detalji
Sales Discounts,Prodaja Popusti
Sales Email Settings,Prodaja Postavke e-pošte
Sales Extras,Prodaja Dodaci
Sales Invoice,Prodaja fakture
Sales Invoice Advance,Prodaja Račun Predujam
Sales Invoice Item,Prodaja Račun artikla
Sales Invoice Items,Prodaja stavke računa
Sales Invoice Message,Prodaja Račun Poruka
Sales Invoice No,Prodaja Račun br
Sales Invoice Trends,Prodaja Račun trendovi
Sales Order,Prodajnog naloga
Sales Order Date,Prodaja Datum narudžbe
Sales Order Item,Prodajnog naloga artikla
Sales Order Items,Prodaja Narudžbe Proizvodi
Sales Order Message,Prodajnog naloga Poruka
Sales Order No,Prodajnog naloga Ne
Sales Order Required,Prodajnog naloga Obvezno
Sales Order Trend,Prodaja Naručite Trend
Sales Partner,Prodaja partner
Sales Partner Name,Prodaja Ime partnera
Sales Partner Target,Prodaja partner Target
Sales Partners Commission,Prodaja Partneri komisija
Sales Person,Prodaja Osoba
Sales Person Incharge,Prodaja Osoba Incharge
Sales Person Name,Prodaja Osoba Ime
Sales Person Target Variance (Item Group-Wise),Prodaja Osoba Target varijance (točka Group-Wise)
Sales Person Targets,Prodaje osobi Mete
Sales Person-wise Transaction Summary,Prodaja Osobne mudar Transakcija Sažetak
Sales Register,Prodaja Registracija
Sales Return,Prodaje Povratak
Sales Taxes and Charges,Prodaja Porezi i naknade
Sales Taxes and Charges Master,Prodaja Porezi i naknade Master
Sales Team,Prodaja Team
Sales Team Details,Prodaja Team Detalji
Sales Team1,Prodaja Team1
Sales and Purchase,Prodaja i kupnja
Sales campaigns,Prodaja kampanje
Sales persons and targets,Prodaja osobe i ciljevi
Sales taxes template.,Prodaja porezi predložak.
Sales territories.,Prodaja teritoriji.
Salutation,Pozdrav
Same file has already been attached to the record,Sve file već priključen na zapisnik
Sample Size,Veličina uzorka
Sanctioned Amount,Iznos kažnjeni
Saturday,Subota
Save,Spasiti
Schedule,Raspored
Schedule Details,Raspored Detalji
Scheduled,Planiran
Scheduled Confirmation Date,Planirano Potvrda Datum
Scheduled Date,Planirano Datum
Scheduler Log,Planer Prijava
School/University,Škola / Sveučilište
Score (0-5),Ocjena (0-5)
Score Earned,Ocjena Zarađeni
Scrap %,Otpad%
Script,Skripta
Script Report,Skripta Prijavi
Script Type,Skripta Tip
Script to attach to all web pages.,Skripta se priključiti na svim web stranicama.
Search,Traži
Search Fields,Search Polja
Seasonality for setting budgets.,Sezonalnost za postavljanje proračuna.
Section Break,Odjeljak Break
Security Settings,Sigurnosne postavke
"See ""Rate Of Materials Based On"" in Costing Section",Pogledajte &quot;stopa materijali na temelju troškova&quot; u odjeljak
Select,Odabrati
"Select ""Yes"" for sub - contracting items",Odaberite &quot;Da&quot; za pod - ugovorne stavke
"Select ""Yes"" if this item is to be sent to a customer or received from a supplier as a sample. Delivery notes and Purchase Receipts will update stock levels but there will be no invoice against this item.","Odaberite &quot;Da&quot; ako je ova stavka će biti poslan na kupca ili dobio od dobavljača kao uzorak. Otpremnice i kupnju primitke će ažurirati burzovne razinama, ali neće biti faktura protiv ove stavke."
"Select ""Yes"" if this item is used for some internal purpose in your company.",Odaberite &quot;Da&quot; ako ova stavka se koristi za neke unutarnje potrebe u vašoj tvrtki.
"Select ""Yes"" if this item represents some work like training, designing, consulting etc.","Odaberite &quot;Da&quot; ako ova stavka predstavlja neki posao poput treninga, projektiranje, konzalting i sl."
"Select ""Yes"" if you are maintaining stock of this item in your Inventory.",Odaberite &quot;Da&quot; ako ste održavanju zaliha ove točke u vašem inventaru.
"Select ""Yes"" if you supply raw materials to your supplier to manufacture this item.",Odaberite &quot;Da&quot; ako opskrbu sirovina na svoj dobavljača za proizvodnju ovu stavku.
Select All,Odaberite sve
Select Attachments,Odaberite privitke
Select Budget Distribution to unevenly distribute targets across months.,Odaberite Budget distribuciju neravnomjerno raspodijeliti ciljeve diljem mjeseci.
"Select Budget Distribution, if you want to track based on seasonality.","Odaberite Budget Distribution, ako želite pratiti na temelju sezonalnosti."
Select Customer,Izaberite klijenta
Select Digest Content,Odaberite Digest sadržaj
Select DocType,Odaberite DOCTYPE
Select Document Type,Odaberite vrstu dokumenta
Select Document Type or Role to start.,Odaberite vrstu dokumenta ili ulogu za početak.
Select Items,Odaberite stavke
Select PR,Odaberite PR
Select Print Format,Odaberite Print Format
Select Print Heading,Odaberite Ispis Naslov
Select Report Name,Odaberite Naziv izvješća
Select Role,Odaberite Uloga
Select Sales Orders,Odaberite narudžbe
Select Sales Orders from which you want to create Production Orders.,Odaberite narudžbe iz koje želite stvoriti radne naloge.
Select Terms and Conditions,Odaberite Uvjeti i pravila
Select Time Logs and Submit to create a new Sales Invoice.,Odaberite vrijeme Evidencije i slanje stvoriti novi prodajni fakture.
Select Transaction,Odaberite transakcija
Select Type,Odaberite Vid
Select User or Property to start.,Odaberite korisnika ili imovina za početak.
Select a Banner Image first.,Odaberite Slika Banner prvi.
Select account head of the bank where cheque was deposited.,Odaberite račun šefa banke gdje je ček bio pohranjen.
Select an image of approx width 150px with a transparent background for best results.,Odaberite sliku od cca 150px širine s transparentnom pozadinom za najbolje rezultate.
Select company name first.,Odaberite naziv tvrtke prvi.
Select dates to create a new ,Odaberite datume za stvaranje nove
Select name of Customer to whom project belongs,Odaberite ime kupca kojem projekt pripada
Select or drag across time slots to create a new event.,Odaberite ili povucite preko minutaže stvoriti novi događaj.
Select template from which you want to get the Goals,Odaberite predložak s kojeg želite dobiti ciljeva
Select the Employee for whom you are creating the Appraisal.,Odaberite zaposlenika za koga se stvara procjene.
Select the currency in which price list is maintained,Odaberite valutu u kojoj cjenik održava
Select the label after which you want to insert new field.,Odaberite oznaku nakon što želite umetnuti novo polje.
Select the period when the invoice will be generated automatically,Odaberite razdoblje kada faktura će biti generiran automatski
"Select the price list as entered in ""Price List"" master. This will pull the reference rates of items against this price list as specified in ""Item"" master.",Odaberite cjenik kao ušao u &quot;Cjenik&quot; gospodara. To će povući referentne stope predmeta protiv ove cjeniku kao što je navedeno u &quot;artikla&quot; gospodara.
Select the relevant company name if you have multiple companies,Odaberite odgovarajući naziv tvrtke ako imate više tvrtki
Select the relevant company name if you have multiple companies.,Odaberite odgovarajući naziv tvrtke ako imate više tvrtki.
Select who you want to send this newsletter to,Odaberite koji želite poslati ovu newsletter
"Selecting ""Yes"" will allow this item to appear in Purchase Order , Purchase Receipt.","Odabir &quot;Da&quot; omogućit će ovu stavku da se pojavi u narudžbenice, Otkup primitka."
"Selecting ""Yes"" will allow this item to figure in Sales Order, Delivery Note","Odabir &quot;Da&quot; omogućit će ovaj predmet shvatiti u prodajni nalog, otpremnici"
"Selecting ""Yes"" will allow you to create Bill of Material showing raw material and operational costs incurred to manufacture this item.",Odabir &quot;Da&quot; će vam omogućiti da stvorite Bill materijala pokazuje sirovina i operativne troškove nastale za proizvodnju ovu stavku.
"Selecting ""Yes"" will allow you to make a Production Order for this item.",Odabir &quot;Da&quot; će vam omogućiti da napravite proizvodnom nalogu za tu stavku.
"Selecting ""Yes"" will give a unique identity to each entity of this item which can be viewed in the Serial No master.",Odabir &quot;Da&quot; će dati jedinstveni identitet svakog entiteta ove točke koja se može vidjeti u rednim brojem učitelja.
Selling,Prodaja
Selling Settings,Prodaja postavki
Send,Poslati
Send Autoreply,Pošalji Automatski
Send Email,Pošaljite e-poštu
Send From,Pošalji Iz
Send Invite Email,Pošalji pozivnicu e
Send Me A Copy,Pošaljite mi kopiju
Send Notifications To,Slanje obavijesti
Send Print in Body and Attachment,Pošalji Ispis u tijelu i privrženosti
Send SMS,Pošalji SMS
Send To,Pošalji
Send To Type,Pošalji Upišite
Send an email reminder in the morning,Pošaljite e-mail podsjetnik u jutarnjim satima
Send automatic emails to Contacts on Submitting transactions.,Pošalji automatske poruke u Kontakte o podnošenju transakcije.
Send mass SMS to your contacts,Pošalji masovne SMS svojim kontaktima
Send regular summary reports via Email.,Pošalji redovite sažetak izvješća putem e-pošte.
Send to this list,Pošalji na ovom popisu
Sender,Pošiljalac
Sender Name,Pošiljatelj Ime
"Sending newsletters is not allowed for Trial users, \				to prevent abuse of this feature.","Slanje biltene nije dopušteno za suđenje korisnike, \ spriječiti zloupotrebe ove značajke."
Sent Mail,Poslana pošta
Sent On,Poslan Na
Sent Quotation,Sent Ponuda
Separate production order will be created for each finished good item.,Poseban proizvodnja kako će biti izrađen za svakog gotovog dobrom stavke.
