(Half Day),(Halber Tag)
Sales Common,Vertrieb Gemeinsame
Sales Dashboard,Sales Dashboard-
Sales Details,Sales Details
Sales Discounts,Sales Rabatte
Sales Email Settings,Vertrieb E-Mail-Einstellungen
Sales Extras,Verkauf Extras
Sales Invoice,Sales Invoice
Sales Invoice Advance,Sales Invoice Geleistete
Sales Invoice Item,Sales Invoice Artikel
Sales Invoice Message,Sales Invoice Nachricht
Sales Invoice No,Sales Invoice In
Sales Order,Sales Order
Sales Order Date,Sales Order Datum
Sales Order Item,Auftragsposition
Sales Order Items,Kundenauftragspositionen
Sales Order Message,Sales Order Nachricht
Sales Order No,In Sales Order
Sales Order Required,Sales Order erforderlich
Sales Orders Pending To Be Delivered,Bis Kundenaufträge zu liefernden
Sales Orders Pending to be Delivered,Bis Kundenaufträge zu liefernden
Sales Partner,Vertriebspartner
Sales Partner Details,Sales Partner Details
Sales Partner Name,Sales Partner Name
Sales Partner Target,Partner Sales Target
Sales Person,Sales Person
Sales Person Name,Sales Person Vorname
Sales Person Targets,Sales Person Targets
Sales Rate,Vertrieb bewerten
Sales Return,Umsatzrendite
Sales Returns,Rückware
Sales Taxes and Charges,Vertrieb Steuern und Abgaben
Sales Taxes and Charges Master,Vertrieb Steuern und Abgaben Meister
Sales Team,Sales Team
Sales Team Details,Sales Team Details
Sales Team1,Vertrieb Team1
Sales and Purchase,Verkauf und Kauf
Sales and Purchase Return Item,Sales and Purchase Zurück Artikel
Sales and Purchase Return Items,Verkauf und Kauf zurücksenden Artikel
Sales and Purchase Return Tool,Sales and Purchase Return-Tool
Sales campaigns,Sales-Kampagnen
Sales persons and targets,Vertriebsmitarbeiter und Ziele
Sales taxes template.,Umsatzsteuer-Vorlage.
Sales territories.,Vertriebsgebieten.
Salutation,Gruß
Sample Size,Stichprobenumfang
Sanctioned Amount,Sanktioniert Betrag
Sandbox,Sandkasten
Saturday,Samstag
Save,Sparen
Schedule,Planen
Scheduled,Geplant
Scheduled Confirmation Date,Voraussichtlicher Bestätigung
Scheduled Date,Voraussichtlicher
Scheduler Log,Scheduler Log
School/University,Schule / Universität
Score (0-5),Score (0-5)
Score Earned,Ergebnis Bekommen
Scrap %,Scrap%
Script,Skript
Script Type,Script Type
Script to attach to all web pages.,Script auf alle Webseiten zu befestigen.
Search,Suchen
Search Criteria,Suchkriterien
Search Fields,Search Fields
Search Help,Suchen Hilfe
Seasonality for setting budgets.,Saisonalität setzt Budgets.
Section Break,Section Break
Security Settings,Security Settings
Segment Name,Segment Name
Select,Wählen
"Select ""Yes"" for sub - contracting items","Wählen Sie ""Ja"" für - Zulieferer Artikel"
"Select ""Yes"" if this item is to be sent to a customer or received from a supplier as a sample. Delivery notes and Purchase Receipts will update stock levels but there will be no invoice against this item.","Wählen Sie ""Ja"", wenn dieser Punkt ist es, an den Kunden gesendet oder empfangen werden vom Lieferanten auf die Probe. Lieferscheine und Kaufbelege werden aktualisiert Lagerbestände, aber es wird auf der Rechnung vor diesem Element sein."
"Select ""Yes"" if this item is used for some internal purpose in your company.","Wählen Sie ""Ja"", wenn dieser Punkt für einige interne Zwecke in Ihrem Unternehmen verwendet wird."
"Select ""Yes"" if this item represents some work like training, designing, consulting etc.","Wählen Sie ""Ja"", wenn dieser Artikel stellt einige Arbeiten wie Ausbildung, Gestaltung, Beratung etc.."
"Select ""Yes"" if you are maintaining stock of this item in your Inventory.","Wählen Sie ""Ja"", wenn Sie Pflege stock dieses Artikels in Ihrem Inventar."
"Select ""Yes"" if you supply raw materials to your supplier to manufacture this item.","Wählen Sie ""Ja"", wenn Sie Rohstoffe an Ihren Lieferanten liefern, um diesen Artikel zu fertigen."
Select All,Alles auswählen
Select Attachments,Wählen Sie Attachments
Select Budget Distribution to unevenly distribute targets across months.,Wählen Budget Verteilung ungleichmäßig Targets über Monate verteilen.
"Select Budget Distribution, if you want to track based on seasonality.","Wählen Budget Distribution, wenn Sie basierend auf Saisonalität verfolgen möchten."
Select Customer,Wählen Sie Kunde
Select Digest Content,Wählen Inhalt Digest
Select DocType,Wählen DocType
Select Document Type,Wählen Sie Document Type
Select Document Type or Role to start.,Wählen Sie Dokumenttyp oder Rolle zu beginnen.
Select Form,Wählen Sie Formular
Select Items from Delivery Note,Wählen Sie Elemente aus Lieferschein
Select Items from Purchase Order,Wählen Sie Elemente aus Purchase Order
Select Items from Purchase Receipt,Wählen Sie Elemente aus Kaufbeleg
Select Items from Sales Order,Wählen Sie Objekte aus Kundenauftrag
Select Material Request,Markieren Sie das Material anfordern
Select PR,Select PR
Select Price List for the web. Leave blank to hide price.,"Wählen Preisliste für das Web. Leer lassen, um Preise zu verstecken."
Select Print Format,Wählen Sie Print Format
Select Print Heading,Wählen Sie Drucken Überschrift
Select Report Name,Wählen Sie Report Name
Select Role,Wählen Sie Rolle
Select Sales Orders,Wählen Sie Kundenaufträge
Select Sales Orders from which you want to create Production Orders.,Wählen Sie Aufträge aus der Sie Fertigungsaufträge erstellen.
Select Shipping Address,Wählen Versandadresse
Select Supplier Quotation,Wählen Sie Lieferant Quotation
Select Terms and Conditions,Wählen AGB
Select Transaction,Wählen Sie Transaction
Select Type,Typ wählen
Select User or Property to start.,Wählen Sie Benutzer-oder Property zu starten.
Select account head of the bank where cheque was deposited.,"Wählen Sie den Kopf des Bankkontos, wo Kontrolle abgelagert wurde."
Select company name first.,Wählen Firmennamen erste.
Select dates to create a new,"Wählen Sie ihre Reisedaten, um eine neue"
Select name of Customer to whom project belongs,"Wählen Sie den Namen des Kunden, dem gehört Projekts"
Select or drag across dates to create a new event.,Wählen Sie Daten oder ziehen Sie über einen neuen Termin zu erstellen.
"Select shipping warehouse to show ""In Stock"" or ""Out of Stock"". To hide, leave blank","Wählen Auslieferungslager für ""Im Lager"" oder ""Out of Stock"". Zu verstecken, leer lassen"
Select template from which you want to get the Goals,"Wählen Sie aus, welche Vorlage Sie die Ziele erhalten möchten"
Select the Employee for whom you are creating the Appraisal.,"Wählen Sie den Mitarbeiter, für den Sie erstellen Appraisal."
Select the currency in which price list is maintained,"Wählen Sie die Währung, in der Preisliste wird beibehalten"
Select the label after which you want to insert new field.,"Wählen Sie die Bezeichnung, die Sie nach dem Einfügen neuer Bereich."
Select the period when the invoice will be generated automatically,Wählen Sie den Zeitraum auf der Rechnung wird automatisch erzeugt werden
"Select the price list as entered in ""Price List"" master. This will pull the reference rates of items against this price list as specified in ""Item"" master.","Wählen Sie die Preisliste in der ""Preisliste"" Master eingetragen. Dadurch werden die Referenzkurse Artikel gegen diese Preisliste in der ""Item"" Master vorgegeben ziehen."
Select the relevant company name if you have multiple companies,"Wählen Sie den entsprechenden Firmennamen, wenn Sie mehrere Unternehmen haben"
Select the relevant company name if you have multiple companies.,"Wählen Sie den entsprechenden Firmennamen, wenn Sie mehrere Unternehmen haben."
Select who you want to send this newsletter to,"Wählen Sie, wer Sie diesen Newsletter senden möchten"
Selected Attendance date will comes in the attendance template.,Ausgewählte Datum wird Teilnahme in der Anwesenheitsliste Vorlage essen.
"Selecting ""Yes"" will allow this item to appear in Purchase Order , Purchase Receipt.","Wählen Sie ""Ja"" können diesen Artikel in Bestellung, Kaufbeleg erscheinen."
"Selecting ""Yes"" will allow this item to figure in Sales Order, Delivery Note","Wählen Sie ""Ja"" können diesen Artikel in Sales Order herauszufinden, Lieferschein"
"Selecting ""Yes"" will allow you to create Bill of Material showing raw material and operational costs incurred to manufacture this item.","Wählen Sie ""Ja"" ermöglicht es Ihnen, Bill of Material zeigt Rohstoffe und Betriebskosten anfallen, um diesen Artikel herzustellen erstellen."
"Selecting ""Yes"" will allow you to make a Production Order for this item.","Wählen Sie ""Ja"" ermöglicht es Ihnen, einen Fertigungsauftrag für diesen Artikel machen."
"Selecting ""Yes"" will give a unique identity to each entity of this item which can be viewed in the Serial No master.","Wählen Sie ""Ja"" wird eine einzigartige Identität zu jeder Einheit dieses Artikels, die in der Serial No Master eingesehen werden kann geben."
Selling,Verkauf
Selling Home,Startseite Selling
Send,Senden
Send Autoreply,Senden Autoreply
Send Email,E-Mail senden
Send From,Senden Von
Send Invite Email,Senden Sie E-Mail einladen
Send Me A Copy,Senden Sie mir eine Kopie
"Send Newsletters to your contacts, leads.",Senden Sie Newsletter an Ihre Kontakte führt.
Send SMS,Senden Sie eine SMS
Send To,Send To
Send To Type,Send To Geben
"Send an email to users of role ""Material Manager"" and ""Purchase Manager"" when re-order level is crossed.","Senden Sie eine E-Mail an Benutzer der Rolle ""Material Manager"" und ""Purchase Manager"", wenn re-order-Ebene überschritten wird."
Send automatic emails to Contacts on Submitting transactions.,Senden Sie automatische E-Mails an Kontakte auf Einreichen Transaktionen.
"Send bulk SMS to leads, customers, contacts","Senden Sie Massen-SMS, um Leads, Kunden, Kontakte"
Send mass SMS to your contacts,Senden Sie Massen-SMS an Ihre Kontakte
Send regular summary reports via Email.,Senden regelmäßige zusammenfassende Berichte per E-Mail.
Send to this list,Senden Sie zu dieser Liste
Sender,Absender
Sender Name,Absender Name
"Sending newsletters is not allowed for Trial users, \				to prevent abuse of this feature.","Newsletter versenden ist nicht für Trial Nutzer erlaubt, auf \ Prevent Missbrauch dieser Funktion."
Sent Mail,Gesendete E-Mails
Sent On,Sent On
Sent Quotation,Gesendete Quotation
Separate production order will be created for each finished good item.,Separate Fertigungsauftrag wird für jeden fertigen gute Position geschaffen werden.
Serial No,Serial In
Serial No Details,Serial No Einzelheiten
Serial No Service Contract Expiry,Serial No Service Contract Verfall
Serial No Status,Serielle In-Status
Serial No Warranty Expiry,Serial No Scheckheftgepflegt
Serialized Item: ',Serialisiert Item '
Series,Serie
Series Detail,Series Detailansicht
Series List for this Transaction,Serien-Liste für diese Transaktion
Series Options,Serie Optionen
Server,Server
Server Script,Server Skript
Service Address,Service Adresse
Service Person,Service Person
Session Expired. Logging you out,Session abgelaufen. Sie werden abgemeldet
Session Expires in (time),Läuft in Session (Zeit)
Session Expiry,Session Verfall
Session Expiry in Hours e.g. 06:00,Session Verfall z. B. in Stunden 06.00
Set From Image,Set Von Image
Set Item Group-wise budgets on this Territory. You can also include seasonality by setting the Distribution.,"Set Artikel gruppenweise Budgets auf diesem Gebiet. Sie können Saisonalität auch gehören, indem Sie die Distribution."
Set Login and Password if authentication is required.,"Stellen Sie Login und Passwort, wenn eine Authentifizierung erforderlich ist."
Set New Password,Set New Password
Set Value,Wert festlegen
"Set a new password and ""Save""","Stellen Sie das neue Kennwort und ""Speichern"""
Set default values for entry,Standardwerte für die Einreise
Set default values for users (also used for permissions).,Standardwerte für die Benutzer (auch für Berechtigungen verwendet).
Set multiple numbering series for transactions,Set Nummerierung Serie für mehrere Transaktionen
Set permissions on transactions / masters,Festlegen von Berechtigungen für Transaktionen / masters
Set prefix for numbering series on your transactions,Nummerierung einstellen Serie Präfix für Ihre Online-Transaktionen
Set targets Item Group-wise for this Sales Person.,Set zielt Artikel gruppenweise für diesen Sales Person.
Set the POP3 email settings to pull emails directly from a mailbox and create Support Tickets,Stellen Sie die POP3-Mail-Einstellungen auf E-Mails aus dem Postfach zu ziehen direkt erstellen und Support Tickets
Set workflow rules.,Stellen Sie Workflow-Regeln.
"Set your background color, font and image (tiled)","Stellen Sie Ihre Hintergrundfarbe, Schrift und Bild (Kachel)"
"Set your outgoing mail SMTP settings here. All system generated notifications, emails will go from this mail server. If you are not sure, leave this blank to use ERPNext servers (emails will still be sent from your email id) or contact your email provider.","Stellen Sie Ihre ausgehende Mail SMTP-Einstellungen hier. Alle System generierten Meldungen werden E-Mails von diesen Mail-Server gehen. Wenn Sie sich nicht sicher sind, lassen Sie dieses Feld leer, um ERPNext Server (E-Mails werden immer noch von Ihrer E-Mail-ID gesendet werden) verwenden oder kontaktieren Sie Ihren E-Mail-Provider."
Setting Account Type helps in selecting this Account in transactions.,Einstellung Kontotyp hilft bei der Auswahl der Transaktionen in diesem Konto.
Settings for About Us Page.,Einstellungen für Über uns Seite.
Settings for Contact Us Page,Einstellungen für Kontakt Seite
Settings for Contact Us Page.,Einstellungen für Kontakt-Seite.
Settings for Product Catalog on the website,Einstellungen für Produkt-Katalog auf der Website
Settings for Product Catalog on the website.,Einstellungen für Produkt-Katalog auf der Website.
Settings for the About Us Page,Einstellungen für die Über uns Seite
"Settings to extract Job Applicants from a mailbox e.g. ""jobs@example.com""","Einstellungen für Bewerber aus einer Mailbox zB ""jobs@example.com"" extrahieren"
Setup,Setup
Setup Control,Setup Control
Setup Series,Setup-Series
Setup of fonts and background.,Setup von Schriftarten und Hintergrund.
"Setup of top navigation bar, footer and logo.","Setup der oberen Navigationsleiste, Fußzeile und Logo."
Setup outgoing SMS via your bulk SMS provider,Richten ausgehende SMS über Ihre Massen-SMS-Anbieter
Setup to pull emails from support email account,Richten Sie E-Mails von E-Mail-Account-Support ziehen
Ship To,Ship To
Shipping Address,Versandadresse
Shipping Address Name,Liefer-Adresse Name
Shipping Details,Versandkosten Details
Short Description,Kurzbeschreibung
Short biography for website and other publications.,Kurzbiographie für die Website und anderen Publikationen.
Shortcut,Abkürzung
"Show ""In Stock"" or ""Not in Stock"" based on stock available in this warehouse.","Anzeigen ""Im Lager"" oder ""Nicht auf Lager"", basierend auf verfügbaren Bestand in diesem Lager."
Show / Hide Modules,Show / Hide Modules
Show Details,Details anzeigen
Show Filters,Filter anzeigen
Show Price in Website (if set),Zeige Preis in Website (wenn eingestellt)
Show Print First,Erste Show Print
Show a slideshow at the top of the page,Zeige die Slideshow an der Spitze der Seite
Show in Website,Zeigen Sie im Website
Show rows with zero values,Zeige Zeilen mit Nullwerten
Show this slideshow at the top of the page,Zeige diese Slideshow an der Spitze der Seite
"Show, hide modules","Anzeigen, Ausblenden Modulen"
