 (Half Day),(ครึ่งวัน)
Schedule Details,รายละเอียดตาราง
Scheduled,กำหนด
Scheduled Confirmation Date,วันที่ยืนยันกำหนด
Scheduled Date,วันที่กำหนด
Scheduler Log,เข้าสู่ระบบการจัดตารางเวลา
School/University,โรงเรียน / มหาวิทยาลัย
Score (0-5),คะแนน (0-5)
Score Earned,คะแนนที่ได้รับ
Scrap %,เศษ%
Script,ต้นฉบับ
Script Report,รายงานสคริปต์
Script Type,ประเภทสคริปต์
Script to attach to all web pages.,สคริปต์ที่จะแนบไปหน้าเว็บทั้งหมด
Search,ค้นหา
Search Fields,เขตข้อมูลการค้นหา
Seasonality for setting budgets.,ฤดูกาลสำหรับงบประมาณการตั้งค่า
Section Break,แบ่งส่วน
Security Settings,การตั้งค่าการรักษาความปลอดภัย
"See ""Rate Of Materials Based On"" in Costing Section",โปรดดูที่ &quot;ค่าของวัสดุบนพื้นฐานของ&quot; ต้นทุนในมาตรา
Select,เลือก
"Select ""Yes"" for sub - contracting items",เลือก &quot;Yes&quot; สำหรับ sub - รายการที่ทำสัญญา
"Select ""Yes"" if this item is to be sent to a customer or received from a supplier as a sample. Delivery notes and Purchase Receipts will update stock levels but there will be no invoice against this item.",เลือก &quot;ใช่&quot; ถ้ารายการนี​​้จะถูกส่งให้กับลูกค้าหรือได้รับจากผู้จัดจำหน่ายเป็นตัวอย่าง บันทึกการจัดส่งและรายรับซื้อจะปรับปรุงระดับสต็อก แต่จะมีใบแจ้งหนี้กับรายการนี​​้ไม่มี
"Select ""Yes"" if this item is used for some internal purpose in your company.",เลือก &quot;ใช่&quot; ถ้ารายการนี​​้จะใช้เพื่อวัตถุประสงค์ภายในบางอย่างใน บริษัท ของคุณ
"Select ""Yes"" if this item represents some work like training, designing, consulting etc.",เลือก &quot;ใช่&quot; ถ้ารายการนี​​้แสดงให้เห็นถึงการทำงานบางอย่างเช่นการฝึกอบรมการออกแบบให้คำปรึกษา ฯลฯ
"Select ""Yes"" if you are maintaining stock of this item in your Inventory.",เลือก &quot;ใช่&quot; ถ้าคุณจะรักษาสต็อกของรายการนี​​้ในสินค้าคงคลังของคุณ
"Select ""Yes"" if you supply raw materials to your supplier to manufacture this item.",เลือก &quot;ใช่&quot; ถ้าคุณจัดหาวัตถุดิบเพื่อจำหน่ายของคุณในการผลิตรายการนี​​้
Select All,เลือกทั้งหมด
Select Attachments,เลือกสิ่งที่แนบ
Select Budget Distribution to unevenly distribute targets across months.,เลือกการกระจายงบประมาณที่จะไม่สม่ำเสมอกระจายทั่วเป้าหมายเดือน
"Select Budget Distribution, if you want to track based on seasonality.",เลือกการกระจายงบประมาณถ้าคุณต้องการที่จะติดตามจากฤดูกาล
Select Customer,เลือกลูกค้า
