 (Half Day),(Demi-journée)
Sales Invoice Trends,Soldes Tendances de la facture
Sales Order,Commande
Sales Order Date,Date de Commande
Sales Order Item,Poste de commande client
Sales Order Items,Articles Sales Order
Sales Order Message,Message de commande client
Sales Order No,Ordonnance n ° de vente
Sales Order Required,Commande obligatoire
Sales Order Trend,Les ventes Tendance Ordre
Sales Partner,Sales Partner
Sales Partner Name,Nom Sales Partner
Sales Partner Target,Cible Sales Partner
Sales Partners Commission,Partenaires Sales Commission
Sales Person,Sales Person
Sales Person Incharge,Sales Person Incharge
Sales Person Name,Nom Sales Person
Sales Person Target Variance (Item Group-Wise),Sales Person Variance cible (Point Group-Wise)
Sales Person Targets,Personne objectifs de vente
Sales Person-wise Transaction Summary,Sales Person-sage Résumé de la transaction
Sales Register,Registre des ventes
Sales Return,Ventes de retour
Sales Taxes and Charges,Taxes de vente et frais
Sales Taxes and Charges Master,Taxes de vente et frais de Master
Sales Team,Équipe des ventes
Sales Team Details,Détails équipe de vente
Sales Team1,Ventes Equipe1
Sales and Purchase,Vente et achat
Sales campaigns,Campagnes de vente
Sales persons and targets,Les vendeurs et les objectifs
Sales taxes template.,Les taxes de vente gabarit.
Sales territories.,Territoires de vente.
Salutation,Salutation
Same file has already been attached to the record,Même fichier a déjà été jointe au dossier
Sample Size,Taille de l&#39;échantillon
Sanctioned Amount,Montant sanctionné
Saturday,Samedi
Save,Sauver
Schedule,Calendrier
Schedule Details,Planning Détails
Scheduled,Prévu
Scheduled Confirmation Date,Date de confirmation prévue
Scheduled Date,Date prévue
Scheduler Log,Scheduler Connexion
School/University,Ecole / Université
Score (0-5),Score (0-5)
Score Earned,Score gagné
Scrap %,Scrap%
Script,Scénario
Script Report,Rapport de Script
Script Type,Type de script
Script to attach to all web pages.,Script pour attacher à toutes les pages Web.
Search,Rechercher
Search Fields,Champs de recherche
Seasonality for setting budgets.,Saisonnalité de l&#39;établissement des budgets.
Section Break,Saut de section
Security Settings,Paramètres de sécurité
"See ""Rate Of Materials Based On"" in Costing Section",Voir «Taux de matériaux à base de« coûts dans la section
Select,Sélectionner
"Select ""Yes"" for sub - contracting items",Sélectionnez &quot;Oui&quot; pour la sous - traitance articles
"Select ""Yes"" if this item is to be sent to a customer or received from a supplier as a sample. Delivery notes and Purchase Receipts will update stock levels but there will be no invoice against this item.","Sélectionnez «Oui» si cet article doit être envoyé à un client ou reçu d&#39;un fournisseur comme un échantillon. Les bons de livraison et factures d&#39;achat va mettre à jour les niveaux de stocks, mais il n&#39;y aura pas de facture contre cet article."
"Select ""Yes"" if this item is used for some internal purpose in your company.",Sélectionnez &quot;Oui&quot; si cet objet est utilisé à des fins internes de votre entreprise.
"Select ""Yes"" if this item represents some work like training, designing, consulting etc.","Sélectionnez &quot;Oui&quot; si cet objet représente un travail comme la formation, la conception, la consultation, etc"
"Select ""Yes"" if you are maintaining stock of this item in your Inventory.",Sélectionnez &quot;Oui&quot; si vous le maintien des stocks de cet article dans votre inventaire.
"Select ""Yes"" if you supply raw materials to your supplier to manufacture this item.",Sélectionnez &quot;Oui&quot; si vous fournir des matières premières à votre fournisseur pour la fabrication de cet article.
Select All,Sélectionner tout
Select Attachments,Sélectionnez Pièces jointes
Select Budget Distribution to unevenly distribute targets across months.,Sélectionnez Répartition du budget à répartir inégalement cibles à travers mois.
"Select Budget Distribution, if you want to track based on seasonality.","Sélectionnez Répartition du budget, si vous voulez suivre en fonction de la saisonnalité."
Select Customer,Sélectionnez Client
Select Digest Content,Sélectionner le contenu Digest
Select DocType,Sélectionnez DocType
Select Document Type,Sélectionnez Type de document
Select Document Type or Role to start.,Sélectionnez Type de document ou le rôle de démarrer.
Select Items,Sélectionner les objets
Select PR,Sélectionnez PR
Select Print Format,Sélectionnez Format d&#39;impression
Select Print Heading,Sélectionnez Imprimer Cap
Select Report Name,Sélectionner Nom du rapport
Select Role,Sélectionnez rôle
Select Sales Orders,Sélectionnez les commandes clients
Select Sales Orders from which you want to create Production Orders.,Sélectionnez les commandes clients à partir de laquelle vous souhaitez créer des ordres de fabrication.
Select Terms and Conditions,Sélectionnez Termes et Conditions
Select Time Logs and Submit to create a new Sales Invoice.,Sélectionnez registres de temps et de soumettre à créer une nouvelle facture de vente.
Select Transaction,Sélectionnez Transaction
Select Type,Sélectionnez le type de
Select User or Property to start.,Sélectionnez l&#39;utilisateur ou d&#39;un bien pour commencer.
Select a Banner Image first.,Choisissez une bannière image première.
Select account head of the bank where cheque was deposited.,Sélectionnez tête compte de la banque où chèque a été déposé.
Select an image of approx width 150px with a transparent background for best results.,Sélectionnez une image d&#39;une largeur d&#39;environ 150px avec un fond transparent pour de meilleurs résultats.
Select company name first.,Sélectionnez le nom de la première entreprise.
Select dates to create a new ,Choisissez la date pour créer une nouvelle
Select name of Customer to whom project belongs,Sélectionnez le nom du client à qui appartient projet
Select or drag across time slots to create a new event.,Sélectionnez ou glisser sur des intervalles de temps pour créer un nouvel événement.
Select template from which you want to get the Goals,Sélectionnez le modèle à partir duquel vous souhaitez obtenir des Objectifs
Select the Employee for whom you are creating the Appraisal.,Sélectionnez l&#39;employé pour lequel vous créez l&#39;évaluation.
Select the currency in which price list is maintained,Sélectionnez la devise dans laquelle la liste de prix est maintenue
Select the label after which you want to insert new field.,Sélectionnez l&#39;étiquette après lequel vous voulez insérer un nouveau champ.
Select the period when the invoice will be generated automatically,Sélectionnez la période pendant laquelle la facture sera générée automatiquement
"Select the price list as entered in ""Price List"" master. This will pull the reference rates of items against this price list as specified in ""Item"" master.",Sélectionnez la liste de prix comme indiquée dans &quot;Liste des prix&quot; maître. Cela tirera les taux de référence d&#39;articles contre cette liste de prix tel que spécifié dans &quot;Item&quot; maître.
Select the relevant company name if you have multiple companies,Sélectionnez le nom de l&#39;entreprise concernée si vous avez de multiples entreprises
Select the relevant company name if you have multiple companies.,Sélectionnez le nom de l&#39;entreprise concernée si vous avez plusieurs sociétés.
Select who you want to send this newsletter to,Sélectionnez qui vous souhaitez envoyer ce bulletin à
"Selecting ""Yes"" will allow this item to appear in Purchase Order , Purchase Receipt.","La sélection de &quot;Oui&quot; permettra cet article à paraître dans bon de commande, facture d&#39;achat."
"Selecting ""Yes"" will allow this item to figure in Sales Order, Delivery Note","La sélection de &quot;Oui&quot; permettra de comprendre cet article dans l&#39;ordonnance de vente, bon de livraison"
"Selecting ""Yes"" will allow you to create Bill of Material showing raw material and operational costs incurred to manufacture this item.",La sélection de &quot;Oui&quot; vous permettra de créer des nomenclatures montrant des matières premières et des coûts d&#39;exploitation engagés pour la fabrication de cet article.
"Selecting ""Yes"" will allow you to make a Production Order for this item.",La sélection de &quot;Oui&quot; vous permettra de faire un ordre de fabrication pour cet article.
"Selecting ""Yes"" will give a unique identity to each entity of this item which can be viewed in the Serial No master.",La sélection de &quot;Oui&quot; donner une identité unique à chaque entité de cet article qui peut être consulté dans le N ° de série maître.
Selling,Vente
Selling Settings,Réglages de vente
Send,Envoyer
Send Autoreply,Envoyer Autoreply
Send Email,Envoyer un email
Send From,Envoyer partir de
Send Invite Email,Envoyer une invitation e-mail
Send Me A Copy,Envoyez-moi une copie
Send Notifications To,Envoyer des notifications aux
Send Print in Body and Attachment,Envoyer Imprimer dans le corps et attachement
Send SMS,Envoyer un SMS
Send To,Send To
Send To Type,Envoyer à taper
Send an email reminder in the morning,Envoyer un courriel de rappel dans la matinée
Send automatic emails to Contacts on Submitting transactions.,Envoyer des emails automatiques vers les Contacts sur Envoi transactions.
Send mass SMS to your contacts,Envoyer un SMS en masse à vos contacts
Send regular summary reports via Email.,Envoyer des rapports de synthèse réguliers par e-mail.
Send to this list,Envoyer cette liste
Sender,Expéditeur
Sender Name,Nom de l&#39;expéditeur
"Sending newsletters is not allowed for Trial users, \				to prevent abuse of this feature.","L&#39;envoi de newsletters n&#39;est pas autorisé pour les utilisateurs de première instance, \ pour éviter les abus de cette fonctionnalité."
Sent Mail,Messages envoyés
Sent On,Sur envoyé
Sent Quotation,Devis envoyé
Separate production order will be created for each finished good item.,Pour la production séparée sera créée pour chaque article produit fini.
Serial No,N ° de série
Serial No Details,Détails Pas de série
Serial No Service Contract Expiry,N ° de série expiration du contrat de service
Serial No Status,N ° de série Statut
Serial No Warranty Expiry,N ° de série expiration de garantie
Serialized Item: ',Article sérialisé: &#39;
Series List for this Transaction,Liste série pour cette transaction
Server,Serveur
Service Address,Adresse du service
Services,Services
Session Expired. Logging you out,Session a expiré. Vous déconnecter
Session Expires in (time),Session Expire dans (temps)
Session Expiry,Session d&#39;expiration
Session Expiry in Hours e.g. 06:00,"Expiration session en heures, par exemple 06:00"
Set Banner from Image,Réglez bannière de l&#39;image
Set Item Group-wise budgets on this Territory. You can also include seasonality by setting the Distribution.,Set Point du Groupe sages budgets sur ce territoire. Vous pouvez également inclure la saisonnalité en réglant la distribution.
