 (Half Day),（半天）
Scheduler Log,调度日志
School/University,学校/大学
Score (0-5),得分（0-5）
Score Earned,获得得分
Scrap %,废钢％
Script,脚本
Script Report,脚本报告
Script Type,脚本类型
Script to attach to all web pages.,脚本附加到所有的网页。
Search,搜索
Search Fields,搜索字段
Seasonality for setting budgets.,季节性设定预算。
Section Break,分节符
Security Settings,安全设置
"See ""Rate Of Materials Based On"" in Costing Section",见“率材料基于”在成本核算节
Select,选择
"Select ""Yes"" for sub - contracting items",选择“是”子 - 承包项目
"Select ""Yes"" if this item is used for some internal purpose in your company.",选择“Yes”如果此项目被用于一些内部的目的在你的公司。
"Select ""Yes"" if this item represents some work like training, designing, consulting etc.",选择“是”，如果此项目表示类似的培训，设计，咨询等一些工作
"Select ""Yes"" if you are maintaining stock of this item in your Inventory.",选择“是”，如果你保持这个项目的股票在你的库存。
"Select ""Yes"" if you supply raw materials to your supplier to manufacture this item.",选择“是”，如果您对供应原料给供应商，制造资料。
Select All,全选
Select Attachments,选择附件
Select Budget Distribution to unevenly distribute targets across months.,选择预算分配跨个月呈不均衡分布的目标。
"Select Budget Distribution, if you want to track based on seasonality.",选择预算分配，如果你要根据季节来跟踪。
Select Digest Content,选择精华内容
Select DocType,选择的DocType
Select Document Type,选择文件类型
Select Document Type or Role to start.,选择文件类型或角色开始。
Select Items,选择项目
Select Module,选择模块
Select Print Format,选择打印格式
Select Purchase Receipts,选择外购入库单
Select Report Name,选择报告名称
Select Role,选择角色
Select Sales Orders,选择销售订单
Select Sales Orders from which you want to create Production Orders.,要从创建生产订单选择销售订单。
Select Time Logs and Submit to create a new Sales Invoice.,选择时间日志和提交创建一个新的销售发票。
Select Transaction,选择交易
Select Type,选择类型
Select User or Property to start.,选择用户或物业开始。
Select account head of the bank where cheque was deposited.,选取支票存入该银行账户的头。
Select an image of approx width 150px with a transparent background for best results.,选择约宽150像素的透明背景以获得最佳效果的图像。
Select company name first.,先选择公司名称。
Select dates to create a new ,选择日期以创建一个新的
Select or drag across time slots to create a new event.,选择或拖动整个时隙，以创建一个新的事件。
"Select target = ""_blank"" to open in a new page.",选择目标=“_blank”在新页面中打开。
Select template from which you want to get the Goals,选择您想要得到的目标模板
Select the Employee for whom you are creating the Appraisal.,选择要为其创建的考核员工。
Select the label after which you want to insert new field.,之后要插入新字段中选择的标签。
Select the period when the invoice will be generated automatically,当选择发票会自动生成期间
Select the relevant company name if you have multiple companies,选择相关的公司名称，如果您有多个公司
Select the relevant company name if you have multiple companies.,如果您有多个公司选择相关的公司名称。
Select who you want to send this newsletter to,选择您想要这份电子报发送给谁
Select your home country and check the timezone and currency.,选择您的国家和检查时区和货币。
"Selecting ""Yes"" will allow this item to appear in Purchase Order , Purchase Receipt.",选择“是”将允许这个项目出现在采购订单，采购入库单。
"Selecting ""Yes"" will allow this item to figure in Sales Order, Delivery Note",选择“是”将允许这资料图在销售订单，送货单
"Selecting ""Yes"" will allow you to create Bill of Material showing raw material and operational costs incurred to manufacture this item.",选择“是”将允许您创建物料清单，显示原材料和产生制造这个项目的运营成本。
"Selecting ""Yes"" will allow you to make a Production Order for this item.",选择“是”将允许你做一个生产订单为这个项目。
"Selecting ""Yes"" will give a unique identity to each entity of this item which can be viewed in the Serial No master.",选择“Yes”将提供一个独特的身份，以这个项目的每个实体可在序列号主观看。
Selling,销售
Selling Settings,销售设置
Send,发送
Send As Email,发送电​​子邮件
Send Autoreply,发送自动回复
Send Bulk SMS to Leads / Contacts,发送大量短信信息/联系我们
Send Email,发送电​​子邮件
Send From,从发送
Send Me A Copy,给我发一份
Send Notifications To,发送通知给
Send Now,立即发送
Send Print in Body and Attachment,发送打印的正文和附件
Send SMS,发送短信
Send To,发送到
Send To Type,发送到输入
Send an email reminder in the morning,发送电​​子邮件提醒，早上
Send automatic emails to Contacts on Submitting transactions.,自动发送电子邮件到上提交事务联系。
Send enquiries to this email address,发送咨询到这个邮箱地址
Send mass SMS to your contacts,发送群发短信到您的联系人
Send regular summary reports via Email.,通过电子邮件发送定期汇总报告。
Send to this list,发送到这个列表
Sender,寄件人
Sender Name,发件人名称
Sent,发送
Sent Mail,发送邮件
Sent On,在发送
Sent Quotation,发送报价
Sent or Received,发送或接收
Separate production order will be created for each finished good item.,独立的生产订单将每个成品项目被创建。
Serial No,序列号
Serial No / Batch,序列号/批次
Serial No Details,序列号信息
Serial No Service Contract Expiry,序号服务合同到​​期
Serial No Status,序列号状态
Serial No Warranty Expiry,序列号保修到期
Serial No created,创建序列号
Serial No does not belong to Item,序列号不属于项目
Serial No must exist to transfer out.,序列号必须存在转让出去。
Serial No qty cannot be a fraction,序号数量不能是分数
Serial No status must be 'Available' to Deliver,序列号状态必须为“有空”提供
Serial Nos do not match with qty,序列号不匹配数量
Serial Number Series,序列号系列
Serialized Item: ',序列化的项目：&#39;
Series,系列
Series List for this Transaction,系列对表本交易
Server,服务器
Service Address,服务地址
Services,服务
Session Expired. Logging you out,会话过期。您的退出
Session Expires in (time),会话过期的（时间）
Session Expiry,会话过期
Session Expiry in Hours e.g. 06:00,会话过期的时间，例如06:00
Set Banner from Image,从图像设置横幅
Set Item Group-wise budgets on this Territory. You can also include seasonality by setting the Distribution.,设置这个领地项目组间的预算。您还可以包括季节性通过设置分发。
Set Link,设置链接
Set Login and Password if authentication is required.,如果需要身份验证设置登录名和密码。
Set Password,设置密码
Set Value,设定值
Set as Default,设置为默认
Set as Lost,设为失落
Set prefix for numbering series on your transactions,为你的交易编号序列设置的前缀
Set targets Item Group-wise for this Sales Person.,设定目标项目组间的这种销售人员。
"Set your background color, font and image (tiled)",设置背景颜色，字体和图像（平铺）
"Set your outgoing mail SMTP settings here. All system generated notifications, emails will go from this mail server. If you are not sure, leave this blank to use ERPNext servers (emails will still be sent from your email id) or contact your email provider.",这里设置你的外发邮件的SMTP设置。所有生成的系统通知，电子邮件会从这个邮件服务器。如果你不知道，离开这个空白使用ERPNext服务器（邮件仍然会从您的电子邮件ID发送）或联系您的电子邮件提供商。
Setting Account Type helps in selecting this Account in transactions.,设置帐户类型有助于在交易中选择该帐户。
Setting up...,设置...
Settings,设置
Settings for Accounts,设置帐户
Settings for Buying Module,设置购买模块
Settings for Contact Us Page,设置联系我们页面
Settings for Selling Module,设置销售模块
Settings for Stock Module,设置库存模块
Settings for the About Us Page,设置关于我们页面
"Settings to extract Job Applicants from a mailbox e.g. ""jobs@example.com""",设置从一个邮箱，例如“jobs@example.com”解压求职者
