Pension Funds,Pensionifondid
Additional Cost,Lisakulu
Closing Account {0} must be of type Liability / Equity,Lõpetamiskonto {0} peab olema tüübi „Vastutus / omakapital” tüüp
Setup Company,Seadistusfirma
Check In,Check in
Customer and Supplier,Klient ja tarnija
Support Team,Tugirühm
Account {0}: You can not assign itself as parent account,Konto {0}: Te ei saa ennast emaettevõttena määrata
Fixed Asset Item must be a non-stock item.,Fikseeritud varade kirje peab olema mittevaraline objekt.
New Batch ID (Optional),Uus partii ID (valikuline)
Gantt Chart,Gantti kaart
Max Benefit Amount,Maksimaalne kasu
{0} on Leave on {1},{0} lahkumisel {1}
Do you really want to restore this scrapped asset?,Kas sa tõesti tahad selle lammutatud vara taastada?
Registration fee can not be Zero,Registreerimistasu ei saa olla null
Item Tax Template,Üksuse maksumall
Auto Created,Automaatne loodud
Quality Objective,Kvaliteedi eesmärk
"The account head under Liability or Equity, in which Profit/Loss will be booked","Konto juht vastutuse või omakapitali all, kus kajastatakse kasumit / kahjumit"
Credit Amount in Account Currency,Krediidi summa konto valuutas
Employee Onboarding Activity,Töötajate pardaleviimine
Parent Service Unit,Vanemate teenindusüksus
Include Payment (POS),Kaasa makse (POS)
Private Equity,Erakapital
Receipt Document,Kviitungi dokument
Supplier Scorecard Period,Tarnija tulemustaseme periood
Default Salary Structure,Palga vaikimisi struktuur
Total Gain/Loss,Kokku kasum / kahjum
Student is already enrolled.,Üliõpilane on juba registreerunud.
Parent Item,Vanema kirje
Brokerage,Vahendus
Please create purchase receipt or purchase invoice for the item {0},Looge kirje {0} ostutšekk või ostutarve
Company Name cannot be Company,Ettevõtte nimi ei saa olla Firma
Breakdown,Lagunema
B Negative,B Negatiivne
Response By,Vastus
Credit To,Krediitkaardiga
Submit this Work Order for further processing.,Esitage see töökorraldus edasiseks töötlemiseks.
Bank Guarantee Number,Pangagarantii number
Delivered: {0},Edastatud: {0}
Under Review,Ülevaatlusel
Agriculture (beta),Põllumajandus (beeta)
Average Commission Rate,Keskmine komisjoni määr
Customer's Purchase Order Date,Kliendi ostutellimuse kuupäev
All Contacts.,Kõik kontaktid.
Used Leaves,Kasutatud lehed
The field From Shareholder cannot be blank,Väljal Aktsionär ei saa olla tühi
Brand Defaults,Brändi vaikeväärtused
Depends on Tasks,Sõltub ülesannetest
Healthcare Settings,Tervishoiuteenuste seaded
{0} Student Groups created.,{0} Loodud õpilaste rühmad.
Register,Registreeri
"This warehouse will be used to create Sale Orders. The fallback warehouse is ""Stores"".",Seda lattu kasutatakse müügikorralduste loomiseks. Varuladu on &quot;Kauplused&quot;.
Oil Change,Õlivahetus
Project User,Projekti kasutaja
Assessment,Hindamine
Price Discount Slabs,Hind Soodusplaadid
New Customers,Uued kliendid
Total Expense Claim (via Expense Claims),Kogukulude nõue (kulude hüvitamise nõuete kaudu)
Other Details,Muud andmed
Cannot change Attributes after stock transaction. Make a new Item and transfer stock to the new Item,Omadusi ei saa pärast aktsiaoperatsiooni muuta. Tehke uus üksus ja kandke varu uude üksusesse
Employees HTML,Töötajad HTML
Stop users from making Leave Applications on following days.,Peatage kasutajad järgmistel päevadel rakenduste lahkumisest.
Ignore,Ignoreeri
Sales Person Target Variance Based On Item Group,Müügipersonali sihtmärkide variatsioon põhineb üksusel rühmal
Current Academic Year,Akadeemiline aasta
Submit/Reconcile Payments,Maksete esitamine / kooskõlastamine
Set Advances and Allocate (FIFO),Seadke ettemaksed ja eraldage (FIFO)
Item to be manufactured or repacked,"Toode, mis tuleb valmistada või ümber pakendada"
New Cart,Uus ostukorv
MAT-PRE-.YYYY.-,MAT-PRE-.YYYY.-
Please select Sample Retention Warehouse in Stock Settings first,Valige kõigepealt Stock Settings (Varude seaded) valik Sample Retention Warehouse
Result Format,Tulemuse formaat
Heads (or groups) against which Accounting Entries are made and balances are maintained.,"Juhid (või rühmad), kelle vastu raamatupidamisandmeid tehakse ja saldod säilitatakse."
Material Request used to make this Stock Entry,"Materjalitaotlus, mida kasutatakse selle varude sisestamiseks"
Link to material requests,Seos materjali taotlustega
Unsecured Loans,Tagatiseta laenud
Add Customers,Lisa kliendid
Default Finished Goods Warehouse,Vaikimisi valmistoodangu ladu
Grant Description,Toetuse kirjeldus
"Weight is mentioned,\nPlease mention ""Weight UOM"" too","Mainitakse kaalu, palun märkige ka &quot;Kaalu UOM&quot;"
{0} {1} is disabled,{0} {1} on keelatud
Contract Period,Lepinguperiood
Please enter Item Code to get Batch Number,"Sisestage partii number, et saada partii number"
Is Working Capital,Kas käibekapital
Missing email template for dispatch. Please set one in Delivery Settings.,E-posti mall puudub. Palun määrake see jaotises Toimetuse seaded.
MAT-PAC-.YYYY.-,MAT-PAC-.YYYY.-
"Scorecard variables can be used, as well as:
{total_score} (the total score from that period),
{period_number} (the number of periods to present day)
","Tulemuskaardi muutujaid saab kasutada, samuti: {total_score} (selle aja koguarv), {period_number} (praeguste päevade arv)"
Value Or Qty,Väärtus või kogus
Please register the SIREN number in the company information file,Registreerige SIRENi number ettevõtte infofailis
Check this to enable a scheduled Daily synchronization routine via scheduler,"Kontrollige, kas planeeritud Päevase sünkroniseerimise rutiin on võimalik ajastaja kaudu"
Declarations,Deklaratsioonid
Backflush Raw Materials Based On,Toorainetel põhinevad toorained
Distance from top edge,Kaugus ülemisest servast
Job Description,Töö kirjeldus
"Can not filter based on Voucher No, if grouped by Voucher","Ei saa filtreerida kviitungi nr alusel, kui see on rühmitatud kupongi järgi"
Received and Accepted,Vastu võetud ja vastu võetud
Negative Valuation Rate is not allowed,Negatiivne hindamismäär ei ole lubatud
"The user that will be used to create Customers, Items and Sales Orders. This user should have the relevant permissions.","Kasutaja, keda kasutatakse klientide, üksuste ja müügitellimuste loomiseks. Sellel kasutajal peaks olema asjakohased õigused."
Create Purchase Order,Loo ostutellimus
Define budget for a financial year.,Määrake eelarveaasta eelarve.
Accounts table cannot be blank.,Kontode tabel ei saa olla tühi.
Payment Period Based On Invoice Date,Arvelduspäeval põhinev makseperiood
Installation date cannot be before delivery date for Item {0},Paigaldamise kuupäev ei tohi olla enne {0} kirje kohaletoimetamise kuupäeva
Link to Material Request,Link materjali päringule
From Company,Ettevõttest
Mapped Data Type,Kaardistatud andmete tüüp
Row {0}: An Reorder entry already exists for this warehouse {1},Rida {0}: selle lao jaoks on juba ümberkorralduste kanne {1}
Doc Date,Dokumendi kuupäev
Distribution Name,Jaotuse nimi
Group to Non-Group,Grupp mitte-gruppi
Update in progress. It might take a while.,Käimas on värskendus. See võib võtta aega.
"Example: ABCD.#####
If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.","Näide: ABCD. ##### Kui seeria on seatud ja tehingute puhul ei ole seerianumbrit märgitud, luuakse selle seeria põhjal automaatne seerianumber. Kui soovite alati selle elemendi seerianumbreid selgesõnaliselt mainida. jätke see tühjaks."
Stock Entry (Outward GIT),Laoseis (välise GIT)
Processing Party Addresses,Töötleva poole aadressid
Delivery Note Required,Kohustuslik märkus
Sales Partner,Müügipartner
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.","Sellesse kuupäevani külmutatud raamatupidamiskirje, keegi ei saa teha / muuta kannet, välja arvatud allpool määratud roll."
Fuel Qty,Kütusekogus
Guardian1 Mobile No,Guardian1 mobiil nr
Disbursed,Väljamakse
Net Change in Accounts Payable,Võlgnevuste netosumma
Not Available,Pole saadaval
Part-time,Poole kohaga
Delivery,Kohaletoimetamine
Student Group Creation Tool Course,Tudengirühma loomise tööriista kursus
Allocated amount cannot be greater than unadjusted amount,Eraldatud summa ei tohi olla suurem kui korrigeerimata summa
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,"Kolmanda osapoole turustaja / vahendaja / vahendaja / partner / edasimüüja, kes müüb äriühingutele tooteid vahendustasu eest."
Original Item,Algne kirje
Series is mandatory,Seeria on kohustuslik
Potential opportunities for selling.,Võimalikud müügivõimalused.
Show PDC in Print,Näita PDC printimisel
Shopify Supplier,Shopify Tarnija
POS Profile User,POS-profiili kasutaja
Middle Name,Keskmine nimi
Sales Person Name,Müügipersonali nimi
Gross Weight,Kogumass
Bill No,Bill nr
New Location,Uus asukoht
Project wise Stock Tracking,Projekti tark varude jälgimine
HR-VLOG-.YYYY.-,HR-VLOG-.YYYY.-
A+,A +
Service Level Agreement,Teenustaseme kokkulepe
Please select Employee and Date first,Valige esmalt Töötaja ja Kuupäev
Item valuation rate is recalculated considering landed cost voucher amount,"Punkti hindamise määr arvutatakse ümber, võttes arvesse lossitud maksumuse summat"
Employee Detail,Töötaja üksikasjad
Vouchers,Kupongid
Guardian Details,Hooldaja andmed
eg: frappe.myshopify.com,nt: frappe.myshopify.com
"Email Address must be unique, already exists for {0}","E-posti aadress peab olema unikaalne, juba olemas {0}"
Match Payments with Invoices,Maksete sobitamine arvetega
Weekly Off,Nädala väljalülitamine
Not allow to set alternative item for the item {0},Ei luba seadistada elemendile {0} alternatiivset elementi
Program {0} does not exist.,Programmi {0} ei eksisteeri.
You cannot edit root node.,Sa ei saa juure sõlme redigeerida.
Student Category,Õpilaste kategooria
"Item {0}: {1} qty produced, ","Üksus {0}: {1} toodetud kogus,"
Identification Document Type,Identifitseerimisdokumendi tüüp
Insufficient Stock,Ebapiisav varu
Row {0}: Conversion Factor is mandatory,Rida {0}: konversioonitegur on kohustuslik
Purchase Receipt Required,Nõutav ostuteade
BOM Rate,BOM-i määr
Invalid GSTIN! The check digit validation has failed. ,Kehtetu GSTIN! Kontrollnumbri valideerimine on ebaõnnestunud.
Max working hours against Timesheet,Maksimaalne tööaeg töögraafiku vastu
Include holidays in Total no. of Working Days,Lisage puhkus kokku nr. Tööpäevad
Quality Meeting,Kvaliteedi koosolek
Consulting,Konsultatsioon
Default Payment Request Message,Vaikimisi maksetaotluse teade
GSTIN Email Sent On,GSTIN e-kiri on saadetud
Enable Scheduled Synch,Luba planeeritud sünkroonimine
Please select Employee,Palun valige Töötaja
"If checked, a customer will be created, mapped to Patient.
Patient Invoices will be created against this Customer. You can also select existing Customer while creating Patient.","Kui see on märgitud, luuakse klient, kaardistatud patsiendile. Patsiendi arved luuakse selle kliendi vastu. Patsiendi loomisel saate valida ka olemasoleva kliendi."
Stock User,Stock kasutaja
Service Level Agreement.,Teenustaseme kokkulepe.
Date on which this component is applied,Selle komponendi kohaldamise kuupäev
List of available Shareholders with folio numbers,"Kasutatavate aktsionäride nimekiri, kellel on folio numbrid"
Setup Gateway accounts.,Gateway kontode seadistamine.
Response Time Period,Reageerimisaja periood
Purchase Taxes and Charges,Ostumaksud ja -maksud
Activity Date,Tegevuse kuupäev
Select or add new customer,Valige või lisage uus klient
Unfulfilled,Täitmata
Read blog,Loe blogi
Project Value,Projekti väärtus
Expected Time (in hours),Oodatav aeg (tundides)
Updating Variants...,Variante värskendamine ...
Show Sales Person in Print,Näita müügipersonali printimisel
Per Year,Aastas
Admitted Datetime,Lubatud Datetime
Tax Template is mandatory.,Maksu mall on kohustuslik.
Patient,Patsient
Costing Amount,Kulude summa
Add / Edit Prices,Hindade lisamine / muutmine
Non-GST outward supplies,Välised GST-välised tarned
Row {0}: From time must be less than to time,Rida {0}: Ajast peab olema aega vähem
User {0} is already assigned to Employee {1},Kasutaja {0} on juba määratud töötajale {1}
Form View,Vormivaade
Auto Repeat Section,Automaatne kordamine
Select company name first.,Valige esmalt ettevõtte nimi.
Financial Year,Majandusaasta
Deferred Revenue,Edasilükatud tulud
Atleast one of the Selling or Buying must be selected,Valik tuleb valida ühe müügi või ostmise kohta
Item-wise Purchase History,Punkti järgi ostmise ajalugu
Cannot change Service Stop Date for item in row {0},{0} reas asuva elemendi teenuse peatamise kuupäeva ei saa muuta
Include Subcontracted Items,Kaasa alltöövõtud kaubad
Max Benefits (Amount),Maksimaalne kasu (summa)
Hero Section,Kangelase osa
Where manufacturing operations are carried.,Kui toimub tootmistegevus.
Dispatch Notification,Väljastamise teatis
Timesheets,Töögraafikud
Get current stock,Hangi praegune varu
Expense,Kulud
{0} asset cannot be transferred,{0} vara ei saa üle kanda
Unpaid Expense Claim,Tasumata kulutaotlus
Family Background,Pere taust
Bonus Payment Date cannot be a past date,Boonuse maksepäev ei saa olla möödunud kuupäev
No {0} found for Inter Company Transactions.,Ettevõtte tehingute puhul ei leitud {0}.
Party Type,Partei tüüp
Finish,Lõpetama
C-Form Applicable,Kohaldatav C-vorm
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Konto saldo juba deebetil, teil ei ole lubatud seada &#39;Balance Must Be&#39; &#39;krediidi hulka"
Row #{0}: Qty increased by 1,Rida # {0}: Kogus suurendati 1-ga
Set targets Item Group-wise for this Sales Person.,Selle müügipersonali jaoks määrake sihtmärgid Üksus-rühm.
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-
Student Mobile Number,Õpilase mobiilinumber
Academic Year: ,Õppeaasta:
Please set Naming Series for {0} via Setup &gt; Settings &gt; Naming Series,Palun seadistage Naming Series {0} seadistuseks&gt; Seadistused&gt; Nimetamise seeria
"As per the Buying Settings if Purchase Order Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Order first for item {0}","Kui ostutellimus on nõutav == &#39;JAH&#39;, siis ostu-arve loomiseks peab kasutaja ostutellimuse loomiseks kõigepealt ostutellimuse jaoks elementi {0} jaoks looma"
To Value,Hindama
Please add the account to root level Company - ,Lisage konto juuretasandi ettevõttele -
Number of Days in Fiscal Year,Päevade arv eelarveaastal
Total Amount Currency,Summa kokku valuuta
Allow Same Item Multiple Times,Lubage sama kirje mitu korda
Create BOM,Loo BOM
Charges,Süüdistused
Personal Details,Isiklikud detailid
Billing and Delivery Status,Arvelduse ja kohaletoimetamise staatus
Row {0}: For supplier {0} Email Address is required to send email,Rida {0}: E-posti saatmiseks on vajalik e-posti aadress {0}
Cash Flow from Investing,Rahavoog investeerimisest
Approving Role cannot be same as role the rule is Applicable To,"Rolli kinnitamine ei saa olla sama, mis reegel on rakendatav"
