Pension Funds,ಪಿಂಚಣಿ ನಿಧಿಗಳು
Please set at least one row in the Taxes and Charges Table,ತೆರಿಗೆಗಳು ಮತ್ತು ಚಾರ್ಜಸ್ ಟೇಬಲ್ನಲ್ಲಿ ಕನಿಷ್ಠ ಒಂದು ಸಾಲನ್ನು ಹೊಂದಿಸಿ
Maintenance Team Name,ನಿರ್ವಹಣೆ ತಂಡದ ಹೆಸರು
Chart of Cost Centers,ವೆಚ್ಚ ಕೇಂದ್ರಗಳ ಚಾರ್ಟ್
Go to Users,ಬಳಕೆದಾರರಿಗೆ ಹೋಗಿ
Item Code,ಐಟಂ ಕೋಡ್
'Opening',&#39;ಆರಂಭಿಕ&#39;
Set Exchange Gain / Loss,ವಿನಿಮಯ ಲಾಭ / ನಷ್ಟವನ್ನು ಹೊಂದಿಸಿ
Make Payment via Journal Entry,ಜರ್ನಲ್ ಎಂಟ್ರಿ ಮೂಲಕ ಪಾವತಿ ಮಾಡಿ
User has not applied rule on the invoice {0},ಸರಕುಪಟ್ಟಿ {0} ನಲ್ಲಿ ಬಳಕೆದಾರ ನಿಯಮವನ್ನು ಅನ್ವಯಿಸುವುದಿಲ್ಲ
Payment Terms based on conditions,ಷರತ್ತುಗಳ ಆಧಾರದ ಮೇಲೆ ಪಾವತಿ ನಿಯಮಗಳು
% Received,% ಸ್ವೀಕರಿಸಲಾಗಿದೆ
Work Order Qty,ಕೆಲಸದ ಆದೇಶ Qty
WIP Warehouse,ಡಬ್ಲ್ಯೂಐಪಿ ವೇರ್ಹೌಸ್
ACC-PRQ-.YYYY.-,ಎಸಿಸಿ- PRQ- .YYYY.-
User ID not set for Employee {0},ಉದ್ಯೋಗಿ {0} ಗಾಗಿ ಬಳಕೆದಾರ ID ಅನ್ನು ಹೊಂದಿಸಲಾಗಿಲ್ಲ
"Available qty is {0}, you need {1}","ಲಭ್ಯವಿರುವ qty {0} ಆಗಿದೆ, ನಿಮಗೆ {1}"
User {0} created,ಬಳಕೆದಾರ {0} ರಚಿಸಲಾಗಿದೆ
Item Naming By,ಐಟಂ ಹೆಸರಿಸುವಿಕೆ
Ordered,ಆದೇಶಿಸಲಾಗಿದೆ
This is a root customer group and cannot be edited.,ಇದು ರೂಟ್ ಗ್ರಾಹಕರ ಗುಂಪಾಗಿದೆ ಮತ್ತು ಸಂಪಾದಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ.
Material Request {0} is cancelled or stopped,ವಸ್ತು ವಿನಂತಿ {0} ಅನ್ನು ರದ್ದುಗೊಳಿಸಲಾಗಿದೆ ಅಥವಾ ನಿಲ್ಲಿಸಲಾಗಿದೆ
Supplied Qty,ಸರಬರಾಜು ಮಾಡಿದ ಕ್ಯೂಟಿ
Cash Flow Mapper,ಕ್ಯಾಶ್ ಫ್ಲೋ ಮ್ಯಾಪರ್
Sand,ಮರಳು
Employee cannot report to himself.,ಉದ್ಯೋಗಿಗೆ ಸ್ವತಃ ವರದಿ ಮಾಡಲು ಸಾಧ್ಯವಿಲ್ಲ.
Order rescheduled for sync,ಸಿಂಕ್ಗಾಗಿ ಆರ್ಡರ್ ಮರುಹೊಂದಿಸಲಾಗಿದೆ
Default Unit of Measure for Variant '{0}' must be same as in Template '{1}',ಭಿನ್ನವಾದ &#39;{0}&#39; ಗಾಗಿ ಮಾಪನದ ಡೀಫಾಲ್ಟ್ ಯೂನಿಟ್ ಟೆಂಪ್ಲೇಟು &#39;{1}&#39;
Purchasing,ಖರೀದಿಸುತ್ತಿದೆ
Cellphone Number,ಸೆಲ್ಫೋನ್ ಸಂಖ್ಯೆ
Gross Pay,ಒಟ್ಟು ವೇತನ
Hotel Room Pricing Package,ಹೋಟೆಲ್ ಕೊಠಡಿ ಬೆಲೆ ಪ್ಯಾಕೇಜ್
Is Cumulative,ಸಂಚಿತವಾಗಿದೆ
Your cart is Empty,ನಿಮ್ಮ ಕಾರ್ಟ್ ಖಾಲಿಯಾಗಿದೆ
Daily Timesheet Summary,ಡೈಲಿ ಟೈಮ್ಸ್ಶೀಟ್ ಸಾರಾಂಶ
New Quality Procedure,ಹೊಸ ಗುಣಮಟ್ಟದ ಕಾರ್ಯವಿಧಾನ
Sub-contracting,ಉಪ-ಒಪ್ಪಂದ
Total Students,ಒಟ್ಟು ವಿದ್ಯಾರ್ಥಿಗಳು
Local,ಸ್ಥಳೀಯ
Leave Reason,ಕಾರಣ ಬಿಡಿ
Condition and Formula,ಪರಿಸ್ಥಿತಿ ಮತ್ತು ಫಾರ್ಮುಲಾ
"Salary already processed for period between {0} and {1}, Leave application period cannot be between this date range.","{0} ಮತ್ತು {1} ನಡುವಿನ ಅವಧಿಗೆ ಈಗಾಗಲೇ ಸಂಬಳ ಪ್ರಕ್ರಿಯೆ ಇದೆ, ಬಿಡುವು ಅರ್ಜಿ ಅವಧಿಯು ಈ ದಿನಾಂಕ ವ್ಯಾಪ್ತಿಯ ನಡುವೆ ಇರುವಂತಿಲ್ಲ."
Basic Rate (Company Currency),ಮೂಲ ದರ (ಕಂಪನಿ ಕರೆನ್ಸಿ)
BOM Scrap Item,BOM ಸ್ಕ್ರ್ಯಾಪ್ ಐಟಂ
Serial #,ಸೀರಿಯಲ್ #
Default Billing Rate,ಡೀಫಾಲ್ಟ್ ಬಿಲ್ಲಿಂಗ್ ದರ
Coated,ಕೋಟೆಡ್
More Info,ಹೆಚ್ಚಿನ ಮಾಹಿತಿ
Bill of Materials,ಮೆಟೀರಿಯಲ್ಸ್ ಬಿಲ್
Inter Company Invoice Reference,ಇಂಟರ್ ಕಂಪನಿ ಸರಕುಪಟ್ಟಿ ಉಲ್ಲೇಖ
Cycle Type,ಸೈಕಲ್ ಕೌಟುಂಬಿಕತೆ
Exit Interview Summary,ಇಂಟರ್ವ್ಯೂ ಸಾರಾಂಶದಿಂದ ನಿರ್ಗಮಿಸಿ
Item Variant Details,ಐಟಂ ರೂಪಾಂತರ ವಿವರಗಳು
Partially Fulfilled,ಭಾಗಶಃ ಪೂರ್ಣಗೊಂಡಿದೆ
ACC-JV-.YYYY.-,ಎಸಿಸಿ- ಜೆವಿ - .YYYY.-
To {0},{0} ಗೆ
GST Accounts,GST ಖಾತೆಗಳು
Total Invoiced Amount,ಒಟ್ಟು ಇನ್ವಾಯ್ಸ್ಡ್ ಮೊತ್ತ
Disables creation of time logs against Work Orders. Operations shall not be tracked against Work Order,ಕೆಲಸ ಆದೇಶಗಳ ವಿರುದ್ಧ ಸಮಯ ಲಾಗ್ಗಳನ್ನು ರಚಿಸುವುದನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸುತ್ತದೆ. ಕೆಲಸದ ಆದೇಶದ ವಿರುದ್ಧ ಕಾರ್ಯಗಳನ್ನು ಟ್ರ್ಯಾಕ್ ಮಾಡಲಾಗುವುದಿಲ್ಲ
Group node warehouse is not allowed to select for transactions,ಗುಂಪು ನೋಡ್ ಗೋದಾಮಿನ ವ್ಯವಹಾರಕ್ಕಾಗಿ ಆಯ್ಕೆ ಮಾಡಲು ಅನುಮತಿಸಲಾಗಿಲ್ಲ
Subscriber Name,ಚಂದಾದಾರ ಹೆಸರು
Customer Mobile No,ಗ್ರಾಹಕ ಮೊಬೈಲ್ ಸಂಖ್ಯೆ
Receiving,ಸ್ವೀಕರಿಸಲಾಗುತ್ತಿದೆ
Is Group,ಗುಂಪು
Contacts and Address,ಸಂಪರ್ಕಗಳು ಮತ್ತು ವಿಳಾಸ
Warehouse Name,ವೇರ್ಹೌಸ್ ಹೆಸರು
Attendance not submitted for {0} as it is a Holiday.,{0} ಹಾಲಿಡೇ ಆಗಿ ಹಾಜರಾತಿ ಸಲ್ಲಿಸಲಿಲ್ಲ.
Rounding,ಪೂರ್ಣಾಂಕವನ್ನು
Ineligible ITC,ಅನರ್ಹ ಐಟಿಸಿ
{0} created,{0} ರಚಿಸಲಾಗಿದೆ
Select account head of the bank where cheque was deposited.,ಚೆಕ್ ಠೇವಣಿ ಮಾಡಲ್ಪಟ್ಟ ಬ್ಯಾಂಕ್ನ ಖಾತೆ ಮುಖ್ಯಸ್ಥನನ್ನು ಆಯ್ಕೆಮಾಡಿ.
Support and Resolution,ಬೆಂಬಲ ಮತ್ತು ನಿರ್ಣಯ
Bank,ಬ್ಯಾಂಕ್
Receive at Warehouse Entry,ವೇರ್ಹೌಸ್ ಎಂಟ್ರಿನಲ್ಲಿ ಸ್ವೀಕರಿಸಿ
Send Supplier Emails,ಪೂರೈಕೆದಾರ ಇಮೇಲ್ಗಳನ್ನು ಕಳುಹಿಸಿ
Add new line,ಹೊಸ ಸಾಲನ್ನು ಸೇರಿಸಿ
Duplicate item group found in the item group table,ಐಟಂ ಗ್ರೂಪ್ ಟೇಬಲ್ನಲ್ಲಿ ನಕಲಿ ಐಟಂ ಗುಂಪು ಕಂಡುಬರುತ್ತದೆ
Annual Salary,ವಾರ್ಷಿಕ ವೇತನ
Weighting Function,ತೂಕ ನಷ್ಟ ಕ್ರಿಯೆ
Error evaluating the criteria formula,ಮಾನದಂಡ ಸೂತ್ರವನ್ನು ಮೌಲ್ಯಮಾಪನ ಮಾಡುವಲ್ಲಿ ದೋಷ
Lab Test Report,ಲ್ಯಾಬ್ ಟೆಸ್ಟ್ ವರದಿ
With Operations,ಕಾರ್ಯಾಚರಣೆಗಳೊಂದಿಗೆ
People who teach at your organisation,ನಿಮ್ಮ ಸಂಸ್ಥೆಯಲ್ಲಿ ಕಲಿಸುವ ಜನರು
Account {0} does not belongs to company {1},ಖಾತೆ {0} ಕಂಪನಿಗೆ ಸೇರಿಲ್ಲ {1}
Has Expiry Date,ಅವಧಿ ಮುಗಿದಿದೆ
Sum of Scores of Assessment Criteria needs to be {0}.,ಮೌಲ್ಯಮಾಪನ ಮಾನದಂಡಗಳ ಮೊತ್ತವು {0} ಆಗಿರಬೇಕು.
Property already added,ಆಸ್ತಿ ಈಗಾಗಲೇ ಸೇರಿಸಲಾಗಿದೆ
SUP-.YYYY.-,SUP .YYYY.-
Expense Claim Account,ಖರ್ಚು ಕ್ಲೈಮ್ ಖಾತೆ
No repayments available for Journal Entry,ಜರ್ನಲ್ ಎಂಟ್ರಿಗೆ ಮರುಪಾವತಿ ಇಲ್ಲ
{0} - {1} is inactive student,{0} - {1} ನಿಷ್ಕ್ರಿಯ ವಿದ್ಯಾರ್ಥಿ
Activities,ಚಟುವಟಿಕೆಗಳು
Atleast one warehouse is mandatory,ಕನಿಷ್ಠ ಒಂದು ಗೋದಾಮಿನ ಕಡ್ಡಾಯವಾಗಿದೆ
Customer Credit Balance,ಗ್ರಾಹಕರ ಕ್ರೆಡಿಟ್ ಬ್ಯಾಲೆನ್ಸ್
Operations,ಕಾರ್ಯಾಚರಣೆ
Create Salary Slips,ವೇತನ ಸ್ಲಿಪ್ಸ್ ರಚಿಸಿ
Monthly Attendance Sheet,ಮಾಸಿಕ ಹಾಜರಾತಿ ಶೀಟ್
Reflexes,ಪ್ರತಿಫಲಿತಗಳು
"Service Item,Type,frequency and expense amount are required","ಸೇವೆ ಐಟಂ, ಪ್ರಕಾರ, ಆವರ್ತನ ಮತ್ತು ವೆಚ್ಚದ ಮೊತ್ತದ ಅಗತ್ಯವಿದೆ"
Variables,ವೇರಿಯೇಬಲ್ಸ್
Multiple Loyalty Program found for the Customer. Please select manually.,ಗ್ರಾಹಕನಿಗೆ ಬಹು ಲಾಯಲ್ಟಿ ಕಾರ್ಯಕ್ರಮ ಕಂಡುಬಂದಿದೆ. ದಯವಿಟ್ಟು ಹಸ್ತಚಾಲಿತವಾಗಿ ಆಯ್ಕೆಮಾಡಿ.
Medication,ಔಷಧಿ
Select Loyalty Program,ಲಾಯಲ್ಟಿ ಪ್ರೋಗ್ರಾಂ ಆಯ್ಕೆಮಾಡಿ
Raw Materials,ಕಚ್ಚಾ ವಸ್ತುಗಳು
Fully Billed,ಸಂಪೂರ್ಣವಾಗಿ ಬಿಲ್ ಮಾಡಲಾಗಿದೆ
Please set Hotel Room Rate on {},ಹೋಟೆಲ್ ಕೊಠಡಿ ದರವನ್ನು ದಯವಿಟ್ಟು {@} ಹೊಂದಿಸಿ
Please identify/create Account (Ledger) for type - {0},ದಯವಿಟ್ಟು ಕೌಟುಂಬಿಕತೆಗಾಗಿ ಖಾತೆಯನ್ನು (ಲೆಡ್ಜರ್) ಗುರುತಿಸಿ / ರಚಿಸಿ - {0}
Total Credit/ Debit Amount should be same as linked Journal Entry,ಲಿಂಕ್ಡ್ ಜರ್ನಲ್ ಎಂಟ್ರಿ ಯಂತೆ ಒಟ್ಟು ಕ್ರೆಡಿಟ್ / ಡೆಬಿಟ್ ಮೊತ್ತವು ಇರಬೇಕು
Is Fixed Asset,ಸ್ಥಿರ ಆಸ್ತಿ ಇದೆ
To Party Name,ಪಕ್ಷದ ಹೆಸರು
This Item is a Variant of {0} (Template).,ಈ ಐಟಂ {0} (ಟೆಂಪ್ಲೇಟು) ಒಂದು ಭಿನ್ನವಾಗಿದೆ.
This tool helps you to update or fix the quantity and valuation of stock in the system. It is typically used to synchronise the system values and what actually exists in your warehouses.,ಸಿಸ್ಟಂನಲ್ಲಿನ ಸ್ಟಾಕ್ನ ಪ್ರಮಾಣ ಮತ್ತು ಮೌಲ್ಯಮಾಪನವನ್ನು ನವೀಕರಿಸಲು ಅಥವಾ ಸರಿಪಡಿಸಲು ಈ ಉಪಕರಣವು ನಿಮಗೆ ಸಹಾಯ ಮಾಡುತ್ತದೆ. ಸಿಸ್ಟಂ ಮೌಲ್ಯಗಳನ್ನು ಸಿಂಕ್ರೊನೈಸ್ ಮಾಡಲು ಮತ್ತು ನಿಮ್ಮ ಗೋದಾಮುಗಳಲ್ಲಿ ನಿಜವಾಗಿ ಅಸ್ತಿತ್ವದಲ್ಲಿದೆ.
Net Amount,ನಿವ್ವಳ ಮೊತ್ತ
Selling Price List,ಬೆಲೆ ಪಟ್ಟಿ ಮಾರಾಟ
IT,IT
{0} must be negative in return document,{0} ರಿಟರ್ನ್ ಡಾಕ್ಯುಮೆಂಟ್ನಲ್ಲಿ ನಕಾರಾತ್ಮಕವಾಗಿರಬೇಕು
Please select a valid Date,ದಯವಿಟ್ಟು ಮಾನ್ಯವಾದ ದಿನಾಂಕವನ್ನು ಆಯ್ಕೆ ಮಾಡಿ
End Day,ಅಂತ್ಯ ದಿನ
Please confirm once you have completed your training,ನಿಮ್ಮ ತರಬೇತಿ ಪೂರ್ಣಗೊಂಡ ಬಳಿಕ ದಯವಿಟ್ಟು ದೃಢೀಕರಿಸಿ
Go to Letterheads,ಲೆಟರ್ಹೆಡ್ಸ್ಗೆ ಹೋಗಿ
Allow User,ಬಳಕೆದಾರರನ್ನು ಅನುಮತಿಸಿ
% of materials delivered against this Sales Order,ಈ ಮಾರಾಟದ ಆದೇಶದ ವಿರುದ್ಧ ವಸ್ತುಗಳ ವಿತರಣೆ
Purpose of Travel,ಪ್ರಯಾಣ ಉದ್ದೇಶ
Appointment Confirmation,ನೇಮಕಾತಿ ದೃಢೀಕರಣ
Orders,ಆದೇಶಗಳು
Retirement Age,ನಿವೃತ್ತಿ ವಯಸ್ಸು
Projected Qty,ಯೋಜಿತ Qty
Deletion is not permitted for country {0},ದೇಶಕ್ಕಾಗಿ {0} ಅಳಿಸುವಿಕೆಗೆ ಅನುಮತಿ ಇಲ್ಲ
Row #{0}: Asset {1} is already {2},ಸಾಲು # {0}: ಸ್ವತ್ತು {1} ಈಗಾಗಲೇ {2} ಆಗಿದೆ
Installation Status,ಅನುಸ್ಥಾಪನಾ ಸ್ಥಿತಿ
Attribute Value,ಗುಣಲಕ್ಷಣ ಮೌಲ್ಯ
Base Change Amount (Company Currency),ಮೂಲ ಬದಲಾವಣೆ ಮೊತ್ತ (ಕಂಪೆನಿ ಕರೆನ್ಸಿ)
Unused leaves,ಉಪಯೋಗಿಸದ ಎಲೆಗಳು
Finished Item {0} must be entered for Manufacture type entry,ಮುಕ್ತಾಯದ ಐಟಂ {0} ತಯಾರಿಕೆ ಪ್ರಕಾರ ನಮೂದುಗಾಗಿ ನಮೂದಿಸಬೇಕು
'Entries' cannot be empty,&#39;ನಮೂದುಗಳು&#39; ಖಾಲಿಯಾಗಿರಬಾರದು
Go to Courses,ಶಿಕ್ಷಣಕ್ಕೆ ಹೋಗಿ
Fee Breakup for each student,ಪ್ರತಿ ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಶುಲ್ಕ ವಿಭಜನೆ
Will also apply for variants,ರೂಪಾಂತರಗಳಿಗಾಗಿ ಸಹ ಅನ್ವಯಿಸುತ್ತದೆ
Shared secret,ರಹಸ್ಯವನ್ನು ಹಂಚಲಾಗಿದೆ
Write Off Cost Center,ವೆಚ್ಚ ಕೇಂದ್ರವನ್ನು ಬರೆಯಿರಿ
Silty Clay,ಸಿಲ್ಟಿ ಕ್ಲೇ
Redeemed Points,ರಿಡೀಮ್ ಮಾಡಲಾದ ಪಾಯಿಂಟುಗಳು
Mandate,ಮ್ಯಾಂಡೇಟ್
Create Multiple,ಬಹು ರಚಿಸಿ
Scoring Standings,ಸ್ಕೋರಿಂಗ್ ಸ್ಟ್ಯಾಂಡಿಂಗ್ಸ್
Result Title Field,ಫಲಿತಾಂಶ ಶೀರ್ಷಿಕೆ ಕ್ಷೇತ್ರ
New Leaves Allocated,ಹೊಸ ಎಲೆಗಳು ಹಂಚಿಕೆಯಾಗಿದೆ
Homepage,ಮುಖಪುಟ
Compensatory Off,ಕಾಂಪೆನ್ಸೇಟರಿ ಆಫ್
Opening Invoices Summary,ಇನ್ವಾಯ್ಸ್ ಸಾರಾಂಶವನ್ನು ತೆರೆಯಲಾಗುತ್ತಿದೆ
Engine Oil,ಎಂಜಿನ್ ಆಯಿಲ್
Applicant Name,ಅರ್ಜಿದಾರರ ಹೆಸರು
Delivery Document No,ಡೆಲಿವರಿ ಡಾಕ್ಯುಮೆಂಟ್ ನಂ
Hub Users,ಹಬ್ ಬಳಕೆದಾರರು
Actual Quantity,ವಾಸ್ತವಿಕ ಪ್ರಮಾಣ
Credit Days,ಕ್ರೆಡಿಟ್ ಡೇಸ್
Project Id,ಪ್ರಾಜೆಕ್ಟ್ ಐಡಿ
Electronics,ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್
Due Date is mandatory,ಕಾರಣ ದಿನಾಂಕ ಕಡ್ಡಾಯವಾಗಿದೆ
Qty Consumed Per Unit,ಕ್ಯೂಟಿ ಯುನಿಟ್ ಪರ್ ಯೂನಿಟ್
Completed Work Orders,ಪೂರ್ಣಗೊಂಡ ಕೆಲಸ ಆದೇಶಗಳು
Help Section,ಸಹಾಯ ವಿಭಾಗ
Attendance date can not be less than employee's joining date,ಹಾಜರಾತಿ ದಿನಾಂಕವು ಉದ್ಯೋಗಿ ಸೇರುವ ದಿನಾಂಕಕ್ಕಿಂತ ಕಡಿಮೆಯಿರಬಾರದು
Total Cost(Company Currency),ಒಟ್ಟು ವೆಚ್ಚ (ಕಂಪನಿ ಕರೆನ್ಸಿ)
Net Total,ಒಟ್ಟು ಮೊತ್ತ
Referral,ರೆಫರಲ್
Model,ಮಾದರಿ
Please specify from/to range,ದಯವಿಟ್ಟು / ನಿಂದ ವ್ಯಾಪ್ತಿಗೆ ನಿರ್ದಿಷ್ಟಪಡಿಸಿ
Quantity to Manufacture must be greater than 0.,ತಯಾರಿಕೆಗೆ ಪ್ರಮಾಣವು 0 ಕ್ಕಿಂತ ಹೆಚ್ಚಿರಬೇಕು.
Maintenance Time,ನಿರ್ವಹಣೆ ಸಮಯ
Naming Series,ಹೆಸರಿಸುವ ಸರಣಿ
Contract Terms,ಕಾಂಟ್ರಾಕ್ಟ್ ನಿಯಮಗಳು
Either target qty or target amount is mandatory.,ಗುರಿ qty ಅಥವ target ಪ್ರಮಾಣವು ಕಡ್ಡಾಯವಾಗಿರುತ್ತದೆ.
Invalid {0},ಅಮಾನ್ಯವಾದ {0}
FIFO,ಫಿಫಾ
Meeting Date,ಸಭೆ ದಿನಾಂಕ
HLC-INP-.YYYY.-,ಎಚ್ಎಲ್ಸಿ-ಐಎನ್ಪಿ -YYYY.-
Abbreviation cannot have more than 5 characters,ಸಂಕ್ಷೇಪಣವು 5 ಕ್ಕಿಂತಲೂ ಹೆಚ್ಚು ಅಕ್ಷರಗಳನ್ನು ಹೊಂದಿಲ್ಲ
Max Benefits (Yearly),ಗರಿಷ್ಠ ಬೆನಿಫಿಟ್ಸ್ (ವಾರ್ಷಿಕ)
Create Material Request,ಮೆಟೀರಿಯಲ್ ವಿನಂತಿ ರಚಿಸಿ
Primary Address Details,ಪ್ರಾಥಮಿಕ ವಿಳಾಸ ವಿವರಗಳು
Duration (Days),ಅವಧಿ (ದಿನಗಳು)
Customer Feedback Template Table,ಗ್ರಾಹಕ ಪ್ರತಿಕ್ರಿಯೆ ಟೆಂಪ್ಲೇಟು ಟೇಬಲ್
Price List Rate,ಬೆಲೆ ಪಟ್ಟಿ ದರ
Action if Annual Budget Exceeded on PO,ವಾರ್ಷಿಕ ಬಜೆಟ್ ಪಿಒನಲ್ಲಿ ಮೀರಿದರೆ ಕ್ರಿಯೆ
Campaign,ಪ್ರಚಾರ
Accounting,ಲೆಕ್ಕಪತ್ರ
Set Item Group-wise budgets on this Territory. You can also include seasonality by setting the Distribution.,ಈ ಪ್ರಾಂತ್ಯದಲ್ಲಿ ಐಟಂ ಬುದ್ಧಿವಂತಿಕೆಯ ಬಜೆಟ್ಗಳನ್ನು ಹೊಂದಿಸಿ. ವಿತರಣೆಯನ್ನು ಹೊಂದಿಸುವ ಮೂಲಕ ಋತುತ್ವವನ್ನು ಸಹ ನೀವು ಸೇರಿಸಬಹುದು.
Insurance Start date should be less than Insurance End date,ವಿಮಾ ಪ್ರಾರಂಭ ದಿನಾಂಕವು ವಿಮಾ ಮುಕ್ತಾಯ ದಿನಾಂಕಕ್ಕಿಂತ ಕಡಿಮೆಯಿರಬೇಕು
{0} items in progress,{0} ಪ್ರಗತಿಯಲ್ಲಿರುವ ವಸ್ತುಗಳು
Foreign Trade Details,ವಿದೇಶಿ ವ್ಯಾಪಾರ ವಿವರಗಳು
Yes/No,ಹೌದು ಅಲ್ಲ
Is Master Data Imported,ಮಾಸ್ಟರ್ ಡೇಟಾ ಆಮದು ಮಾಡಲಾಗಿದೆ
Item Tax Row {0} must have account of type Tax or Income or Expense or Chargeable,ಐಟಂ ತೆರಿಗೆ ಸಾಲು {0} ವಿಧ ತೆರಿಗೆ ಅಥವಾ ಆದಾಯ ಅಥವಾ ಖರ್ಚು ಅಥವಾ ಚಾರ್ಜ್ ಮಾಡಬಹುದಾದ ಖಾತೆಯ ಹೊಂದಿರಬೇಕು
{0} is not a valid Batch Number for Item {1},{0} ಐಟಂ {1} ಗೆ ಮಾನ್ಯ ಬ್ಯಾಚ್ ಸಂಖ್ಯೆ ಅಲ್ಲ
Learn More,ಇನ್ನಷ್ಟು ತಿಳಿಯಿರಿ
Credit Note {0} has been created automatically,ಕ್ರೆಡಿಟ್ ಸೂಚನೆ {0} ಅನ್ನು ಸ್ವಯಂಚಾಲಿತವಾಗಿ ರಚಿಸಲಾಗಿದೆ
Queued for replacing the BOM. It may take a few minutes.,BOM ಅನ್ನು ಬದಲಿಸಲು ಸರದಿಯಲ್ಲಿದೆ. ಇದು ಕೆಲವು ನಿಮಿಷಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳಬಹುದು.
Result Date,ಫಲಿತಾಂಶ ದಿನಾಂಕ
Currency exchange rate master.,ಕರೆನ್ಸಿ ವಿನಿಮಯ ದರದ ಮಾಸ್ಟರ್.
Latest price updated in all BOMs,ಎಲ್ಲಾ BOM ಗಳಲ್ಲಿ ನವೀಕರಿಸಿದ ಇತ್ತೀಚಿನ ಬೆಲೆ
Series Updated Successfully,ಸರಣಿ ಯಶಸ್ವಿಯಾಗಿ ನವೀಕರಿಸಲಾಗಿದೆ
Clay Loam,ಕ್ಲೇ ಲೊಮ್
Please select item code,ಐಟಂ ಕೋಡ್ ಅನ್ನು ಆಯ್ಕೆ ಮಾಡಿ
Default warehouse is required for selected item,ಡೀಫಾಲ್ಟ್ ಗೋದಾಮಿನ ಆಯ್ಕೆಮಾಡಿದ ಐಟಂಗೆ ಅಗತ್ಯವಿದೆ
No Item with Serial No {0},ಸೀರಿಯಲ್ನೊಂದಿಗೆ ಐಟಂ ಇಲ್ಲ {0}
Party Type and Party is mandatory for {0} account,{0} ಖಾತೆಗೆ ಪಕ್ಷದ ಕೌಟುಂಬಿಕತೆ ಮತ್ತು ಪಕ್ಷವು ಕಡ್ಡಾಯವಾಗಿದೆ
Accountant,ಅಕೌಂಟೆಂಟ್
POS Closing Voucher alreday exists for {0} between date {1} and {2},ಪಿಓಎಸ್ ಕ್ಲೋಸಿಂಗ್ ವೋಚರ್ ಅಲ್ಡೆರೆ ದಿನಾಂಕಕ್ಕೆ {0} ಮತ್ತು {2} ನಡುವೆ {0}
Navigating,ನ್ಯಾವಿಗೇಟ್ ಮಾಡಲಾಗುತ್ತಿದೆ
Customer / Item Name,ಗ್ರಾಹಕ / ಐಟಂ ಹೆಸರು
New Serial No cannot have Warehouse. Warehouse must be set by Stock Entry or Purchase Receipt,ಹೊಸ ಸೀರಿಯಲ್ ಸಂಖ್ಯೆಗೆ ವೇರ್ಹೌಸ್ ಇರಬಾರದು. ವೇರ್ಹೌಸ್ ಅನ್ನು ಸ್ಟಾಕ್ ಎಂಟ್ರಿ ಅಥವಾ ಖರೀದಿ ರಶೀದಿ ಹೊಂದಿಸಬೇಕು
Via Customer Portal,ಗ್ರಾಹಕರ ಪೋರ್ಟಲ್ ಮೂಲಕ
Planned Start Time,ಯೋಜಿತ ಪ್ರಾರಂಭ ಸಮಯ
{0} {1} is {2},{0} {1} {2}
Number of Depreciations Booked cannot be greater than Total Number of Depreciations,ಗೊತ್ತುಪಡಿಸಿದ ಡಿಪ್ರೆಶೇಷನ್ಸ್ ಸಂಖ್ಯೆ ಒಟ್ಟು ಇಳಿಕೆಯ ಮೊತ್ತಕ್ಕಿಂತ ಹೆಚ್ಚಿರಬಾರದು
Share Ledger,ಲೆಡ್ಜರ್ ಹಂಚಿಕೊಳ್ಳಿ
Accounts Payable,ಪಾವತಿಸಬಹುದಾದ ಖಾತೆಗಳು
Select Terms and Conditions,ನಿಯಮಗಳು ಮತ್ತು ಷರತ್ತುಗಳನ್ನು ಆಯ್ಕೆಮಾಡಿ
Ends On date cannot be before Next Contact Date.,ಎಂಡ್ಸ್ ದಿನಾಂಕದಂದು ಮುಂದಿನ ಸಂಪರ್ಕ ದಿನಾಂಕದ ಮೊದಲು ಇರುವಂತಿಲ್ಲ.
