Pension Funds,Fons de pensions
Qty To Manufacture,Qty To Manufacture
Non Profit (beta),Sense ànim de lucre (beta)
Outstanding Amt,Amt excepcional
Pin Code,Codi PIN
Allow the following users to approve Leave Applications for block days.,Permetre als usuaris següents aprovar l&#39;Aplicacions de baixa per a dies de bloqueig.
Please select Maintenance Status as Completed or remove Completion Date,Seleccioneu Estat de manteniment com a finalitzat o suprimiu la data de finalització
Get Items For Work Order,Obteniu articles per ordre de treball
Set Project and all Tasks to status {0}?,Defineix el projecte i totes les tasques a l’estat {0}?
"Show ""In Stock"" or ""Not in Stock"" based on stock available in this warehouse.",Mostra &quot;In Stock&quot; o &quot;Not in Stock&quot; en funció de l’estoc disponible en aquest magatzem.
Delete permanently?,Voleu suprimir definitivament?
MFG-BLR-.YYYY.-,MFG-BLR-.YYYY.-
Is Leave Without Pay,És deixar sense pagar
Row #{0}: Asset {1} must be submitted,La fila # {0}: l’avant {1} s’ha de presentar
Additional Discount Amount (Company Currency),Import de descompte addicional (moneda de la companyia)
Tobacco Past Use,Ús passat del tabac
Materials Required,Materials necessaris
POS Profile,Perfil del TPV
Write Off Entry,Entrada sense escriure
You need to be a user other than Administrator with System Manager and Item Manager roles to register on Marketplace.,Heu de ser un usuari diferent de l’administrador amb funcions del gestor del sistema i del gestor d’elements per registrar-vos al mercat.
Insured value,Valor assegurat
Against Docname,Contra el nom de Doc
"As raw materials projected quantity is more than required quantity, there is no need to create material request.
			Still if you want to make material request, kindly enable <b>Ignore Existing Projected Quantity</b> checkbox","Com que la quantitat projectada de matèries primeres és més que la quantitat requerida, no cal crear cap petició de material. Tot i això, si voleu fer una sol·licitud de material, habiliteu la casella <b>Ignora la quantitat de projecció existent</b>"
Prevdoc DocType,Prevdoc DocType
{0} payment entries can not be filtered by {1},Les {0} entrades de pagament no es poden filtrar per {1}
Variant Field,Camp de variants
Access token or Shopify URL missing,Falta un testimoni d&#39;accés o un URL de Shopify
Bank account cannot be named as {0},El compte bancari no es pot nomenar com a {0}
Terms and Conditions Help,Termes i condicions Ajuda
From and To dates required,Des de i fins a dates requerides
Product Bundle Item,Article del paquet de productes
Group Based On,Basat en grups
Guardian2 Mobile No,Guardian2 Mobile No
Allow Multiple Material Consumption,Permetre el consum de materials múltiples
Acceptance Criteria,Criteris d&#39;acceptació
Shipping rule only applicable for Selling,Norma d’enviament només aplicable per a la venda
Selling Rate,Taxa de venda
Asset,Actiu
{0} does not have a Healthcare Practitioner Schedule. Add it in Healthcare Practitioner master,{0} no té un calendari de professional de la salut. Afegeix-lo al mestre del professional de la salut
Chassis No,Xassís núm
Company Abbreviation,Sigles d’empreses
Tree of Bill of Materials,Arbre de la factura de materials
LMS User,Usuari LMS
Allow Alternative Item,Permetre un article alternatiu
Activity Cost per Employee,Cost de l’activitat per empleat
Open Quotations,Ofertes obertes
Section Footer,Peu de secció
Next Contact By,Següent contacte per
Pending Quantity,Quantitat pendent
SAL-QTN-.YYYY.-,SAL-QTN-.YYYY.-
Select to add Serial Number.,Seleccioneu per afegir el número de sèrie.
modified,modificat
Qty,Quantitat
Net ITC Available(A) - (B),Xarxa ITC disponible (A) - (B)
Material Requests for which Supplier Quotations are not created,Sol·licituds de material per a les quals no es creen les cotitzacions del proveïdor
GST Account,Compte GST
For Price List,Per a la llista de preus
GoCardless Mandate,GoCardless Mandate
Skip Material Transfer to WIP Warehouse,Saltar transferència de material a Magatzem WIP
Primary Settings,Configuració principal
Customer Type,Tipus de client
PU-SSP-.YYYY.-,PU-SSP-.YYYY.-
Use POS in Offline Mode,Utilitzeu el TPV en mode fora de línia
Parent Territory,Territori pare
Odometer Reading,Lectura del comptaquilòmetres
Salary Slip,Retard de salari
Payroll Frequency,Freqüència de nòmina
"Start and end dates not in a valid Payroll Period, cannot calculate {0}","Les dates d&#39;inici i de finalització no es troben en un període de nòmina vàlid, no es pot calcular {0}"
Home Page is Products,La pàgina principal és productes
Calls,Trucades
Reference #{0} dated {1},Referència # {0} de data {1}
Guardian Interest,Interès dels guardians
PO already created for all sales order items,PO ja creat per a tots els elements de comanda de venda
Subscription,Subscripció
Stock Entry Detail,Detall d’entrada de valors
Sales Orders to Bill,Comandes de vendes a Bill
For reference only.,Només per referència.
GL Entry,Entrada GL
Employee Tax Exemption Category,Categoria d&#39;exempció d&#39;impostos dels empleats
Row {0}: asset is required for item {1},La fila {0}: es requereix l’actiu de l’element {1}
Sanctioned Amount,Import sancionat
Taxable Salary Slab,Taula de retribució gravable
Grant Application,Sol·licitud de subvenció
Unable to find score starting at {0}. You need to have standing scores covering 0 to 100,No es pot trobar la puntuació que comença a {0}. Heu de tenir les puntuacions permanents que cobreixen de 0 a 100
EDU-FST-.YYYY.-,EDU-FST-.YYYY.-
Parent Sales Person,Persona de venda de pares
Get Courses,Obteniu cursos
"Row #{0}: Qty must be 1, as item is a fixed asset. Please use separate row for multiple qty.","Fila # {0}: la quantitat ha de ser 1, ja que l’ítem és un actiu fix. Utilitzeu una fila separada per a quantitat múltiple."
Only leaf nodes are allowed in transaction,Només es permeten els nodes de fulla en la transacció
Organization,Organització
Fee Category,Categoria de tarifes
Batch ID,Identificació per lots
Cannot be a fixed asset item as Stock Ledger is created.,"No es pot ser un element d’actiu fix, ja que es crea el llibre de béns immobles."
This Month's Summary,Resum d&#39;aquest mes
Row {0}: {1} {2} does not match with {3},La fila {0}: {1} {2} no coincideix amb {3}
Go to Suppliers,Aneu a Proveïdors
PMO-,PMO-
Please update your status for this training event,Actualitzeu el vostre estat per a aquest esdeveniment de formació
Morning,Matí
Please setup Instructor Naming System in Education &gt; Education Settings,Configureu el sistema de nomenament d’instructor a l’educació&gt; Configuració de l’educació
Quotation Item,Article de cotització
Credit Card Entry,Entrada de targeta de crèdit
"Time slot skiped, the slot {0} to {1} overlap exisiting slot {2} to {3}","S&#39;ha omès la franja horària, la ranura {0} a {1} se superposa a la ranura {2} existent a {3}"
If Income or Expense,Si són ingressos o despeses
Work Order Operation,Operació de l&#39;Ordre de Treball
Address used to determine Tax Category in transactions.,Adreça utilitzada per determinar la categoria fiscal en les transaccions.
Go to Customers,Aneu als clients
Set 0 for no limit,Establiu 0 sense límit
{0} {1}: Account {2} is inactive,{0} {1}: el compte {2} està inactiu
Payment Date,Data de pagament
Assign To Name,Assigna al nom
Warning: Material Requested Qty is less than Minimum Order Qty,Avís: el material requerit Qty és inferior a la quantitat mínima de comanda
Current BOM and New BOM can not be same,El BOM actual i el BOM nou no poden ser els mateixos
Crops & Lands,Cultius i terres
Abbr can not be blank or space,Abbr no pot estar buit ni espai
MAT-MR-.YYYY.-,MAT-MR-.YYYY.-
"Cannot deliver Serial No {0} of item {1} as it is reserved to \
												fullfill Sales Order {2}",No es pot lliurar el número de sèrie {0} de l’article {1} ja que està reservat per omplir l’Ordre de Vendes {2}
Fetching records......,Obtenció de registres ...
Contact Information,Informació de contacte
For Production,Per a la producció
Asset Details,Detalls de l’actiu
Reservation Time,Hora de reserva
Default Territory,Territori per defecte
Dispensed Amount (Pro-rated),Quantitat dispensada (Pro-rated)
Max discount allowed for item: {0} is {1}%,Es permet un descompte màxim per a l’article: {0} és {1}%
List items that form the package.,Llista els elements que formen el paquet.
Amount in customer's currency,Import a la moneda del client
Get Items From Purchase Receipts,Obteniu elements dels rebuts de compra
Row #{0} (Payment Table): Amount must be positive,Fila # {0} (Taula de pagament): la quantitat ha de ser positiva
Employee Tax Exemption Declaration,Declaració d&#39;exempció d&#39;impostos dels empleats
Expected End Date,Data de finalització esperada
Conversion rate cannot be 0 or 1,El percentatge de conversió no pot ser 0 o 1
CRM-OPP-.YYYY.-,CRM-OPP-.YYYY.-
Institute Name,Nom de l’Institut
Asset Status,Estat dels actius
Earnings,Guanys
Total Paid Amount,Import total pagat
To Warehouse,Al magatzem
Total Score (Out of 5),Puntuació total (de 5)
Accounts Receivable,Comptes per cobrar
Setting defaults,Configuració dels valors per defecte
"Cannot ensure delivery by Serial No as \
					Item {0} is added with and without Ensure Delivery by \
					Serial No.",No es pot assegurar el lliurament per número de sèrie com a l’article {0} que s’afegeix amb i sense assegurar el lliurament per número de sèrie.
Invoiced Amount (Exclusive Tax),Import facturat (impost exclusiu)
Cannot change status as student {0} is linked with student application {1},No es pot canviar l&#39;estat com a estudiant {0} està enllaçat amb l&#39;aplicació de l&#39;estudiant {1}
Data Import and Settings,Importació i configuració de dades
"If Auto Opt In is checked, then the customers will be automatically linked with the concerned Loyalty Program (on save)","Si es marca l&#39;opció Auto Opció, els clients es vincularan automàticament amb el programa de fidelització corresponent (en desar)"
Expense Account,Compte de despeses
Relation with Guardian1,Relació amb Guardian1
Create Invoice,Crear factura
Payment Request already exists {0},La sol·licitud de pagament ja existeix {0}
Employee relieved on {0} must be set as 'Left',L&#39;empleat rellevat a {0} s&#39;ha de configurar com a &#39;Esquerra&#39;
Pay {0} {1},Paga {0} {1}
Produced Quantity,Quantitat produïda
The request for quotation can be accessed by clicking on the following link,Es pot accedir a la sol·licitud d’oferta fent clic a l’enllaç següent
Name of the Monthly Distribution,Nom de la distribució mensual
Get Raw Materials For Production,Obteniu matèries primeres per a la producció
New Workplace,Nou lloc de treball
API,API
"Missing value for Password, API Key or Shopify URL","Falta el valor per a contrasenya, clau d&#39;API o URL de Shopify"
Parameter Name,Nom del paràmetre
PUR-RFQ-.YYYY.-,PUR-RFQ-.YYYY.-
Please setup Employee Naming System in Human Resource &gt; HR Settings,Configureu el sistema de nomenament d&#39;empleats en Recursos humans&gt; Configuració de recursos humans
Account {0} does not match with Company {1},El compte {0} no coincideix amb l&#39;empresa {1}
Please select an item in the cart,Seleccioneu un article al carretó
Create Payment Entries,Crea entrades de pagament
Select Company,Seleccioneu l&#39;empresa
Material Request Type,Tipus de sol·licitud de material
