Pension Funds,Pensiju fondi
Default warehouse is required for selected item,Izvēlētajam objektam ir nepieciešama noklusējuma noliktava
No Item with Serial No {0},Neviens vienums ar sērijas Nr. {0}
Party Type and Party is mandatory for {0} account,Konta veids un puse ir obligāti {0} kontā
Accountant,Grāmatvedis
POS Closing Voucher alreday exists for {0} between date {1} and {2},POS slēgšanas kupons alreday pastāv {0} starp datumu {1} un {2}
Navigating,Navigācija
Customer / Item Name,Klienta / vienuma nosaukums
New Serial No cannot have Warehouse. Warehouse must be set by Stock Entry or Purchase Receipt,Jaunajam sērijas numuram nevar būt noliktava. Noliktava ir jānosaka ar krājumu ierakstu vai pirkuma kvīti
Via Customer Portal,Izmantojot klientu portālu
Planned Start Time,Plānotais sākuma laiks
{0} {1} is {2},{0} {1} ir {2}
Number of Depreciations Booked cannot be greater than Total Number of Depreciations,Rezervēto nolietojumu skaits nedrīkst būt lielāks par kopējo nolietojumu skaitu
Share Ledger,Share Ledger
Accounts Payable,Debitoru parādi
Select Terms and Conditions,Izvēlieties Noteikumus un nosacījumus
Ends On date cannot be before Next Contact Date.,Beigas Datums nevar būt līdz nākamajam kontaktu datumam.
Goods are already received against the outward entry {0},Preces jau ir saņemtas pret ievades ierakstu {0}
Tax Exemption Category,Nodokļu atbrīvojuma kategorija
Debit To,Debeta maksājums
"Selling must be checked, if Applicable For is selected as {0}","Pārdošana ir jāpārbauda, ja piemērojams ir {0}"
Date of Establishment,Dibināšanas datums
Leave Type is madatory,Atstājiet tipu ir trakums
Sales Taxes and Charges Template,Pārdošanas nodokļi un maksas veidne
Return Against Purchase Receipt,Atgriezties pret pirkuma saņemšanu
Student Group: ,Studentu grupa:
Cheque Size,Pārbaudiet izmēru
Consolidated Financial Statement,Konsolidētais finanšu pārskats
Scanned Cheque,Skenēta pārbaude
Reservation End Time,Rezervācijas beigu laiks
In Value,Vērtībā
Staffing Plan,Personāla plāns
Material Transferred for Manufacture,Ražošanai nodots materiāls
Reserved for manufacturing,Rezervēts ražošanai
Undeposited Funds Account,Nenomaksāto līdzekļu konts
Material Request No,Materiāla pieprasījums Nr
Unreconciled Payment Details,Nesaskaņoti maksājuma dati
RFQs are not allowed for {0} due to a scorecard standing of {1},"RFQ nav atļauts {0}, pateicoties {1} rādītāja rādītājam"
Validity in Days,Derīgums dienās
Applicable for Countries,Piemērojams valstīm
Individual,Individuāls
Clinical Procedure Template,Klīniskās procedūras veidne
Net Asset value as on,Neto aktīvu vērtība kā
Redemption Account,Atpirkšanas konts
Tree of Item Groups.,Vienumu grupu koks.
Show Items,Rādīt vienumus
Paid Loan,Apmaksātais aizdevums
Do you really want to scrap this asset?,Vai tiešām vēlaties atcelt šo aktīvu?
Sales Order Date,Pārdošanas pasūtījuma datums
Operating Costs,Ekspluatācijas izmaksas
Lead Time in days,Svina laiks dienās
Repay from Salary,Atmaksāt no algas
Discounted Invoice,Diskontēts rēķins
Leave Block List Allow,Atstāt bloķēšanas sarakstu Atļaut
AMC Expiry Date,AMC derīguma termiņš
Number of Depreciations Booked,Rezervēto nolietojumu skaits
Student Group Creation Tool,Studentu grupu izveides rīks
Purchase Order Items To Be Billed,"Pirkuma pasūtījuma vienumi, kas tiks iekasēti"
Holiday List for Optional Leave,Brīvdienu saraksts pēc izvēles
Default settings for accounting transactions.,Grāmatvedības darījumu noklusējuma iestatījumi.
Scan Barcode,Skenēt svītrkodu
Update Cost Center Number,Atjaunināt izmaksu centra numuru
Service Start Date,Pakalpojuma sākuma datums
Furnitures and Fixtures,Mēbeles un piederumi
Criteria weights must add up to 100%,Kritēriju svaram jāpievieno līdz 100%
Average Discount,Vidējā atlaide
Discount must be less than 100,Atlaidei jābūt mazākai par 100%
Accumulated Depreciation as on,Uzkrātā nolietojuma vērtība
Supplier Scorecard Scoring Variable,Piegādātājs Scorecard Scoring Mainīgais
Message to show,"Ziņojums, kas jāparāda"
No Students in,Nav studentu
Temporary Accounts,Pagaidu konti
Bank Charges,Bankas maksa
Goods Transferred,Pārvestās preces
Primary Contact Details,Primārā kontaktinformācija
Values,Vērtības
"If not checked, the list will have to be added to each Department where it has to be applied.","Ja tas netiek pārbaudīts, saraksts būs jāpievieno katram departamentam, kur tas ir jāpiemēro."
Show this slideshow at the top of the page,Rādīt šo slaidrādi lapas augšdaļā
{0} parameter is invalid,{0} parametrs nav derīgs
No description given,Nav sniegts apraksts
Closed Documents,Slēgtie dokumenti
Gross Margin,Bruto peļņa
Exchange Rate Revaluation Account,Valūtas kursa pārvērtēšanas konts
Quotation To,Citāts uz
Bank Statement Settings Item,Bankas izraksta iestatījumu vienums
Setup Series,Iestatīšanas sērija
Reload Linked Analysis,Pārlādēt saistīto analīzi
Quantity must be less than or equal to {0},Daudzumam jābūt mazākam vai vienādam ar {0}
Out Qty,Out Qty
Outward,Uz āru
Please enter Sales Orders in the above table,"Lūdzu, ievadiet pārdošanas pasūtījumus iepriekš minētajā tabulā"
Bank Charges Account,Bankas maksājumu konts
Get Outstanding Invoices,Saņemiet izcilus rēķinus
Opportunity From,Iespēja no
Customer Code,Klienta kods
Please enter Item first,"Lūdzu, vispirms ievadiet vienumu"
Website Listing,Vietņu saraksts
Invalid GSTIN! The input you've entered doesn't match the format of GSTIN.,Nederīgs GSTIN! Ievadītā ievade neatbilst GSTIN formātam.
Re-order Qty,Pārsūtīt pasūtījumu
Maintenance Required,Nepieciešama apkope
Doc Name,Doc Nosaukums
Lead Owner cannot be same as the Lead,Galvenais īpašnieks nevar būt tāds pats kā Svins
"e.g. Bank, Cash, Credit Card","piemēram, Banka, Nauda, Kredītkarte"
Serial Number Series,Sērijas numuru sērija
Bank Statement Transaction Entry List,Bankas izraksta darījumu saraksts
Postal Expenses,Pasta izdevumi
Management,Vadība
To view logs of Loyalty Points assigned to a Customer.,Lai skatītu Klientam piešķirto lojalitātes punktu žurnālus.
If subcontracted to a vendor,Apakšuzņēmuma līgums ar pārdevēju
Visit the forums,Apmeklējiet forumus
C-Form,C veidlapa
Maintenance Team,Tehniskās apkopes komanda
{0} on Half day Leave on {1},{0} pusdienlaikā Atstājiet uz {1}
Combined invoice portion must equal 100%,Kombinētā rēķina daļai jābūt vienādai ar 100%
Occupational Hazards and Environmental Factors,Arodslimības un vides faktori
Volunteer,Brīvprātīgais
Custom Result,Pielāgots rezultāts
Opening Date,Sākuma datums
The selected BOMs are not for the same item,Izvēlētie BOM nav par vienu un to pašu vienumu
Delivery To,Piegāde līdz
Bank Data,Bankas dati
Scheduled Upto,Plānotais Upto
Everyday,Katru dienu
Maintain Billing Hours and Working Hours Same on Timesheet,"Saglabājiet norēķinu stundas un darba stundas, kas norādītas laika kontrolsarakstā"
Track Leads by Lead Source.,Track Leads ar Lead Source.
Nursing User,Aprūpes lietotājs
Response Key List,Atbildes atslēgu saraksts
Ageing Based On,Novecošana balstīta uz
Balance,Bilance
Warehouse where you are maintaining stock of rejected items,"Noliktava, kurā jūs uzturat noraidīto preču krājumus"
Retail,Mazumtirdzniecība
Maintenance Schedules,Uzturēšanas grafiki
Cannot convert Cost Center to ledger as it has child nodes,"Nevar konvertēt izmaksu centru uz virsgrāmatu, jo tajā ir bērnu mezgli"
Please specify at least one attribute in the Attributes table,"Lūdzu, norādiet vismaz vienu atribūtu tabulā"
Create Chart Of Accounts Based On,Izveidojiet uz kontu balstītu kontu diagrammu
Sales Invoice {0} must be cancelled before cancelling this Sales Order,Pirms šī pārdošanas pasūtījuma atcelšanas pārdošanas rēķins {0} ir jāatceļ
Default Purchase Unit of Measure,Noklusējuma pirkuma mērvienība
Location Details,Atrašanās vietas informācija
Basic Rate (as per Stock UOM),Pamatlikme (atbilstoši akciju UOM)
Travel Request Costing,Ceļojumu pieprasījuma izmaksu aprēķins
Create Sales Invoice,Izveidojiet pārdošanas rēķinu
From Time cannot be greater than To Time.,No laika nevar būt lielāka par laiku.
To Date cannot be less than From Date,Datums nevar būt mazāks par datumu No datums
Manage Territory Tree.,Pārvaldiet teritorijas koku.
Voucher Type,Kupona veids
Serial No Service Contract Expiry,Sērijas Nr. Pakalpojuma līguma beigu termiņš
Certified,Sertificēts
Manufacture,Ražot
{0} items produced,{0} izgatavoti vienumi
Payment Request for {0},Maksājuma pieprasījums {0}
Days Since Last Order,Dienas kopš pēdējā pasūtījuma
Please set default Cash or Bank account in Mode of Payment {0},"Lūdzu, iestatiet noklusējuma naudas vai bankas kontu maksājuma režīmā {0}"
Instructors,Instruktori
Mark Present,Atzīmēt dāvanu
"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes",Klientu ērtībai šos kodus var izmantot tādos drukas formātos kā rēķini un piegādes piezīmes
Enable Amazon,Iespējot Amazon
Total Interest Payable,Maksājamā procentu summa
Topic Content,Tēmas saturs
Company Address Name,Uzņēmuma adreses nosaukums
Goods In Transit,Preces tranzītā
You can only redeem max {0} points in this order.,Šajā rīkojumā varat izmantot tikai maksimālos punktus {0}.
Please set account in Warehouse {0},"Lūdzu, iestatiet kontu noliktavā {0}"
Resolution,Izšķirtspēja
Loyalty Points Redemption,Lojalitātes punkti Atpirkšana
Total Taxable Value,Kopējā nodokļa vērtība
Scheduled,Plānots
Partner Type,Partnera veids
Import of services,Pakalpojumu imports
School/University,Skola / universitāte
Row {0}: UOM Conversion Factor is mandatory,{0} rinda: UOM konversijas koeficients ir obligāts
Reference No.,Atsauces numurs
Additional Operating Cost,Papildu ekspluatācijas izmaksas
Collection Factor (=1 LP),Kolekcijas faktors (= 1 LP)
Delivery Document Type,Piegādes dokumenta veids
Attributes,Atribūti
Bank Guarantee,Bankas garantija
Territory Name,Teritorijas nosaukums
Minimum Qty ,Minimālais daudzums
Per Week,Nedēļā
Warn for new Request for Quotations,Brīdiniet par jaunu piedāvājumu
Tax,Nodoklis
Visited,Apmeklēts
Auto Opt In (For all customers),Automātiska ieslēgšana (visiem klientiem)
Rate at which Customer Currency is converted to customer's base currency,"Likme, kādā Klienta valūta tiek konvertēta klienta pamatvalūtā"
Applicable if the company is an Individual or a Proprietorship,"Piemērojams, ja uzņēmums ir fiziska persona vai īpašnieks"
Restaurant,Restorāns
Address Name,Adrese nosaukums
Employee Promotion,Darbinieku paaugstināšana
No repayments selected for Journal Entry,Žurnāla ierakstam nav atlasīti maksājumi
Set Invoice Value for B2C. B2CL and B2CS calculated based on this invoice value.,"Iestatiet B2C rēķina vērtību. B2CL un B2CS aprēķina, pamatojoties uz šo rēķina vērtību."
Cannot deduct when category is for 'Valuation' or 'Vaulation and Total',"Nevar atskaitīt, kad kategorija ir “Vērtēšana” vai “Vaulācija un kopsumma”"
Revised On,Pārskatīts ieslēgts
Please enter Root Type for - {0},"Lūdzu, ievadiet - {0} saknes veidu"
The item referenced by {0} - {1} is already invoiced,"Vienums, uz kuru atsaucas {0} - {1}, jau ir izrakstīts rēķinā"
Suspended,Apturēts
Accumulated Depreciation Account,Uzkrātais nolietojuma konts
Credit in Company Currency,Kredīts uzņēmuma valūtā
Entertainment & Leisure,Izklaide un atpūta
New Sales Invoice,Jauns pārdošanas rēķins
Net Profit,Tīrā peļņa
Another Sales Person {0} exists with the same Employee id,Vēl viens pārdošanas personāls {0} pastāv ar to pašu darbinieku ID
Closing (Dr),Aizvēršana (Dr)
Loyalty Program Tier,Lojalitātes programmas līmenis
Total Taxes and Charges,Kopējie nodokļi un maksas
JP,JP
Operation Description,Darbības apraksts
Bank Transaction Entries,Bankas darījumu ieraksti
Leave Approval Notification Template,Atstājiet apstiprinājuma paziņojuma veidni
Doc Type,Doc Type
New Purchase Invoice,Jauns pirkuma rēķins
"Requested Qty: Quantity requested for purchase, but not ordered.","Pieprasītais daudzums: iepirkšanai pieprasītais daudzums, bet nav pasūtīts."
Supplier Name,Piegādātāja nosaukums
Please click on 'Generate Schedule' to fetch Serial No added for Item {0},"Lūdzu, noklikšķiniet uz “Izveidot grafiku”, lai iegūtu {0} vienumam pievienoto sērijas Nr."
Cost of Delivered Items,Piegādāto vienību izmaksas
Consumed,Patērēti
Legal Entity / Subsidiary with a separate Chart of Accounts belonging to the Organization.,Juridiska persona / meitasuzņēmums ar atsevišķu Organizācijas kontu kontu.
Show In Website,Rādīt vietnē
"Then Pricing Rules are filtered out based on Customer, Customer Group, Territory, Supplier, Supplier Type, Campaign, Sales Partner etc.","Pēc tam cenu noteikšanas noteikumi tiek filtrēti, pamatojoties uz Klientu, klientu grupu, teritoriju, piegādātāju, piegādātāja veidu, kampaņu, pārdošanas partneri utt."
Payment Request Type,Maksājuma pieprasījuma veids
The field To Shareholder cannot be blank,Lauks Akcionārs nevar būt tukšs
QuickBooks Migrator,QuickBooks Migrator
POS Profile is required to use Point-of-Sale,"POS profils ir nepieciešams, lai izmantotu Point-of-Sale"
Purchase Order Pricing Rule,Pirkuma pasūtījuma cenu noteikšanas noteikums
Expenses,Izdevumi
Cheque,Pārbaudiet
Currency and Price List,Valūta un cenrādis
Shop URL,Veikala URL
Source Location,Avota atrašanās vieta
Enter value must be positive,Ievadīšanas vērtībai jābūt pozitīvai
Allow Cost Center In Entry of Balance Sheet Account,Atļaut izmaksu centru ierakstot bilances kontu
Attendance,Dalība
Internet,Internets
Monthly Distribution Percentages,Mēneša sadalījuma procenti
Dispatch Notification Template,Nosūtīšanas paziņojuma veidne
Total (Without Tax),Kopā (bez nodokļiem)
Cash Flow Mapping,Naudas plūsmas kartēšana
HLC-ENC-.YYYY.-,HLC-ENC-.YYYY.-
Section Leader,Sadaļas vadītājs
Budget Variance Report,Budžeta variantu ziņojums
Gross Purchase Amount,Bruto pirkuma summa
Half Day Date is mandatory,Pusdienas datums ir obligāts
Removed items with no change in quantity or value.,Noņemti vienumi bez daudzuma vai vērtības izmaiņām.
Applicant Type,Pieteikuma iesniedzēja veids
To Address 2,Uz adresi 2
Range,Diapazons
BUDGET,BUDŽETS
Depreciation Entry,Nolietojuma ieraksts
Price List Rate (Company Currency),Cenu saraksta likme (uzņēmuma valūta)
Not Paid and Not Delivered,Nav samaksāts un netiek piegādāts
Sales Invoice {0} created,Izveidots pārdošanas rēķins {0}
Objective,Mērķis
Admission Scheduled,Uzņemšana plānota
To be delivered to customer,Tiek piegādāts klientam
On Duty,Uzdevumā
Variable,Mainīgs
Row {0}: Depreciation Start Date is required,Rinda {0}: nepieciešams nolietojuma sākuma datums
Option,Iespēja
Out Patient SMS Alerts,Pacientu SMS brīdinājumi
Sales Account,Pārdošanas konts
Weather Parameter,Laika parametrs
Allocate,Piešķirt
Maintenance Schedule Detail,Tehniskās apkopes grafiks
BOM Update Tool,BOM atjaunināšanas rīks
Notice Period,Paziņojuma periods
Lead Owner Efficiency,Galvenā īpašnieka efektivitāte
Total Characters,Kopā rakstzīmes
Alcohol Past Use,Alkohola lietošana
Divorced,Šķīries
Allocate Advances Automatically (FIFO),Automātiski piešķirt avansa maksājumus (FIFO)
Is Compensatory,Ir kompensējošs
Employees working on a holiday,"Darbinieki, kas strādā brīvdienās"
Mobile,Mobilais
"Timesheets help keep track of time, cost and billing for activites done by your team","Laika lapas palīdz sekot līdzi savai komandai veikto darbību laiku, izmaksām un rēķiniem"
Order Information,Pasūtījuma informācija
