Pension Funds,ஓய்வூதிய நிதி
Sales Person Target Variance Based On Item Group,பொருள் குழுவை அடிப்படையாகக் கொண்ட விற்பனை நபர் இலக்கு மாறுபாடு
Current Academic Year,தற்போதைய கல்வி ஆண்டு
Submit/Reconcile Payments,கொடுப்பனவுகளை / சமர்ப்பிக்கவும்
Set Advances and Allocate (FIFO),முன்னேற்றங்கள் மற்றும் ஒதுக்கீடு அமைக்கவும் (FIFO)
Item to be manufactured or repacked,பொருள் தயாரிக்க அல்லது மறுபதிப்பு செய்யப்படுகிறது
New Cart,புதிய வண்டி
MAT-PRE-.YYYY.-,MAT-முன் .YYYY.-
Please select Sample Retention Warehouse in Stock Settings first,முதன் முதலில் பங்குச் சந்தையில் மாதிரி தக்கவைப்பு கிடங்கு தேர்ந்தெடுக்கவும்
Result Format,முடிவு வடிவமைப்பு
Heads (or groups) against which Accounting Entries are made and balances are maintained.,தலைப்புகள் (அல்லது குழுக்கள்) எதிராக கணக்குப்பதிவியல் பதிவுகள் செய்யப்படுகின்றன மற்றும் நிலுவைகளை பராமரிக்கப்படுகின்றன.
Material Request used to make this Stock Entry,பொருள் கோரிக்கை இந்த பங்கு நுழைவு செய்ய பயன்படுத்தப்படும்
Link to material requests,பொருள் கோரிக்கைகளுக்கு இணைப்பு
Unsecured Loans,பாதுகாப்பற்ற கடன்கள்
Add Customers,வாடிக்கையாளர்களைச் சேர்க்கவும்
Default Finished Goods Warehouse,Default Finished Goods Warehouse
Grant Description,வழங்கல் விளக்கம்
"Weight is mentioned,\nPlease mention ""Weight UOM"" too","எடை குறிப்பிடப்பட்டுள்ளது, \ n &quot;எடை UOM&quot; ஐ குறிப்பிடவும்"
{0} {1} is disabled,{0} {1} முடக்கப்பட்டுள்ளது
Contract Period,ஒப்பந்த காலம்
Please enter Item Code to get Batch Number,பாட் எண் பெற பொருள் கோட் ஐ உள்ளிடுக
Is Working Capital,வேலை மூலதனம்
Missing email template for dispatch. Please set one in Delivery Settings.,அனுப்புவதற்கான மின்னஞ்சல் டெம்ப்ளேட்டை காணவில்லை. டெலிவரி அமைப்புகளில் ஒன்றை அமைக்கவும்.
MAT-PAC-.YYYY.-,MAT-பேக்-.YYYY.-
"Scorecard variables can be used, as well as:
{total_score} (the total score from that period),
{period_number} (the number of periods to present day)
","ஸ்கோர் கார்டு மாறிகள் பயன்படுத்தப்படலாம்: {total_score} (அந்த காலகட்டத்தின் மொத்த மதிப்பெண்), {period_number} (இன்றைய காலகட்டங்களின் எண்ணிக்கை)"
Value Or Qty,மதிப்பு அல்லது Qty
Please register the SIREN number in the company information file,நிறுவனத்தின் தகவல் கோப்பில் SIREN எண்ணை பதிவு செய்யவும்
Check this to enable a scheduled Daily synchronization routine via scheduler,அட்டவணைப்படுத்தி மூலம் திட்டமிடப்பட்ட தினசரி ஒத்திசைவு வழக்கமான செயல்பாட்டை செயல்படுத்த இதைச் சரிபார்க்கவும்
Declarations,சாற்றுரைகள்
Backflush Raw Materials Based On,அடிப்படையில் முதுகெலும்பு மூல பொருட்கள்
