Pension Funds,연금 기금
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.",회계 항목이이 날짜까지 동결되었으므로 아무도 아래 지정된 역할을 제외한 항목을 수행 / 수정할 수 없습니다.
Fuel Qty,연료 수량
Guardian1 Mobile No,Guardian1 모바일 아니요
Disbursed,지불
Net Change in Accounts Payable,채무 순액 변경
Not Available,사용 불가
Part-time,파트 타임
Delivery,배달
Student Group Creation Tool Course,학생 그룹 창작 도구 과정
Allocated amount cannot be greater than unadjusted amount,할당 된 금액은 조정되지 않은 금액보다 클 수 없습니다.
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,커미션을 받기 위해 회사 제품을 판매하는 제 3 자 대리점 / 딜러 / 수수료 대리인 / 제휴사 / 대리점.
Original Item,원래 항목
Series is mandatory,시리즈 필수
Potential opportunities for selling.,판매 기회.
Show PDC in Print,프린트에서 PDC 표시
Shopify Supplier,Shopify 공급 업체
POS Profile User,POS 프로필 사용자
Middle Name,중간 이름
Sales Person Name,영업 담당자 이름
Gross Weight,총 중량
Bill No,빌 번호
New Location,새로운 위치
Project wise Stock Tracking,프로젝트 현명한 재고 추적
HR-VLOG-.YYYY.-,HR-VLOG- .YYYY.-
A+,A +
Service Level Agreement,서비스 수준 계약
Please select Employee and Date first,직원과 날짜를 먼저 선택하십시오.
Item valuation rate is recalculated considering landed cost voucher amount,항목 평가율은 착지 비용 쿠폰 금액을 고려하여 다시 계산됩니다.
Employee Detail,직원 세부 정보
Vouchers,바우처
Guardian Details,보호자 정보
eg: frappe.myshopify.com,예 : frappe.myshopify.com
"Email Address must be unique, already exists for {0}",이메일 주소는 고유해야하며 이미 {0}에 존재합니다.
Match Payments with Invoices,송장과 지불 일치
Weekly Off,주간 끄기
Not allow to set alternative item for the item {0},항목 {0}에 대해 대체 항목을 설정할 수 없습니다.
Program {0} does not exist.,프로그램 {0}이 (가) 없습니다.
You cannot edit root node.,루트 노드는 편집 할 수 없습니다.
Student Category,학생 카테고리
"Item {0}: {1} qty produced, ","항목 {0} : {1} 생산 된 수량,"
Identification Document Type,식별 문서 유형
Insufficient Stock,불충분 한 주식
Row {0}: Conversion Factor is mandatory,행 {0} : 전환율은 필수 항목입니다.
Purchase Receipt Required,구매 영수증 필요
BOM Rate,BOM 비율
Invalid GSTIN! The check digit validation has failed. ,GSTIN이 잘못되었습니다! 체크 디지트 확인에 실패했습니다.
Max working hours against Timesheet,작업 표와의 최대 근무 시간
Include holidays in Total no. of Working Days,총 번호에 공휴일을 포함하십시오. 근무일 기준
Quality Meeting,품질 회의
Consulting,컨설팅
Default Payment Request Message,기본 지불 요청 메시지
GSTIN Email Sent On,GSTIN 이메일 전송
Enable Scheduled Synch,예약 된 동기화 사용
Please select Employee,직원을 선택하십시오.
"If checked, a customer will be created, mapped to Patient.
Patient Invoices will be created against this Customer. You can also select existing Customer while creating Patient.",이 옵션을 선택하면 고객이 만들어져 환자에게 매핑됩니다. 환자 청구서는이 고객에 대해 작성됩니다. 환자를 만들 때 기존 고객을 선택할 수도 있습니다.
Stock User,재고 사용자
Service Level Agreement.,서비스 수준 계약.
Date on which this component is applied,이 구성 요소가 적용되는 날짜
List of available Shareholders with folio numbers,Folio 번호가있는 사용 가능한 주주 목록
Setup Gateway accounts.,게이트웨이 계정 설정.
Response Time Period,응답 시간
Purchase Taxes and Charges,구매 세금 및 요금
Activity Date,활동 날짜
Select or add new customer,신규 고객 선택 또는 추가
Unfulfilled,완성되지 않은
Read blog,블로그 읽기
Project Value,프로젝트 값
Expected Time (in hours),예상 시간 (시간)
Updating Variants...,변형 업데이트 중 ...
Show Sales Person in Print,판매원을 인쇄물에 표시하십시오.
Per Year,연간
Admitted Datetime,입사 한 날짜 시간
Tax Template is mandatory.,세금 템플릿은 필수입니다.
Patient,환자
Costing Amount,원가 계산 금액
Add / Edit Prices,가격 추가 / 수정
Non-GST outward supplies,비 GST 외부 공급
Row {0}: From time must be less than to time,행 {0} : 시간에서 시간보다 작아야합니다.
User {0} is already assigned to Employee {1},사용자 {0}은 이미 직원 {1}에게 할당되었습니다.
Form View,양식보기
Auto Repeat Section,자동 반복 섹션
Select company name first.,먼저 회사 이름을 선택하십시오.
Financial Year,회계 연도
Deferred Revenue,지연된 수익
Atleast one of the Selling or Buying must be selected,적어도 판매 또는 구매 중 하나를 선택해야합니다.
Item-wise Purchase History,아이템 별 구매 내역
Cannot change Service Stop Date for item in row {0},{0} 행의 항목에 대한 서비스 중지 날짜를 변경할 수 없습니다.
Include Subcontracted Items,외주 품목 포함
Max Benefits (Amount),최대 혜택 (금액)
Hero Section,영웅 섹션
Where manufacturing operations are carried.,제조 작업이 수행되는 곳.
Dispatch Notification,파견 공지
Timesheets,작업 표
Get current stock,현재 재고 확보
Expense,비용
{0} asset cannot be transferred,{0} 자산을 양도 할 수 없습니다.
Unpaid Expense Claim,지불되지 않은 경비 청구서
Family Background,가족 배경
Bonus Payment Date cannot be a past date,보너스 지급 날짜는 지난 날짜 일 수 없습니다.
No {0} found for Inter Company Transactions.,회사 간 거래에 대해 {0}이 (가) 없습니다.
Party Type,파티 형
Finish,끝
C-Form Applicable,C-Form 해당
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'",계정 잔액이 이미 직불 카드 인 경우 &#39;잔액을&#39;신용 &#39;으로 설정할 수 없습니다.
Row #{0}: Qty increased by 1,행 # {0} : 수량이 1 씩 증가했습니다.
Set targets Item Group-wise for this Sales Person.,이 Sales Person에 대해 그룹 단위로 대상 항목을 설정합니다.
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-
Student Mobile Number,학생 핸드폰 번호
Academic Year: ,학년:
Please set Naming Series for {0} via Setup &gt; Settings &gt; Naming Series,설정&gt; 설정&gt; 이름 지정 시리즈를 통해 이름 지정 시리즈를 {0}으로 설정하십시오.
"As per the Buying Settings if Purchase Order Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Order first for item {0}","구매 주문서가 필요한 경우 구매 설정에 따라 == &#39;예&#39;, 구매 송장 작성시 사용자가 먼저 {0} 품목의 구매 주문서를 작성해야합니다."
To Value,가치 창출
Please add the account to root level Company - ,루트 레벨 회사에 계정을 추가하십시오 -
Number of Days in Fiscal Year,회계 연도의 일 수
Total Amount Currency,총 금액 통화
Allow Same Item Multiple Times,동일한 항목을 여러 번 허용
Create BOM,BOM 생성
Charges,요금
Personal Details,개인 세부 정보
Billing and Delivery Status,청구서 발송 및 배송 상태
Row {0}: For supplier {0} Email Address is required to send email,행 {0} : 공급 업체 {0}의 경우 전자 메일을 보내려면 전자 메일 주소가 필요합니다.
Cash Flow from Investing,투자로 인한 현금 흐름
Approving Role cannot be same as role the rule is Applicable To,역할 승인은 해당 규칙을 적용 할 수있는 역할과 같을 수 없습니다.
Crop Spacing,자르기 간격
How often should project and company be updated based on Sales Transactions.,판매 트랜잭션을 기반으로 프로젝트 및 회사를 얼마나 자주 업데이트해야합니까?
Period Settings,기간 설정
Net Change in Accounts Receivable,매출 채권 순액 변경
For Quantity must be greater than zero,수량이 0보다 커야합니다.
Goal Objectives,목표 목표
"There are inconsistencies between the rate, no of shares and the amount calculated","비율, 주식 수 및 계산 금액간에 불일치가 있습니다."
Leave blank if you make students groups per year,학생 그룹을 1 년마다 만들면 비워 둡니다.
Loans (Liabilities),대출 (부채)
Send Grant Review Email,Grant Review 이메일 보내기
GSTR3B-Form,GSTR3B- 양식
Produced Qty,생산 수량
Journal Entry,분개
Purchase Receipt No,구매 영수증 번호
From Date {0} cannot be before employee's joining Date {1},{0} 날짜는 직원의 가입 날짜 {1} 이전 일 수 없습니다.
Debit Note,차변 메모
Is this Tax included in Basic Rate?,이 세금은 기본 요율에 포함됩니까?
Purchased,구입 한
Rate at which Price list currency is converted to company's base currency,가격 목록 통화가 회사의 기본 통화로 변환되는 비율
View Fees Records,요금 기록보기
Theory,이론
Create Quotation,견적 생성
Create a new Customer,새 고객 만들기
BOM Website Operation,BOM 웹 사이트 운영
Invoice/Journal Entry Details,송장 / 분개 세부 정보
Share Balance,잔액 공유
Period Closing Entry,기 결산
Purchase Price List,구매 가격리스트
Party User,파티 사용자
Restaurant Order Entry,레스토랑 주문 입력
"Serialized Item {0} cannot be updated using Stock Reconciliation, please use Stock Entry",주식 조정을 사용하여 일련 번호가 매겨진 항목 {0}을 (를) 업데이트 할 수 없습니다. 재고 항목을 사용하십시오.
Time Slots,시간대
Select at least one value from each of the attributes.,각 속성에서 하나 이상의 값을 선택하십시오.
Bank Draft,은행 어음
Send regular summary reports via Email.,이메일을 통해 정기적 인 요약 보고서를 보냅니다.
Step,단계
Result Value,결과 값
Is Income Tax Liability,소득세 책임
Inpatient Visit Charge Item,입원 환자 방문 요금 항목
{0} {1} does not exist.,{0} {1}이 (가) 존재하지 않습니다.
Update Response,응답 업데이트
Supplier,공급자
Enter value betweeen {0} and {1},{0}에서 {1} 사이의 값을 입력하십시오.
Order Confirmation Date,주문 확인 날짜
Calculate Estimated Arrival Times,예상 도착 시간 계산
Consumable,소모품
EDU-INS-.YYYY.-,EDU-INS- .YYYY.-
Subscription Start Date,구독 시작 날짜
Woocommerce Server URL,우회 (woocommerce) 서버 URL
Number Of Employees,직원 수
{0} field is limited to size {1},{0} 필드는 크기 {1}로 제한됩니다.
This {0} conflicts with {1} for {2} {3},이 {0}은 {2} {3}에 대해 {1}과 (과) 충돌합니다.
Value Proposition,가치 제안
Contact Email,이메일 연락처
Cannot set authorization on basis of Discount for {0},{0}의 할인 기준으로 승인을 설정할 수 없습니다.
Work From Home,집에서 일하십시오
Row {0}: From Time and To Time is mandatory.,행 {0} : 시작 시간과 종료 시간은 필수입니다.
Supplier Id,공급 업체 ID
Invoice can't be made for zero billing hour,결제 시간이 0 인 경우 인보이스를 발행 할 수 없습니다.
"Leave cannot be allocated before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}",휴가 잔액은 차후의 휴가 할당 레코드 {1}에서 이미 이월되었으므로 {0} 전에는 할당 할 수 없습니다.
Last Order Date,마지막 주문일
Course: ,코스:
Dispatch,급파
Installation Note Item,설치 참고 항목
Journal Entry Account,분개 계정
Variant,다른
Forum Activity,포럼 활동
Resolution Time Period,해결 기간
Supplier Detail,공급 업체 세부 정보
View Task,작업보기
Purchase / Manufacture Details,구매 / 제조 세부 사항
Book Asset Depreciation Entry Automatically,장부 자산 감가 상각 항목 자동 입력
Operation completed for how many finished goods?,얼마나 많은 완성품에 대한 작업이 완료 되었습니까?
