Pension Funds,Pensionsmidler
Please set Depreciation related Accounts in Asset Category {0} or Company {1},Angiv afskrivningsrelaterede konti i aktivkategori {0} eller firma {1}
Setup cheque dimensions for printing,Opsætning kontrollere dimensioner til udskrivning
"If you have any questions, please get back to us.","Hvis du har spørgsmål, så kontakt os venligst."
Purchase Receipt {0} is not submitted,Købskvittering {0} er ikke indsendt
Total Expense Claim (via Expense Claim),Samlet udgiftskrav (via udgiftskrav)
Quality Goal,Kvalitetsmål
Support Portal,Support Portal
End date of task <b>{0}</b> cannot be less than <b>{1}</b> expected start date <b>{2}</b>,Slutdatoen for opgaven <b>{0}</b> kan ikke være mindre end <b>{1}</b> forventet startdato <b>{2}</b>
Employee {0} is on Leave on {1},Medarbejder {0} er på ferie på {1}
Held On,Holdt fast
Practitioner Schedules,Practitioner Schedules
Begin On (Days),Begynd den (dage)
"If enabled, then system will create the material even if the raw materials are available","Hvis aktiveret, vil systemet oprette materialet, selv om råmaterialerne er tilgængelige"
Work Order has been {0},Arbejdsordre har været {0}
Admission Schedule Date,Adgangskalender Dato
Asset Value Adjustment,Asset Value Adjustment
Supplies made to Unregistered Persons,Forsyninger til uregistrerede personer
All Jobs,Alle job
Appointment Type,Udnævnelsestype
Allow Overtime,Tillad Overarbejde
Available Qty at Warehouse,Tilgængelig mængde på lager
Sales Invoice Item,Salgsfaktura
HR,HR
Assessment Terms,Vurderingsbetingelser
Increment for Attribute {0} cannot be 0,Forøgelse af attributten {0} kan ikke være 0
Carry Forward,Bære fremad
Dependent Task,Afhængig opgave
Allowed To Transact With,Tilladt at transagere med
Become a Seller,Bliv sælger
Bank Reconciliation,Bankafstemning
Types of activities for Time Logs,Typer af aktiviteter for Time Logs
POS Closing Voucher Invoices,POS Closing Voucher Fakturaer
AB Negative,AB Negative
Budget Detail,Budgetdetalj
Normal reference range for an adult is 16–20 breaths/minute (RCP 2012),Normalt referenceområde for en voksen er 16-20 vejrtrækninger / minut (RCP 2012)
Sales Orders,Salgsordrer
Create Journal Entry,Opret Journal Entry
Secured Loans,Sikrede lån
To Shareholder,Til aktionær
Maintenance Schedule,Vedligeholdelsesplan
"chapters/chapter_name
leave blank automatically set after saving chapter.",kapitler / kapitelnavn forlader blank automatisk efter opbevaring af kapitel.
Payment Success Url,Betaling Succes Url
Delivered Amount,Leveret beløb
Min Amt can not be greater than Max Amt,Min Amt kan ikke være større end Max Amt
Salary Structure not found for employee {0} and date {1},Lønstruktur ikke fundet for medarbejder {0} og dato {1}
Invoice Appointments Automatically,Fakturaaftaler automatisk
Please fill in all the details to generate Assessment Result.,Udfyld alle detaljer for at generere vurderingsresultat.
Variance ({}),Varians ({})
Patient Name,Patientnavn
Your Organization,Din organisation
Fulfilment Details,Opfyldelse Detaljer
Total Billed Amount (via Sales Invoices),Samlet faktureret beløb (via salgsfakturaer)
Kg,kg
Appointment cancelled,Afstemning annulleret
Reminder Message,Påmindelsesmeddelelse
Balance Loan Amount,Balancelånbeløb
Manage Sales Person Tree.,Administrer Salg Person Tree.
There are more holidays than working days this month.,Der er flere helligdage end arbejdsdage denne måned.
Default BOM,Standard BOM
Operating Cost (Company Currency),Driftsomkostninger (Virksomhedsvaluta)
Item Price,Vare pris
Party Name,Party Name
Please select a customer,Vælg venligst en kunde
Course Intro,Kursus Intro
New Program,Nyt program
"Number of new Cost Center, it will be included in the cost center name as a prefix","Antal nye Omkostningscenter, det vil blive inkluderet i priscenterets navn som et præfiks"
Select the customer or supplier.,Vælg kunde eller leverandør.
Valid till date cannot be before transaction date,Gyldig til dato kan ikke være før transaktionsdato
Cannot deactivate or cancel BOM as it is linked with other BOMs,"Kan ikke deaktivere eller annullere BOM, da den er knyttet til andre BOM&#39;er"
Place Of Supply (State/UT),Leveringssted (Stat / UT)
Job Title,Jobtitel
Fee Component,Gebyr Komponent
C-Form records,C-Form optegnelser
Payment Cancelled. Please check your GoCardless Account for more details,Betaling annulleret. Tjek venligst din GoCardless-konto for flere detaljer
Less than a year,Mindre end et år
Work Order {0} must be submitted,Arbejdsordre {0} skal indsendes
Filter Total Zero Qty,Filter Total Nul Antal
Applicant for a Job,Ansøgning om job
No records found in the Invoice table,Ingen poster fundet i faktura tabellen
Chart of Accounts Importer,Kort over kontoindføreren
Item or Warehouse for row {0} does not match Material Request,Element eller lager til række {0} svarer ikke til materialebegivenhed
IGST Amount,IGST Beløb
Delivery Notes {0} updated,Leveringsnotater {0} opdateret
Lodging Required,Indlogering påkrævet
Total Revenue,Samlede indtægter
Student Group Student,Student Gruppe Student
Buyer of Goods and Services.,Køber af varer og tjenesteydelser.
Vehicle,Køretøj
Quantity ({0}) cannot be a fraction in row {1},Mængde ({0}) kan ikke være en brøkdel i række {1}
Bonus Amount,Bonusbeløb
Amount Difference,Mængdeforskel
Maintenance Tasks,Vedligeholdelsesopgaver
Stop Birthday Reminders,Stop fødselsindkaldelser
Payment Account,Betalingskonto
Stock Frozen Upto,Stock Frozen Upto
Default Material Request Type,Standard Material Request Type
Clinical Procedure Item,Klinisk procedurepost
Finance Book,Finans Bog
From Datetime,Fra Datetime
Currency of the price list {0} must be {1} or {2},Valuta på prislisten {0} skal være {1} eller {2}
Open Orders,Åbn ordrer
Admit,Indrømme
Total {0} ({1}),I alt {0} ({1})
GitHub ID,GitHub ID
From Address 1,Fra adresse 1
Total hours: {0},Samlet antal timer: {0}
Transfer Date,Overførselsdato
Enter name of campaign if source of enquiry is campaign,"Indtast navnet på kampagnen, hvis undersøgelseskilden er kampagne"
This Item is a Template and cannot be used in transactions. Item attributes will be copied over into the variants unless 'No Copy' is set,"Denne vare er en skabelon og kan ikke bruges i transaktioner. Elementattributter kopieres over til varianterne, medmindre &#39;Ingen kopi&#39; er angivet"
Regular,Fast
Maximum discount for Item {0} is {1}%,Maksimal rabat for vare {0} er {1}%
Not Started,Ikke startet
Treatment Task,Behandlingsopgave
Row {0}: user has not applied rule <b>{1}</b> on the item <b>{2}</b>,Række {0}: bruger har ikke anvendt regel <b>{1}</b> på elementet <b>{2}</b>
Landed Cost Help,Landed Cost Help
Scoring Criteria,Scoringskriterier
Matching Invoices,Matchende fakturaer
Donor Name,Donor Navn
Select Property,Vælg Ejendom
Homepage Section,Hjemmeside sektion
Grade,karakter
Production Plan Material Request,Produktionsplan Materialeanmodning
Send Email,Send e-mail
Retain Sample,Behold prøve
Row #{0} (Payment Table): Amount must be negative,Row # {0} (Betalingstabel): Beløbet skal være negativt
Warehouse wise Item Balance Age and Value,Lagerbetydende varebalance Alder og værdi
The gross weight of the package. Usually net weight + packaging material weight. (for print),Pakkenes bruttovægt. Normalt nettovægt + emballagemateriale vægt. (til print)
Laboratory Testing Datetime,Laboratorietestning Datetime
The Item {0} cannot have Batch,Varen {0} kan ikke have Batch
Sales Pipeline by Stage,Salgsledning efter trin
Student Group Strength,Studentgruppens styrke
Bank Statement Transaction Entry,Bankregnskab Transaktion
Get Items from Open Material Requests,Få varer fra åbne materialeanmodninger
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Regnskabsår ** repræsenterer et regnskabsår. Alle regnskabsposter og andre større transaktioner spores imod ** Fiscal Year **.
Procedure Name,Procedure Navn
Add Sales Partners,Tilføj salgspartnere
Qty Total,Antal i alt
Outstanding,Fremragende
Employee Tax Exemption Proof Submission,Beskæftigelse af medarbejderskattefritagelse
Requirement,Krav
No active or default Salary Structure found for employee {0} for the given dates,Ingen aktiv eller standard lønstruktur fundet for medarbejder {0} for de givne datoer
Quantity should be greater than 0,Mængden skal være større end 0
Supplier Quotation Item,Leverandør Citat
Appraisal Template,Bedømmelsesskabelon
Hub Category to Publish,Hub kategori til udgivelse
Current Openings,Nuværende åbninger
Customer Database.,Kunde Database.
As On Date,Som på dato
Delivery Note {0} is not submitted,Leverings notat {0} er ikke indsendt
Appraisal Template Goal,Vurderingsskabelon mål
Closing (Cr),Lukning (Cr)
Restaurant Reservation,Restaurant Reservation
Last Order Amount,Sidste ordrebeløb
Learn,Lære
Multiple default mode of payment is not allowed,Flere standard betalingsmåder er ikke tilladt
This will be day 1 of the crop cycle,Dette bliver dag 1 i afgrødecyklussen
{0} {1} is not associated with {2} {3},{0} {1} er ikke forbundet med {2} {3}
Expense or Difference account is mandatory for Item {0} as it impacts overall stock value,"Omkostninger eller forskelle er obligatorisk for konto {0}, da den påvirker den samlede lagerværdi"
Price List Exchange Rate,Prisliste Valutakurs
Amount (Company Currency),Beløb (Company Valuta)
Driver,Chauffør
CGST Account,CGST-konto
Disbursement Date,Udbetalingsdato
New task,Ny opgave
Customer Feedback Table,Kunde Feedback Tabel
{0} - {1} is not enrolled in the Course {2},{0} - {1} er ikke tilmeldt kurset {2}
Difference Amount,Forskelbeløb
Cheques and Deposits incorrectly cleared,Kontrol og indbetalinger forkert ryddet
Cash Entry,Kontantindtastning
GST Settings,GST-indstillinger
Item-wise Sales Register,Varebeviset salgsregister
Item has variants.,Varen har varianter.
Difference Amount must be zero,Forskel Beløb skal være nul
Institution,Institution
Tobacco Current Use,Anvendelse af tobaksvarer
Setup your ,Opsæt din
Payment Entry Deduction,Betaling Indgang Fradrag
"Row #{0}: The batch {1} has only {2} qty. Please select another batch which has {3} qty available or split the row into multiple rows, to deliver/issue from multiple batches","Row # {0}: Batch {1} har kun {2} antal. Vælg venligst en anden batch, der har {3} antal tilgængelige eller del rækkefølgen i flere rækker for at levere / udstede fra flere batches"
Procedure,Procedure
Total Stock Summary,Samlet lageropsummering
Additional Discount,Yderligere rabat
Patient Name By,Patientnavn By
Rate / UOM,Rate / UOM
Job Offer Terms,Jobtilbudsbetingelser
Debit Amount in Account Currency,Debetbeløb i Kontokurs
{0} must appear only once,{0} skal kun vises én gang
Expense / Difference account ({0}) must be a 'Profit or Loss' account,Udgifts- / Forskydningskonto ({0}) skal være en &#39;Profit or Loss&#39;-konto
Row No {0}: Amount cannot be greater than Pending Amount against Expense Claim {1}. Pending Amount is {2},Række nr. {0}: Beløbet må ikke være større end ventende beløb mod udgiftskrav {1}. Afventende beløb er {2}
Earnest Money,Ærlige penge
All Supplier scorecards.,Alle leverandør scorecards.
Terms and Conditions Details,Vilkår og betingelser Detaljer
Get Entries,Få indlæg
Service Item,Servicepost
Customer's Purchase Order,Kundens købsordre
Syntax error in formula or condition: {0},Syntaksfejl i formel eller tilstand: {0}
Agriculture User,Landbruger Bruger
Please enter Reqd by Date,Indtast venligst Reqd by Date
Total Monthly Sales,Samlet månedlig salg
Monthly Distribution Percentage,Månedlig fordelingsprocent
Reconciliation JSON,Afstemning JSON
No Item with Barcode {0},Ingen vare med stregkode {0}
Scrapped,ophugget
Delivery Trip,Leveringsrejse
Application Fee,Tilmeldingsgebyr
Sales orders are not available for production,Salgsordrer er ikke tilgængelige til produktion
Attribute,Egenskab
Rename Log,Omdøb Log
'Based On' and 'Group By' can not be same,&#39;Baseret på&#39; og &#39;Gruppe efter&#39; kan ikke være ens
Show Ageing Warehouse-wise,Vis Aging Warehouse-wise
Write Off Outstanding Amount,Skriv ud Udestående beløb
Employee Details,Medarbejderdetaljer
Start Time can't be greater than End Time for {0}.,Starttidspunktet kan ikke være større end sluttid for {0}.
Discount Amount,Rabatbeløb
Item Details,Elementdetaljer
Duplicate Tax Declaration of {0} for period {1},Duplicate Tax Declaration af {0} for periode {1}
From Delivery Note,Fra levering Note
Holiday,Ferie
Line spacing for amount in words,Linjeafstand for mængde i ord
Item Group Defaults,Produktgruppe standardindstillinger
Abbr,Fork
Warranty Claim against Serial No.,Garantikrav mod serienummer
Quality,Kvalitet
{0} is not a stock Item,{0} er ikke en lager vare
Raw Materials Supplied Cost,Råvarer leverede omkostninger
Permanent Address,Fast adresse
Booked Fixed Asset,Reserveret fast ejendom
Your tickets,Dine billetter
Create Supplier Quotation,Opret leverandør citat
Inspection Required before Purchase,Inspektion kræves før køb
Payment Ordered,Betaling Bestilt
"There seems to be an issue with the server's GoCardless configuration. Don't worry, in case of failure, the amount will get refunded to your account.","Der ser ud til at være et problem med serverens GoCardless-konfiguration. Du skal ikke bekymre dig, i tilfælde af fiasko bliver beløbet refunderet til din konto."
"Payment Mode is not configured. Please check, whether account has been set on Mode of Payments or on POS Profile.","Betalingsfunktionen er ikke konfigureret. Kontrollér, om kontoen er indstillet på betalingsform eller på POS-profil."
