DocType: Accounting Period,Period Name,Periode Naam
DocType: Chapter,"chapters/chapter_name
leave blank automatically set after saving chapter.",hoofdstukken / hoofdstuknaam blanco laten automatisch ingesteld na hoofdstuk opslaan.
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Please set GST Accounts in GST Settings,Stel GST-accounts in via GST-instellingen
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.js,Type of Business,Soort bedrijf
DocType: Sales Invoice,Consumer,Klant
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,"Please select Allocated Amount, Invoice Type and Invoice Number in atleast one row","Selecteer toegewezen bedrag, Factuur Type en factuurnummer in tenminste één rij"
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Cost of New Purchase,Kosten van nieuwe aankoop
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,Sales Order required for Item {0},Verkooporder nodig voor Artikel {0}
DocType: Grant Application,Grant Description,Grant Description
DocType: Purchase Invoice Item,Rate (Company Currency),Tarief (Bedrijfsvaluta)
DocType: Student Guardian,Others,anderen
DocType: Subscription,Discounts,Kortingen
DocType: Bank Transaction,Unallocated Amount,Niet-toegewezen bedrag
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,Please enable Applicable on Purchase Order and Applicable on Booking Actual Expenses,Schakel dit van toepassing op inkooporder in en van toepassing op het boeken van werkelijke kosten
apps/erpnext/erpnext/templates/includes/product_page.js,Cannot find a matching Item. Please select some other value for {0}.,Kan een bijpassende Item niet vinden. Selecteer een andere waarde voor {0}.
DocType: POS Profile,Taxes and Charges,Belastingen en Toeslagen
DocType: Item,"A Product or a Service that is bought, sold or kept in stock.","Een Product of een Dienst dat wordt gekocht, verkocht of in voorraad wordt gehouden."
apps/erpnext/erpnext/hr/page/team_updates/team_updates.js,No more updates,Niet meer updates
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,Kan het type lading niet selecteren als 'On Vorige Row Bedrag ' of ' On Vorige Row Totaal ' voor de eerste rij
DocType: Purchase Order,PUR-ORD-.YYYY.-,PUR-ORD-.YYYY.-
apps/erpnext/erpnext/buying/doctype/supplier_scorecard/supplier_scorecard_dashboard.py,This covers all scorecards tied to this Setup,Dit omvat alle scorecards die aan deze Setup zijn gekoppeld
apps/erpnext/erpnext/selling/doctype/product_bundle/product_bundle.py,Child Item should not be a Product Bundle. Please remove item `{0}` and save,Onderliggend item mag geen productbundel zijn. Gelieve item `{0}` te verwijderen en op te slaan
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Banking,Bankieren
apps/erpnext/erpnext/utilities/activation.py,Add Timesheets,Voeg Timesheets
DocType: Vehicle Service,Service Item,dienst Item
DocType: Bank Guarantee,Bank Guarantee,Bankgarantie
DocType: Bank Guarantee,Bank Guarantee,Bankgarantie
DocType: Payment Request,Transaction Details,transactie details
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please click on 'Generate Schedule' to get schedule,Klik op 'Genereer Planning' om planning te krijgen
DocType: Item,"Purchase, Replenishment Details","Aankoop, aanvulgegevens"
DocType: Products Settings,Enable Field Filters,Veldfilters inschakelen
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Customer Provided Item"" cannot be Purchase Item also",Door klant toegevoegd artikel kan niet tegelijkertijd een koopartikel zijn
DocType: Blanket Order Item,Ordered Quantity,Bestelde hoeveelheid
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Build tools for builders""","bijv. ""Bouwgereedschap voor bouwers """
DocType: Grading Scale,Grading Scale Intervals,Grading afleeseenheden
apps/erpnext/erpnext/regional/india/utils.py,Invalid {0}! The check digit validation has failed. ,Ongeldige {0}! De validatie van het controlecijfer is mislukt.
DocType: Item Default,Purchase Defaults,Koop standaardinstellingen
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,"Could not create Credit Note automatically, please uncheck 'Issue Credit Note' and submit again",Kan creditnota niet automatisch maken. Verwijder het vinkje bij &#39;Kredietnota uitgeven&#39; en verzend het opnieuw
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Added to Featured Items,Toegevoegd aan aanbevolen items
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Profit for the year,Jaarwinst
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1}: Accounting Entry voor {2} kan alleen worden gemaakt in valuta: {3}
DocType: Fee Schedule,In Process,In Process
DocType: Authorization Rule,Itemwise Discount,Artikelgebaseerde Korting
apps/erpnext/erpnext/config/accounting.py,Tree of financial accounts.,Boom van de financiële rekeningen.
DocType: Cash Flow Mapping,Cash Flow Mapping,Cash Flow Mapping
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} against Sales Order {1},{0} tegen Verkooporder {1}
DocType: Account,Fixed Asset,Vast Activum
DocType: Amazon MWS Settings,After Date,Na datum
apps/erpnext/erpnext/config/help.py,Serialized Inventory,Geserialiseerde Inventory
,Department Analytics,Afdeling Analytics
apps/erpnext/erpnext/regional/doctype/gst_settings/gst_settings.py,Email not found in default contact,E-mailadres niet gevonden in standaardcontact
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.js,Generate Secret,Genereer geheim
DocType: Question,Question,Vraag
DocType: Loan,Account Info,Account informatie
DocType: Activity Type,Default Billing Rate,Default Billing Rate
DocType: Fees,Include Payment,Inclusief betaling
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,{0} Student Groups created.,{0} Studentgroepen aangemaakt.
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,{0} Student Groups created.,{0} Studentgroepen aangemaakt.
DocType: Sales Invoice,Total Billing Amount,Totaal factuurbedrag
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule.py,Program in the Fee Structure and Student Group {0} are different.,Het programma in de kostenstructuur en studentengroep {0} verschilt.
DocType: Bank Statement Transaction Entry,Receivable Account,Vorderingen Account
apps/erpnext/erpnext/stock/doctype/item_price/item_price.py,Valid From Date must be lesser than Valid Upto Date.,Geldig vanaf datum moet kleiner zijn dan geldig tot datum.
DocType: Employee Skill,Evaluation Date,Evaluatie datum
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Asset {1} is already {2},Rij # {0}: Asset {1} al {2}
DocType: Quotation Item,Stock Balance,Voorraad Saldo
apps/erpnext/erpnext/config/help.py,Sales Order to Payment,Sales om de betaling
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,CEO,Directeur
DocType: Purchase Invoice,With Payment of Tax,Met betaling van de belasting
DocType: Expense Claim Detail,Expense Claim Detail,Kostendeclaratie Detail
apps/erpnext/erpnext/education/utils.py,You are not allowed to enroll for this course,U mag zich niet inschrijven voor deze cursus
DocType: Purchase Invoice,TRIPLICATE FOR SUPPLIER,TRIPLICATE VOOR LEVERANCIER
DocType: Exchange Rate Revaluation Account,New Balance In Base Currency,Nieuw saldo in basisvaluta
DocType: Location,Is Container,Is Container
DocType: Crop Cycle,This will be day 1 of the crop cycle,Dit wordt dag 1 van de gewascyclus
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Please select correct account,Selecteer juiste account
DocType: Salary Structure Assignment,Salary Structure Assignment,Salarisstructuurtoewijzing
DocType: Purchase Invoice Item,Weight UOM,Gewicht Eenheid
apps/erpnext/erpnext/config/accounting.py,List of available Shareholders with folio numbers,Lijst met beschikbare aandeelhouders met folionummers
DocType: Salary Structure Employee,Salary Structure Employee,Salarisstructuur Employee
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.js,Show Variant Attributes,Show Variant Attributes
DocType: Student,Blood Group,Bloedgroep
DocType: Purchase Invoice Item,Page Break,Pagina-einde
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,The payment gateway account in plan {0} is different from the payment gateway account in this payment request,Het betalingsgateway-account in plan {0} verschilt van het betalingsgateway-account in dit betalingsverzoek
DocType: Course,Course Name,Cursus naam
apps/erpnext/erpnext/accounts/doctype/tax_withholding_category/tax_withholding_category.py,No Tax Withholding data found for the current Fiscal Year.,Geen belastinginhouding gegevens gevonden voor het lopende fiscale jaar.
DocType: Employee Leave Approver,Users who can approve a specific employee's leave applications,Gebruikers die verlofaanvragen een bepaalde werknemer kan goedkeuren
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Office Equipments,Kantoor Apparatuur
DocType: Pricing Rule,Qty,Aantal
DocType: Fiscal Year,Companies,Bedrijven
DocType: Supplier Scorecard,Scoring Setup,Scoring instellen
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Electronics,elektronica
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Debit ({0}),Debet ({0})
DocType: BOM,Allow Same Item Multiple Times,Sta hetzelfde item meerdere keren toe
DocType: Stock Settings,Raise Material Request when stock reaches re-order level,Maak Materiaal Aanvraag wanneer voorraad daalt tot onder het bestelniveau
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Full-time,Full-time
DocType: Payroll Entry,Employees,werknemers
DocType: Question,Single Correct Answer,Enkel correct antwoord
DocType: C-Form,Received Date,Ontvangstdatum
DocType: Delivery Note,"If you have created a standard template in Sales Taxes and Charges Template, select one and click on the button below.","Als u een standaard template in Sales en -heffingen Template hebt gemaakt, selecteert u een en klik op de knop hieronder."
DocType: BOM Scrap Item,Basic Amount (Company Currency),Basisbedrag (Company Munt)
DocType: Student,Guardians,Guardians
apps/erpnext/erpnext/templates/pages/integrations/gocardless_confirmation.html,Payment Confirmation,Betalingsbevestiging
apps/erpnext/erpnext/regional/india/utils.py,Unsupported GST Category for e-Way Bill JSON generation,Niet-ondersteunde GST-categorie voor het genereren van e-Way Bill JSON
DocType: Shopping Cart Settings,Prices will not be shown if Price List is not set,De prijzen zullen niet worden weergegeven als prijslijst niet is ingesteld
DocType: Material Request Item,Received Quantity,Ontvangen hoeveelheid
apps/erpnext/erpnext/buying/report/subcontracted_item_to_be_received/subcontracted_item_to_be_received.py,To Date must be greater than From Date,Tot datum moet groter zijn dan vanaf datum
DocType: Stock Entry,Total Incoming Value,Totaal Inkomende Waarde
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Debit To is required,Debet Om vereist
DocType: Clinical Procedure,Inpatient Record,Inpatient Record
apps/erpnext/erpnext/utilities/activation.py,"Timesheets help keep track of time, cost and billing for activites done by your team","Timesheets helpen bijhouden van de tijd, kosten en facturering voor activiteiten gedaan door uw team"
apps/erpnext/erpnext/stock/report/item_prices/item_prices.py,Purchase Price List,Purchase Price List
DocType: Communication Medium Timeslot,Employee Group,Werknemersgroep
apps/erpnext/erpnext/accounts/report/tds_payable_monthly/tds_payable_monthly.py,Date of Transaction,Transactiedatum
apps/erpnext/erpnext/config/buying.py,Templates of supplier scorecard variables.,Sjablonen van leveranciers scorecard variabelen.
DocType: Job Offer Term,Offer Term,Aanbod Term
DocType: Asset,Quality Manager,Quality Manager
DocType: Job Applicant,Job Opening,Vacature
DocType: Employee,Default Shift,Standaard Shift
DocType: Payment Reconciliation,Payment Reconciliation,Afletteren
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please select Incharge Person's name,Selecteer de naam van de Verantwoordelijk Persoon
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Technology,technologie
apps/erpnext/erpnext/public/js/utils.js,Total Unpaid: {0},Totaal Onbetaalde: {0}
DocType: BOM Website Operation,BOM Website Operation,BOM Website Operation
DocType: Bank Statement Transaction Payment Item,outstanding_amount,outstanding_amount
DocType: Supplier Scorecard,Supplier Score,Leverancierscore
apps/erpnext/erpnext/healthcare/doctype/patient_encounter/patient_encounter.js,Schedule Admission,Plan toegang
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Total Payment Request amount cannot be greater than {0} amount,Het totale bedrag van het betalingsverzoek mag niet groter zijn dan {0}
DocType: Tax Withholding Rate,Cumulative Transaction Threshold,Cumulatieve transactiedrempel
DocType: Promotional Scheme Price Discount,Discount Type,Kortingstype
DocType: Purchase Invoice Item,Is Free Item,Is gratis item
DocType: Buying Settings,Percentage you are allowed to transfer more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to transfer 110 units.,"Percentage dat u meer mag overbrengen tegen de bestelde hoeveelheid. Bijvoorbeeld: als u 100 eenheden heeft besteld. en uw toelage is 10%, dan mag u 110 eenheden overdragen."
DocType: Supplier,Warn RFQs,Waarschuw RFQs
apps/erpnext/erpnext/public/js/hub/pages/Home.vue,Explore,onderzoeken
DocType: BOM,Conversion Rate,Conversion Rate
apps/erpnext/erpnext/www/all-products/index.html,Product Search,product zoeken
,Bank Remittance,Bankoverschrijving
DocType: Cashier Closing,To Time,Tot Tijd
DocType: Invoice Discounting,Loan End Date,Einddatum lening
apps/erpnext/erpnext/hr/utils.py,) for {0},) voor {0}
DocType: Authorization Rule,Approving Role (above authorized value),Goedkeuren Rol (boven de toegestane waarde)
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Credit To account must be a Payable account,Credit Om rekening moet een betalend account zijn
DocType: Loan,Total Amount Paid,Totaal betaald bedrag
DocType: Asset,Insurance End Date,Verzekering Einddatum
apps/erpnext/erpnext/education/doctype/student_applicant/student_applicant.py,Please select Student Admission which is mandatory for the paid student applicant,Selecteer een studententoelating die verplicht is voor de betaalde student-aanvrager
DocType: Pick List,STO-PICK-.YYYY.-,STO-PICK-.YYYY.-
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center_tree.js,Budget List,Budgetlijst
DocType: Campaign,Campaign Schedules,Campagneschema&#39;s
DocType: Job Card Time Log,Completed Qty,Voltooid aantal
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,"For {0}, only debit accounts can be linked against another credit entry","Voor {0}, kan alleen debet accounts worden gekoppeld tegen een andere creditering"
