DocType: Accounting Period,Period Name,Periode Navn
DocType: Asset Maintenance Log,Actions performed,Handlinger utført
DocType: Cash Flow Mapper,Section Leader,Seksjonsleder
DocType: Sales Invoice,Transport Receipt No,Transport kvittering nr
DocType: Quiz Activity,Pass,Passere
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,Please add the account to root level Company - ,Legg til kontoen til selskapets rotnivå -
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Source of Funds (Liabilities),Source of Funds (Gjeld)
apps/erpnext/erpnext/assets/doctype/asset_movement/asset_movement.py,Source and Target Location cannot be same,Kilde og målplassering kan ikke være det samme
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Quantity in row {0} ({1}) must be same as manufactured quantity {2},Antall på rad {0} ({1}) må være det samme som produsert mengde {2}
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Difference Account must be a Asset/Liability type account, since this Stock Entry is an Opening Entry","Differansekontoen må være en konto / formue / ansvarstype, siden denne aksjeoppføringen er en åpningsinngang"
DocType: Supplier Scorecard Scoring Standing,Employee,Ansatt
DocType: Bank Guarantee,Fixed Deposit Number,Fast innskuddsnummer
DocType: Asset Repair,Failure Date,Feil dato
DocType: Support Search Source,Result Title Field,Resultattittelfelt
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Summary,Samtaleoppsummering
DocType: Sample Collection,Collected Time,Samlet tid
DocType: Employee Skill Map,Employee Skills,Ansattes ferdigheter
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Fuel Expense,Drivstoffutgift
DocType: Company,Sales Monthly History,Salg Månedlig historie
apps/erpnext/erpnext/regional/italy/utils.py,Please set at least one row in the Taxes and Charges Table,Angi minst en rad i tabellen Skatter og avgifter
DocType: Asset Maintenance Task,Next Due Date,neste frist
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Select Batch,Velg Batch
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} {1} is fully billed,{0} {1} er fullt fakturert
apps/erpnext/erpnext/healthcare/doctype/patient/patient.js,Vital Signs,Livstegn
DocType: Payment Entry,Payment Deductions or Loss,Betalings fradrag eller tap
DocType: Soil Analysis,Soil Analysis Criterias,Jordanalysekriterier
apps/erpnext/erpnext/config/settings.py,Standard contract terms for Sales or Purchase.,Standard kontraktsvilkår for salg eller kjøp.
apps/erpnext/erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js,Rows Removed in {0},Rader fjernet om {0}
DocType: Shift Type,Begin check-in before shift start time (in minutes),Begynn innsjekking før skiftets starttid (i minutter)
DocType: BOM Item,Item operation,Vareoperasjon
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Group by Voucher,Grupper etter Voucher
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Are you sure you want to cancel this appointment?,Er du sikker på at du vil avbryte denne avtalen?
DocType: Hotel Room Pricing Package,Hotel Room Pricing Package,Hotellrom Prispakke
apps/erpnext/erpnext/selling/page/sales_funnel/sales_funnel.js,Sales Pipeline,salgs~~POS=TRUNC
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.py,Please set default account in Salary Component {0},Vennligst angi standardkonto i Lønn Component {0}
apps/erpnext/erpnext/templates/form_grid/material_request_grid.html,Required On,Nødvendig På
DocType: Rename Tool,File to Rename,Filen til Rename
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,Please select BOM for Item in Row {0},Vennligst velg BOM for Element i Rad {0}
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.js,Fetch Subscription Updates,Hent abonnementsoppdateringer
apps/erpnext/erpnext/accounts/doctype/mode_of_payment/mode_of_payment.py,Account {0} does not match with Company {1} in Mode of Account: {2},Konto {0} stemmer ikke overens med Selskapet {1} i Konto modus: {2}
apps/erpnext/erpnext/controllers/buying_controller.py,Specified BOM {0} does not exist for Item {1},Spesifisert BOM {0} finnes ikke for Element {1}
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Course: ,Kurs:
DocType: Soil Texture,Sandy Loam,Sandy Loam
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Maintenance Schedule {0} must be cancelled before cancelling this Sales Order,Vedlikeholdsplan {0} må avbestilles før den avbryter denne salgsordre
apps/erpnext/erpnext/education/doctype/student/student_dashboard.py,Student LMS Activity,Student LMS aktivitet
DocType: POS Profile,Applicable for Users,Gjelder for brukere
DocType: Supplier Quotation,PUR-SQTN-.YYYY.-,PUR-SQTN-.YYYY.-
apps/erpnext/erpnext/projects/doctype/project/project.js,Set Project and all Tasks to status {0}?,Vil du stille prosjekt og alle oppgaver til status {0}?
DocType: Purchase Invoice,Set Advances and Allocate (FIFO),Angi fremskritt og tilordne (FIFO)
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,No Work Orders created,Ingen arbeidsordre opprettet
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Slip of employee {0} already created for this period,Lønn Slip av ansattes {0} som allerede er opprettet for denne perioden
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Pharmaceutical,Pharmaceutical
apps/erpnext/erpnext/hr/doctype/leave_encashment/leave_encashment.py,You can only submit Leave Encashment for a valid encashment amount,Du kan kun sende permittering for et gyldig innkjøpsbeløp
apps/erpnext/erpnext/public/js/hub/pages/SellerItems.vue,Items by ,Artikler etter
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Cost of Purchased Items,Kostnad for kjøpte varer
DocType: Employee Separation,Employee Separation Template,Medarbeider separasjonsmal
DocType: Selling Settings,Sales Order Required,Salgsordre Påkrevd
apps/erpnext/erpnext/public/js/hub/marketplace.js,Become a Seller,Bli en selger
,Procurement Tracker,Anskaffelsesspor
DocType: Purchase Invoice,Credit To,Kreditt til
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,ITC Reversed,ITC omvendt
apps/erpnext/erpnext/erpnext_integrations/doctype/plaid_settings/plaid_connector.py,Plaid authentication error,Autentiseringsfeil i rutet
apps/erpnext/erpnext/selling/page/sales_funnel/sales_funnel.py,Active Leads / Customers,Aktive Ledninger / Kunder
DocType: Delivery Settings,Leave blank to use the standard Delivery Note format,La stå tomt for å bruke standardleveringsformat
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year.py,Fiscal Year End Date should be one year after Fiscal Year Start Date,Regnskapsårets sluttdato skal være ett år etter regnskapsårets startdato
DocType: Employee Education,Post Graduate,Post Graduate
DocType: Quality Meeting,Agenda,Dagsorden
DocType: Maintenance Schedule Detail,Maintenance Schedule Detail,Vedlikeholdsplan Detalj
DocType: Supplier Scorecard,Warn for new Purchase Orders,Varsle om nye innkjøpsordrer
DocType: Quality Inspection Reading,Reading 9,Lese 9
apps/erpnext/erpnext/config/integrations.py,Connect your Exotel Account to ERPNext and track call logs,Koble Exotel-kontoen din til ERPNekst og spore anropslogger
DocType: Supplier,Is Frozen,Er Frozen
DocType: Tally Migration,Processed Files,Behandlede filer
apps/erpnext/erpnext/stock/utils.py,Group node warehouse is not allowed to select for transactions,Gruppe node lageret er ikke lov til å velge for transaksjoner
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Accounting Dimension <b>{0}</b> is required for 'Balance Sheet' account {1}.,Regnskapsdimensjon <b>{0}</b> er påkrevd for &quot;Balanse&quot; -konto {1}.
DocType: Buying Settings,Buying Settings,Kjøpe Innstillinger
DocType: Stock Entry Detail,BOM No. for a Finished Good Item,BOM No. for et ferdig God Sak
DocType: Upload Attendance,Attendance To Date,Oppmøte To Date
DocType: Request for Quotation Supplier,No Quote,Ingen sitat
DocType: Support Search Source,Post Title Key,Posttittelnøkkel
DocType: Issue,Issue Split From,Utgave delt fra
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,For Job Card,For jobbkort
DocType: Warranty Claim,Raised By,Raised By
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Prescriptions,resepter
DocType: Payment Gateway Account,Payment Account,Betaling konto
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Please specify Company to proceed,Vennligst oppgi selskapet å fortsette
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py,Net Change in Accounts Receivable,Netto endring i kundefordringer
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Compensatory Off,Kompenserende Off
DocType: Job Applicant,Accepted,Akseptert
DocType: POS Closing Voucher,Sales Invoices Summary,Sammendrag av salgsfakturaer
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,To Party Name,Til Festnavn
DocType: Grant Application,Organization,Organisasjon
DocType: BOM Update Tool,BOM Update Tool,BOM Update Tool
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Group by Party,Gruppe etter parti
DocType: SG Creation Tool Course,Student Group Name,Student Gruppenavn
apps/erpnext/erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.js,Show exploded view,Vis eksplodert visning
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule_list.js,Creating Fees,Opprette avgifter
apps/erpnext/erpnext/setup/doctype/company/company.js,Please make sure you really want to delete all the transactions for this company. Your master data will remain as it is. This action cannot be undone.,Sørg for at du virkelig ønsker å slette alle transaksjoner for dette selskapet. Dine stamdata vil forbli som det er. Denne handlingen kan ikke angres.
apps/erpnext/erpnext/templates/pages/product_search.html,Search Results,Søkeresultater
DocType: Homepage Section,Number of Columns,Antall kolonner
DocType: Room,Room Number,Romnummer
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Price not found for item {0} in price list {1},Pris ikke funnet for varen {0} i prislisten {1}
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Requestor,forespørselen
apps/erpnext/erpnext/utilities/transaction_base.py,Invalid reference {0} {1},Ugyldig referanse {0} {1}
apps/erpnext/erpnext/config/buying.py,Rules for applying different promotional schemes.,Regler for anvendelse av forskjellige kampanjer.
DocType: Shipping Rule,Shipping Rule Label,Shipping Rule Etikett
DocType: Journal Entry Account,Payroll Entry,Lønninngang
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule.js,View Fees Records,Se avgifter
apps/erpnext/erpnext/public/js/conf.js,User Forum,bruker~~POS=TRUNC
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Raw Materials cannot be blank.,Råvare kan ikke være blank.
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Row #{0} (Payment Table): Amount must be negative,Rad # {0} (betalingstabell): beløpet må være negativt
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,"Could not update stock, invoice contains drop shipping item.","Kunne ikke oppdatere lager, inneholder faktura slippe frakt element."
DocType: Contract,Fulfilment Status,Oppfyllelsesstatus
DocType: Lab Test Sample,Lab Test Sample,Lab Test prøve
DocType: Item Variant Settings,Allow Rename Attribute Value,Tillat omdøpe attributtverdi
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Quick Journal Entry,Hurtig Journal Entry
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,Future Payment Amount,Fremtidig betalingsbeløp
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.js,You can not change rate if BOM mentioned agianst any item,Du kan ikke endre prisen dersom BOM nevnt agianst ethvert element
DocType: Restaurant,Invoice Series Prefix,Faktura Serie Prefiks
DocType: Employee,Previous Work Experience,Tidligere arbeidserfaring
apps/erpnext/erpnext/accounts/doctype/account/account.js,Update Account Number / Name,Oppdater Kontonummer / Navn
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,Assign Salary Structure,Tilordne lønnsstruktur
DocType: Support Settings,Response Key List,Response Key List
DocType: Job Card,For Quantity,For Antall
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,Please enter Planned Qty for Item {0} at row {1},Skriv inn Planned Antall for Element {0} på rad {1}
DocType: Support Search Source,API,API
DocType: Support Search Source,Result Preview Field,Resultatforhåndsvisningsfelt
apps/erpnext/erpnext/templates/generators/item/item_configure.js,{0} items found.,{0} elementer funnet.
DocType: Item Price,Packing Unit,Pakkeenhet
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} {1} is not submitted,{0} {1} ikke er sendt
DocType: Subscription,Trialling,Tester ut
DocType: Sales Invoice Item,Deferred Revenue,Utsatt inntekt
DocType: Shopify Settings,Cash Account will used for Sales Invoice creation,Kontantkonto brukes til opprettelse av salgsfaktura
DocType: Employee Tax Exemption Declaration Category,Exemption Sub Category,Fritak underkategori
DocType: Member,Membership Expiry Date,Medlemskapets utløpsdato
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,{0} must be negative in return document,{0} må være negativ i retur dokument
DocType: Employee Tax Exemption Proof Submission,Submission Date,Innleveringsdato
,Minutes to First Response for Issues,Minutter til First Response for Issues
DocType: Purchase Invoice,Terms and Conditions1,Vilkår og forhold 1
apps/erpnext/erpnext/public/js/setup_wizard.js,The name of the institute for which you are setting up this system.,Navnet på institutt for som du setter opp dette systemet.
DocType: Accounts Settings,"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.","Regnskap oppføring frosset opp til denne datoen, kan ingen gjøre / endre oppføring unntatt rolle angitt nedenfor."
apps/erpnext/erpnext/manufacturing/doctype/bom_update_tool/bom_update_tool.js,Latest price updated in all BOMs,Siste pris oppdatert i alle BOMs
DocType: Project User,Project Status,Prosjekt Status
DocType: UOM,Check this to disallow fractions. (for Nos),Sjekk dette for å forby fraksjoner. (For Nos)
DocType: Student Admission Program,Naming Series (for Student Applicant),Naming Series (Student søkeren)
apps/erpnext/erpnext/hr/doctype/retention_bonus/retention_bonus.py,Bonus Payment Date cannot be a past date,Bonus Betalingsdato kan ikke være en siste dato
DocType: Travel Request,Copy of Invitation/Announcement,Kopi av invitasjon / kunngjøring
DocType: Practitioner Service Unit Schedule,Practitioner Service Unit Schedule,Utøvere Service Unit Schedule
