Pension Funds,Lífeyrissjóðir
Total Order Value,Samtals Order Value
Supplier {0} not found in {1},Birgir {0} fannst ekki í {1}
Setup SMS gateway settings,Uppsetning SMS gateway stillingar
Root cannot have a parent cost center,Rót getur ekki haft foreldra kostnaðarmiðstöð
Allow Appointments,Leyfa skipan
Show Operations,Sýna starfsemi
Practitioner Schedule,Practitioner Stundaskrá
Calibration,Kvörðun
Apply On,Sækja um
Close Balance Sheet and book Profit or Loss.,Loka efnahagsreikningi og bók Hagnaður eða tap.
Provide Email Address registered in company,Veita netfang skráð í félaginu
Alternative Item Name,Annað heiti vöru
Course,Námskeið
Patient Details,Sjúklingur Upplýsingar
Employee Separation,Aðskilnaður starfsmanna
Debtors,Skuldara
Mapped Items,Mapped Items
Department (optional),Deild (valfrjálst)
Task Type,Verkefni Tegund
Debit A/C Number,Skuldfærslu A / C númer
Total Billed Amount,Samtals innheimt upphæð
Due / Reference Date cannot be after {0},Vegna / Tilvísunardagur má ekki vera eftir {0}
Add unused leaves from previous allocations,Bættu við ónotuðum laufum frá fyrri úthlutun
New Company,Nýtt fyrirtæki
Commission Rate (%),Framkvæmdastjórnargildi (%)
Warehouse can only be changed via Stock Entry / Delivery Note / Purchase Receipt,Vörugeymsla er aðeins hægt að breyta með vöruskipti / afhendingartilkynningu / innkaupakvittun
Close Issue After Days,Loka útgáfu eftir daga
Payment Schedule,Greiðsluáætlun
Spouse,Maki
Reason For Putting On Hold,Ástæða þess að setja í bið
Increment,Aukning
Cuts,Niðurskurður
LMS Only,LMS Only
Show Contact Us Button,Sýna Hafðu samband Button
Add Employees,Bæta við starfsmönnum
Holidays,Frídagar
Chapter Head,Höfuðstjóri
Not permitted. Please disable the Test Template,Ekki leyfilegt. Vinsamlegast slökkva á prófunarsniðinu
No Show,Engin sýning
Selling Amount,Selja upphæð
AWS Access Key ID,AWS aðgangs lykilorð
{0} {1} is not present in the parent company,{0} {1} er ekki til staðar í móðurfélaginu
To Date cannot be before From Date,Til dagsetning má ekki vera fyrir frá dagsetningu
Add Suppliers,Bæta við birgja
Summary for this month and pending activities,Samantekt fyrir þessa mánuði og bið starfsemi
Mode of Transport,Flutningsmáti
Gross Pay - Total Deduction - Loan Repayment,Brúttóþóknun - Samtals frádráttur - Lán endurgreiðsla
Posting Date cannot be future date,Upphafsdagur getur ekki verið framtíðardagsetning
Work Order Stock Report,Vinna fyrir vöruskýrslu
Enable / disable currencies.,Virkja / slökkva á gjaldmiðlum.
View in Cart,Skoða í körfu
Fetch based on FIFO,Fáðu byggt á FIFO
Total Billable Amount,Samtals reikningshæft magn
Material Request of maximum {0} can be made for Item {1} against Sales Order {2},Efni beiðni um hámark {0} er hægt að gera fyrir lið {1} gegn söluskilningi {2}
Production Item,Framleiðsluliður
Equity/Liability Account,Eiginfjár- / ábyrgðarreikningur
No values,Engin gildi
Cancel the journal entry {0} first,Hætta við dagbókarfærsluna {0} fyrst
Remarks,Athugasemdir
Row {0}: Advance against Supplier must be debit,Row {0}: Framboð gegn birgir verður að debeta
Attended by Parents,Sóttu foreldra
Update Stock,Uppfæra lager
Old Parent,Gamall foreldri
Download Materials Required,Sækja efni sem krafist er
Item Template,Liður sniðmát
Discount on Price List Rate (%),Afsláttur á Verðskrá Rate (%)
Abbreviation is mandatory,Skammstöfun er skylt
Domestic,Innlendar
SO Qty,SO Magn
Pick/Drop by Guardian,Pick / Drop með forráðamanni
Balance In Base Currency,Jafnvægi í grunnvalmynd
All Products or Services.,Allar vörur eða þjónustu.
Brake Pad,Bremsuklossi
Max Amt,Max Amt
Show Stock Availability,Sýna framboð á lager
Hotel Room Pricing Item,Hótel Herbergi Verðlagning
Pending Review,Pending Review
Date of Joining,Dagsetning tengingar
Patient Relation,Sjúklingar Tengsl
For Selling,Til sölu
Cash Flow from Financing,Handbært fé frá fjármögnun
Manufacturing,Framleiðsla
By {0},Með {0}
Restaurant Manager,Veitingahússtjóri
Out Value,Out Value
Availability and Skills,Framboð og hæfni
Advance Account,Forgangsreikningur
Invoices with no Place Of Supply,Reikningar án staðsetningar
Ref,Ref
Loan End Date,Útlánardagur
Quantity in row {0} ({1}) must be same as manufactured quantity {2},Magn í röð {0} ({1}) verður að vera eins og framleitt magn {2}
Commercial,Auglýsing
Bank Account No.,Bankareikningur nr.
Advance amount cannot be greater than {0} {1},Forframupphæð getur ekki verið meiri en {0} {1}
Width of amount in word,Breidd magns í orði
MAT-DN-.YYYY.-,MAT-DN-.YYYY.-
Assign Salary Structure,Úthluta launasamsetningu
Stock Entry Type,Tegund birgða
Responsible,Ábyrg
Room Number,Herbergisnúmer
Select Fiscal Year...,Veldu reikningsár ...
Trial Balance,Prófunarjöfnuður
Employee Transfer cannot be submitted before Transfer Date ,Ekki er hægt að senda starfsmannaskipti fyrir flutningsdag
Grading Scale Name,Námsmatsskala
Area UOM,Svæði UOM
Total Costing Amount,Samtals kostnaðarverð
Material Issue,Efnisútgáfa
Item Image (if not slideshow),Item Image (ef ekki myndasýningu)
Is Company,Er félagið
Update latest price in all BOMs,Uppfæra nýjustu verð í öllum BOMs
Messages greater than 160 characters will be split into multiple messages,Skilaboð sem eru stærri en 160 stafir verða skipt í margar skilaboð
Salary Slip submitted for period from {0} to {1},Launasala lögð fyrir tímabil frá {0} til {1}
Project-wise data is not available for Quotation,Verkefnaleg gögn eru ekki tiltæk fyrir tilvitnun
Total Outstanding Amt,Samtals framúrskarandi amt
Item Tax Rate,Vara Skatt Rate
Planned Quantity,Áætlað magn
Retention Stock Entry,Varðveisla birgða
In Words (Export) will be visible once you save the Delivery Note.,Í Orð (Útflutningur) verður sýnilegt þegar þú vistar afhendingu.
Each Transaction,Hver viðskipti
Institute's Bus,Rútur stofnunarinnar
Please select the Company first,Vinsamlegast veldu félagið fyrst
Attendance for employee {0} is already marked for this day,Aðgengi fyrir starfsmanninn {0} er nú þegar merktur fyrir þennan dag
Opening,Opnun
Detected Disease,Uppgötvað sjúkdómur
{0} ({1}) cannot be greater than planned quanitity ({2}) in Production Order {3},{0} ({1}) getur ekki verið meiri en fyrirhuguð þráhyggju ({2}) í framleiðslufyrirmæli {3}
Stock Queue (FIFO),Lager biðröð (FIFO)
Please enter 'Is Subcontracted' as Yes or No,Vinsamlegast sláðu inn &#39;Er undirverktaka&#39; eins og já eða nei
Default Holiday List,Sjálfgefin frílisti
Current Value,Núverandi gildi
"Seasonality for setting budgets, targets etc.","Tímabil til að setja fjárhagsáætlun, markmið o.fl."
Program Code,Program Code
Warning: Sales Order {0} already exists against Customer's Purchase Order {1},Viðvörun: Söluskilningur {0} er þegar til á móti kaupanda viðskiptavina {1}
Monthly Sales Target (,Mánaðarlegt sölumarkmið
Guardian Interests,Forráðamaður Áhugamál
Batch ID is mandatory,Hópur auðkenni er nauðsynlegur
Allow over delivery or receipt upto this percent,Leyfa yfir afhendingu eða kvittun allt að þessum prósentum
Paid Amount (Company Currency),Greiddur upphæð (félags gjaldmiðill)
Shipping Rule Condition,Skilmálar reglustöðvunar
Required for Employee Creation,Nauðsynlegt fyrir starfsmannasköpun
Loyalty Point Entry Redemption,Innlán til hollustuháttar
Cover Letter,Kynningarbréf
Chart Preview,Mynd sýnishorn
Item Quality Inspection Parameter,Vara Gæði Skoðun Parameter
Get Started Sections,Byrjaðu kafla
% of materials delivered against this Delivery Note,% af efnunum sem afhent eru gegn þessari afhendingu
Warranty / AMC Status,Ábyrgð / AMC Status
Gram,Gram
Allocated amount cannot be negative,Úthlutað magn má ekki vera neikvætt
Item Groups,Vöruflokkar
Customer LPO No.,Viðskiptavinur LPO nr.
Company Name,nafn fyrirtækis
To Address 1,Til að senda 1
Purchase Receipt Trends,Kaup kvittunartölur
Leave Block List Dates,Skildu lokadagsetningar dagsetningar
Student {0} exist against student applicant {1},Nemandi {0} er fyrir hendi gagnvart nemanda umsækjanda {1}
LMS Settings,LMS Stillingar
Titles for print templates e.g. Proforma Invoice.,"Titillir fyrir prenta sniðmát, td Proforma Reikningur."
Delivery Time,Sendingartími
Repayment Period in Months,Endurgreiðslutími í mánuði
Transporter ID,Transporter ID
Price List master.,Verðskrá meistari.
The first Expense Approver in the list will be set as the default Expense Approver.,Fyrsta kostnaðarákvörðunin á listanum verður stillt sem sjálfgefið kostnaðarákvörðun.
Advertising,Auglýsingar
Customer or Item,Viðskiptavinur eða hlutur
Invoice Ref,Reikningsnúmer
C-form is not applicable for Invoice: {0},C-eyðublað er ekki á við um reikning: {0}
Invoice Created,Reikningur búin til
Review Details,Endurskoða upplýsingar
Row {0}: Hours value must be greater than zero.,Rú {0}: Tímar gildi verða að vera meiri en núll.
Account Number,Reikningsnúmer
Assessment Result Detail,Mat á niðurstöðum náms
"To allow over-billing or over-ordering, update ""Allowance"" in Stock Settings or the Item.","Til að leyfa ofgreiðslu eða ofpöntun, uppfærðu &quot;Laun&quot; í lagerstillingum eða hlutanum."
Auto close Issue after 7 days,Sjálfvirk loka Útgáfa eftir 7 daga
Is Frozen,Er frosinn
Total weightage assigned should be 100%. It is {0},Heildarþyngd úthlutað skal vera 100%. Það er {0}
"Applicable if the company is SpA, SApA or SRL","Gildandi ef fyrirtækið er SpA, SApA eða SRL"
Overlapping conditions found between:,Skarast aðstæður sem finnast á milli:
Paid and Not Delivered,Greiddur og ekki afhentur
Item Code is mandatory because Item is not automatically numbered,Vörunúmer er skylt vegna þess að hluturinn er ekki sjálfkrafa númeraður
HSN Code,HSN-kóði
September,September
Administrative Expenses,Stjórnsýslukostnaður
C-Form No,C-eyðublað nr
End date of current invoice's period,Lokadagur núverandi reiknings tíma
Crop Cycle,Ræktunarhringur
Creation Time,Creation Time
Please enter Approving Role or Approving User,Vinsamlegast sláðu inn samþykkta hlutverk eða samþykkja notanda
Discharged,Sleppt
Raw Material Cost(Company Currency),Hráefni (kostnaður fyrirtækja)
Note: Due / Reference Date exceeds allowed customer credit days by {0} day(s),Til athugunar: Vegna / viðmiðunardagur fer yfir leyfileg lánardag viðskiptavina eftir {0} dag (s)
New Sales Orders,Nýr sölutilboð
based_on,byggt á
Owned,Eigið
Item Default,Atriði sjálfgefið
Party can only be one of ,Aðili getur aðeins verið einn af
Entertainment Expenses,Skemmtunarútgjöld
Inspection Required before Delivery,Skoðun krafist fyrir afhendingu
Opening Entry Journal,Opnun dagbókar
Add or Deduct,Bæta við eða draga frá
Collected Amount,Söfnuður upphæð
Commission on Sales,Framkvæmdastjórn um sölu
Start entering data from here : ,Byrja að slá inn gögn hérna:
Rest Of The World,Rest of the World
Customer &gt; Customer Group &gt; Territory,Viðskiptavinur&gt; Viðskiptavinahópur&gt; Territory
Publications,Útgáfur
Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.,Sjálfgefið bankareikningur verður sjálfkrafa uppfærður í Launabókfærslu þegar þessi hamur er valinn.
Total Budget,Heildaráætlun
Upload HTML,Hlaða inn HTML
Payment Document,Greiðsluskilríki
Opportunity Item,Tækifæri
Travel From,Ferðalög frá
CWIP Account,CWIP reikningur
Sender Name,Sendandi Nafn
Supplier Group,Birgir Group
Date of Issue,Útgáfudagur
Requested Items To Be Transferred,Beiðin atriði sem þarf að flytja
Contract End Date,Samningur Lokadagur
Returned Qty,Skilað til baka
SAL-ORD-.YYYY.-,SAL-ORD-.YYYY.-
Required only for sample item.,Einungis krafist fyrir sýnishorn.
Vacant,Laust
Sales Stage,Sala stigi
In Words will be visible once you save the Sales Order.,Í Orð verður sýnilegt þegar þú vistar söluskilaboð.
Re-order Level,Endurskipulagningarnúmer
Preference,Val
Department Analytics,Department Analytics
Scientific Name,Vísindalegt nafn
Discount amount cannot be greater than 100%,Afsláttarfjárhæð getur ekki verið meiri en 100%
Relation,Tengsl
Name or Email is mandatory,Nafn eða tölvupóstur er skylt
Billing Zipcode,Innheimtu póstnúmer
Marketplace,Marketplace
{0} {1} status is {2},{0} {1} staðan er {2}
Quiz Activity,Quiz Activity
{0} is not in a valid Payroll Period,{0} er ekki í gildum launum
Billed,Innheimt
Last Sales Invoice,Síðasta sölureikningur
Payment Terms,Greiðsluskilmála
"Reserved Qty: Quantity ordered for sale, but not delivered.","Frátekin Magn: Magn pantað til sölu, en ekki afhent."
{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2},{0} er skylt. Kannski er gjaldeyrisskýrsla ekki búin til fyrir {1} til {2}
Actual End Date (via Time Sheet),Raunverulegur lokadagur (með tímapunkti)
Score must be less than or equal to 5,Skora skal vera minna en eða jafnt og 5
Please select BOM in BOM field for Item {0},Vinsamlegast veldu BOM í BOM-reit fyrir atriði {0}
Serial No {0} is under warranty upto {1},Raðnúmer {0} er undir ábyrgð allt að {1}
Split,Skipta
Bank Account No,Bankareikningur nr
Salary Slip Based on Timesheet,Launasala byggist á tímariti
Mode of Transportation,Samgöngustíll
Control Action,Stjórna aðgerð
Total Exemption Amount,Heildarfjöldi undanþága
Medical Code Standard,Læknisfræðileg staðal
Row #{0}: Reqd by Date cannot be before Transaction Date,Row # {0}: Reqd eftir dagsetningu má ekki vera fyrir viðskiptadag
Current Academic Term,Núverandi námsbraut
Short biography for website and other publications.,Stutt ævisaga fyrir vefsíðuna og aðrar útgáfur.
Received Qty,Fjöldi móttekinna
Rate (Company Currency),Rate (Fyrirtæki Gjaldmiðill)
Request for,Beiðni um
Installing presets,Uppsetning forstillingar
Please enter Repayment Periods,Vinsamlegast sláðu inn endurgreiðslu tímabil
Advanced Settings,Ítarlegar stillingar
Paid Amount,Greiddur upphæð
Setup Progress Action,Uppsetning Framfarir
Billing Interval Count,Greiðslumiðlunartala
Financial Statements,Ársreikningur
Message will sent to users to get their status on the project,Skilaboð verða send til notenda til að fá stöðu sína á verkefninu
Employee Tax Exemption Proof Submission Detail,Skattfrjálsar upplýsingar um atvinnurekstur
Delivered,Afhent
{0}% Delivered,{0}% afhent
Request for Information,Beiðni um upplýsingar
End Year,Lokár
Diesel,Diesel
Sanctioned Amount cannot be greater than Claim Amount in Row {0}.,Refsað magn má ekki vera hærra en kröfuhæð í röð {0}.
From {0} | {1} {2},Frá {0} | {1} {2}
Result already Submitted,Niðurstaða þegar send
Rule Applied,Regla beitt
Actual Qty is mandatory,Raunverulegur fjöldi er skylt
Expected Delivery Date,Væntanlegur afhendingardagur
Resolution Date,Upplausnardagur
Leave of type {0} cannot be longer than {1},Leyfi af tegundinni {0} getur ekki verið lengri en {1}
Enable Shopping Cart,Virkja körfu
Apply Rule On Other,Notaðu reglu á öðrum
Last Carbon Check,Síðasta kolefnisskoðun
Make,Gerðu
Sales Invoice {0} created as paid,Sölureikningur {0} búinn til sem greiddur
