DocType: Accounting Period,Period Name,Numele perioadei
apps/erpnext/erpnext/setup/doctype/company/company.js,Update in progress. It might take a while.,Actualizare în curs. Ar putea dura ceva timp.
DocType: Production Plan Item,Produced Qty,Cantitate produsă
DocType: Vehicle Log,Fuel Qty,combustibil Cantitate
DocType: Work Order Operation,Planned Start Time,Planificate Ora de începere
DocType: Course,Assessment,Evaluare
DocType: Payment Entry Reference,Allocated,Alocat
apps/erpnext/erpnext/config/accounting.py,Close Balance Sheet and book Profit or Loss.,Inchideti Bilanțul și registrul Profit sau Pierdere.
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,ERPNext could not find any matching payment entry,ERPNext nu a găsit nicio intrare de plată potrivită
DocType: Student Applicant,Application Status,Starea aplicației
DocType: Additional Salary,Salary Component Type,Tipul componentei salariale
DocType: Sensitivity Test Items,Sensitivity Test Items,Elemente de testare a senzitivității
DocType: Website Attribute,Website Attribute,Atribut site web
DocType: Project Update,Project Update,Actualizarea proiectului
DocType: Fees,Fees,Taxele de
DocType: Currency Exchange,Specify Exchange Rate to convert one currency into another,Precizați Rata de schimb a converti o monedă în alta
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Quotation {0} is cancelled,Ofertă {0} este anulat
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html,Total Outstanding Amount,Total Suma Impresionant
DocType: Sales Partner,Targets,Obiective
apps/erpnext/erpnext/regional/report/fichier_des_ecritures_comptables_[fec]/fichier_des_ecritures_comptables_[fec].js,Please register the SIREN number in the company information file,Înregistrați numărul SIREN în fișierul cu informații despre companie
DocType: Quality Action Table,Responsible,Responsabil
DocType: Email Digest,Sales Orders to Bill,Comenzi de vânzare către Bill
DocType: Price List,Price List Master,Lista de preturi Masterat
DocType: GST Account,CESS Account,Cont CESS
DocType: Sales Person,All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,Toate tranzacțiile de vânzări pot fi etichetate comparativ mai multor **Persoane de vânzări** pentru ca dvs. sa puteţi configura și monitoriza obiective.
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Link to Material Request,Link la solicitarea materialului
DocType: Quiz,Score out of 100,Scor din 100
apps/erpnext/erpnext/templates/pages/help.html,Forum Activity,Activitatea Forumului
DocType: Quiz,Grading Basis,Bazele gradării
apps/erpnext/erpnext/selling/report/pending_so_items_for_purchase_request/pending_so_items_for_purchase_request.py,S.O. No.,SO No.
DocType: Bank Statement Transaction Settings Item,Bank Statement Transaction Settings Item,Element pentru setările tranzacției din contul bancar
apps/erpnext/erpnext/hr/utils.py,To date can not greater than employee's relieving date,Până în prezent nu poate fi mai mare decât data scutirii angajatului
apps/erpnext/erpnext/selling/doctype/quotation/quotation.py,Please create Customer from Lead {0},Vă rugăm să creați client de plumb {0}
apps/erpnext/erpnext/healthcare/page/patient_history/patient_history.html,Select Patient,Selectați pacientul
DocType: Price List,Applicable for Countries,Aplicabile pentru țările
DocType: Supplier Scorecard Scoring Variable,Parameter Name,Nume parametru
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Only Leave Applications with status 'Approved' and 'Rejected' can be submitted,Lăsați numai aplicațiile cu statut „Aprobat“ și „Respins“ pot fi depuse
apps/erpnext/erpnext/accounts/doctype/accounting_dimension/accounting_dimension.py,Creating Dimensions...,Crearea dimensiunilor ...
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,Student Group Name is mandatory in row {0},Grupul studențesc Nume este obligatoriu în rândul {0}
DocType: Homepage,Products to be shown on website homepage,Produsele care urmează să fie afișate pe pagina de pornire site
DocType: HR Settings,Password Policy,Politica de parolă
apps/erpnext/erpnext/setup/doctype/customer_group/customer_group.js,This is a root customer group and cannot be edited.,Acesta este un grup de clienți rădăcină și nu pot fi editate.
DocType: Student,AB-,AB-
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty must be greater than zero,Cantitatea totală completată trebuie să fie mai mare de zero
DocType: Budget,Action if Accumulated Monthly Budget Exceeded on PO,Acțiune în cazul în care bugetul lunar acumulat este depășit cu PO
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,To Place,A plasa
DocType: Stock Entry,Stock Entry (Outward GIT),Intrare pe stoc (GIT exterior)
DocType: Exchange Rate Revaluation,Exchange Rate Revaluation,Reevaluarea cursului de schimb
DocType: POS Profile,Ignore Pricing Rule,Ignora Regula Preturi
DocType: Employee Education,Graduate,Absolvent
DocType: Leave Block List,Block Days,Zile de blocare
apps/erpnext/erpnext/accounts/doctype/shipping_rule/shipping_rule.py,"Shipping Address does not have country, which is required for this Shipping Rule","Adresa de expediere nu are țara, care este necesară pentru această regulă de transport"
DocType: Journal Entry,Excise Entry,Intrare accize
DocType: Bank,Bank Transaction Mapping,Maparea tranzacțiilor bancare
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Warning: Sales Order {0} already exists against Customer's Purchase Order {1},Atenție: comandă de vânzări {0} există deja împotriva Ordinului de Procurare clientului {1}
DocType: Terms and Conditions,"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","Termeni și Condiții care pot fi adăugate la vânzările și achizițiile standard.

 Exemple: 

 1. Perioada de valabilitate a ofertei.
 1. Conditii de plata (in avans, pe credit, parte în avans etc.).
 1. Ce este în plus (sau de plătit de către Client).
 1. Siguranța / avertizare utilizare.
 1. Garantie dacă este cazul.
 1. Politica de Returnare.
 1. Condiții de transport maritim, dacă este cazul.
 1. Modalitati de litigii de adresare, indemnizație, răspunderea, etc. 
 1. Adresa și de contact ale companiei."
DocType: Homepage Section,Section Based On,Secțiune bazată pe
DocType: Shopping Cart Settings,Show Apply Coupon Code,Afișați Aplicați codul de cupon
DocType: Issue,Issue Type,Tipul problemei
DocType: Attendance,Leave Type,Tip Concediu
DocType: Purchase Invoice,Supplier Invoice Details,Furnizor Detalii factură
DocType: Agriculture Task,Ignore holidays,Ignorați sărbătorile
apps/erpnext/erpnext/accounts/doctype/coupon_code/coupon_code.js,Add/Edit Coupon Conditions,Adăugați / Editați Condițiile cuponului
apps/erpnext/erpnext/controllers/stock_controller.py,Expense / Difference account ({0}) must be a 'Profit or Loss' account,"Cheltuială cont / Diferența ({0}) trebuie să fie un cont de ""profit sau pierdere"""
DocType: Stock Entry Detail,Stock Entry Child,Copil de intrare în stoc
DocType: Project,Copied From,Copiat de la
DocType: Project,Copied From,Copiat de la
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.py,Invoice already created for all billing hours,Factura deja creată pentru toate orele de facturare
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Name error: {0},Numele de eroare: {0}
DocType: Healthcare Service Unit Type,Item Details,Detalii despre articol
DocType: Cash Flow Mapping,Is Finance Cost,Este costul de finanțare
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance for employee {0} is already marked,Prezenţa pentru angajatul {0} este deja consemnată
DocType: Packing Slip,If more than one package of the same type (for print),În cazul în care mai mult de un pachet de același tip (pentru imprimare)
apps/erpnext/erpnext/restaurant/doctype/restaurant_order_entry/restaurant_order_entry.py,Please set default customer in Restaurant Settings,Alegeți clientul implicit în Setări restaurant
,Salary Register,Salariu Înregistrare
DocType: Company,Default warehouse for Sales Return,Depozit implicit pentru returnarea vânzărilor
DocType: Pick List,Parent Warehouse,Depozit Părinte
DocType: Subscription,Net Total,Total net
apps/erpnext/erpnext/stock/doctype/batch/batch.py,"Set item's shelf life in days, to set expiry based on manufacturing date plus shelf-life.","Setați termenul de valabilitate al articolului în zile, pentru a stabili data de expirare în funcție de data fabricației, plus perioada de valabilitate."
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Default BOM not found for Item {0} and Project {1},Implicit BOM nu a fost găsit pentru articolele {0} și proiectul {1}
apps/erpnext/erpnext/config/non_profit.py,Define various loan types,Definirea diferitelor tipuri de împrumut
DocType: Bin,FCFS Rate,Rata FCFS
DocType: Bank Statement Transaction Invoice Item,Outstanding Amount,Remarcabil Suma
apps/erpnext/erpnext/templates/generators/bom.html,Time(in mins),Timp (în min)
DocType: Task,Working,De lucru
DocType: Stock Ledger Entry,Stock Queue (FIFO),Stoc Queue (FIFO)
DocType: Homepage Section,Section HTML,Secțiunea HTML
apps/erpnext/erpnext/public/js/setup_wizard.js,Financial Year,An financiar
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,{0} does not belong to Company {1},{0} nu aparține companiei {1}
apps/erpnext/erpnext/buying/doctype/supplier_scorecard_period/supplier_scorecard_period.py,Could not solve criteria score function for {0}. Make sure the formula is valid.,Nu s-a putut rezolva funcția de evaluare a criteriilor pentru {0}. Asigurați-vă că formula este validă.
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Cost as on,Cost cu o schimbare ca pe
DocType: Healthcare Settings,Out Patient Settings,Setări pentru pacient
DocType: Account,Round Off,Rotunji
DocType: Service Level Priority,Resolution Time,Timp de rezoluție
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Quantity must be positive,Cantitatea trebuie să fie pozitivă
DocType: Job Card,Requested Qty,Cant. Solicitată
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The fields From Shareholder and To Shareholder cannot be blank,Câmpurile de la acționar și de la acționar nu pot fi goale
DocType: Cashier Closing,Cashier Closing,Încheierea caselor
DocType: Tax Rule,Use for Shopping Cart,Utilizați pentru Cos de cumparaturi
DocType: Homepage,Homepage Slideshow,Prezentare Slideshow a paginii de start
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Select Serial Numbers,Selectați numerele de serie
DocType: BOM Item,Scrap %,Resturi%
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,"Charges will be distributed proportionately based on item qty or amount, as per your selection","Taxele vor fi distribuite proporțional în funcție de produs Cantitate sau valoarea, ca pe dvs. de selecție"
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Create Supplier Quotation,Creați ofertă pentru furnizori
DocType: Travel Request,Require Full Funding,Solicitați o finanțare completă
DocType: Maintenance Visit,Purposes,Scopuri
DocType: Stock Entry,MAT-STE-.YYYY.-,MAT-STE-.YYYY.-
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Atleast one item should be entered with negative quantity in return document,Cel puțin un articol ar trebui să fie introdus cu cantitate negativa în documentul de returnare
DocType: Shift Type,Grace Period Settings For Auto Attendance,Setări pentru perioada de grație pentru prezența automată
apps/erpnext/erpnext/manufacturing/doctype/workstation/workstation.py,"Operation {0} longer than any available working hours in workstation {1}, break down the operation into multiple operations","Operațiunea {0} mai mult decât orice ore de lucru disponibile în stație de lucru {1}, descompun operațiunea în mai multe operațiuni"
DocType: Membership,Membership Status,Statutul de membru
DocType: Travel Itinerary,Lodging Required,Cazare solicitată
DocType: Promotional Scheme,Price Discount Slabs,Placi cu reducere de preț
DocType: Stock Reconciliation Item,Current Serial No,Serial curent nr
DocType: Employee,Attendance and Leave Details,Detalii de participare și concediu
,BOM Comparison Tool,Instrument de comparare BOM
,Requested,Solicitată
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,No Remarks,Nu Observații
DocType: Asset,In Maintenance,În Mentenanță
DocType: Amazon MWS Settings,Click this button to pull your Sales Order data from Amazon MWS.,Faceți clic pe acest buton pentru a vă trage datele de comandă de vânzări de la Amazon MWS.
DocType: Vital Signs,Abdomen,Abdomen
apps/erpnext/erpnext/accounts/doctype/exchange_rate_revaluation/exchange_rate_revaluation.py,No outstanding invoices require exchange rate revaluation,Fără facturi restante nu necesită reevaluarea cursului de schimb
DocType: Purchase Invoice,Overdue,Întârziat
DocType: Account,Stock Received But Not Billed,"Stock primite, dar nu Considerat"
apps/erpnext/erpnext/accounts/doctype/account/account.py,Root Account must be a group,Contul de root trebuie să fie un grup
DocType: Drug Prescription,Drug Prescription,Droguri de prescripție
DocType: Service Level,Support and Resolution,Suport și rezoluție
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,Free item code is not selected,Codul gratuit al articolului nu este selectat
DocType: Loan,Repaid/Closed,Nerambursate / Închis
DocType: Amazon MWS Settings,CA,CA
DocType: Item,Total Projected Qty,Cantitate totală prevăzută
DocType: Monthly Distribution,Distribution Name,Denumire Distribuție
