Pension Funds,Emeklilik fonları
Do you really want to scrap this asset?,Bu öğeyi gerçekten hurdaya çıkarmak istiyor musunuz?
Sales Order Date,Satış Sipariş Tarihi
Operating Costs,İşletme maliyetleri
Lead Time in days,Günler içinde Teslimat Süresi
Repay from Salary,Maaştan Geri Ödeme
Discounted Invoice,İndirimli Fatura
Leave Block List Allow,Blok Listesinden Çık İzin Ver
AMC Expiry Date,AMC Sona Erme Tarihi
Number of Depreciations Booked,Rezerve Edilen Amortisman Sayısı
Student Group Creation Tool,Öğrenci Grubu Oluşturma Aracı
Purchase Order Items To Be Billed,Faturalandırılacak Sipariş Öğelerini Satın Alma
Holiday List for Optional Leave,İsteğe Bağlı İzin İçin Tatil Listesi
Default settings for accounting transactions.,Muhasebe işlemleri için varsayılan ayarlar.
Scan Barcode,Barkod Tara
Update Cost Center Number,Maliyet Merkezi Numarasını Güncelle
Service Start Date,Servis Başlama Tarihi
Furnitures and Fixtures,Mobilya ve Fikstür
Criteria weights must add up to 100%,Kriter ağırlıkları% 100&#39;e kadar eklemelidir
Average Discount,Ortalama indirim
Discount must be less than 100,İndirim 100&#39;den az olmalı
Accumulated Depreciation as on,Tarihinde olduğu gibi birikmiş amortisman
Supplier Scorecard Scoring Variable,Tedarikçi Puan Kartı Puanlama Değişkeni
Message to show,Gösterilecek mesaj
No Students in,Hiçbir öğrenci yok
Temporary Accounts,Geçici Hesaplar
Bank Charges,Banka masrafları
Goods Transferred,Transfer Edilen Mallar
Primary Contact Details,Birincil İletişim Detayları
Values,Değerler
"If not checked, the list will have to be added to each Department where it has to be applied.","İşaretli değilse, listenin uygulanması gereken her Bölüme eklenmesi gerekecektir."
Show this slideshow at the top of the page,Bu slayt gösterisini sayfanın üstünde göster
{0} parameter is invalid,{0} parametre geçersiz
No description given,Açıklama verilmemiş
Closed Documents,Kapalı Belgeler
Gross Margin,Brüt Kar Marjı
Exchange Rate Revaluation Account,Döviz Kuru Yeniden Değerleme Hesabı
Quotation To,Tırnak
Bank Statement Settings Item,Hesap özeti ayarları kalemi
Setup Series,Kurulum serisi
Reload Linked Analysis,Bağlantılı Analizi Yeniden Yükle
Quantity must be less than or equal to {0},Miktar {0} &#39;a eşit veya daha az olmalıdır
Out Qty,Miktar
Outward,dışa doğru
Please enter Sales Orders in the above table,Lütfen yukarıdaki tablodaki Satış Siparişlerini girin
Bank Charges Account,Banka Ücretleri Hesabı
Get Outstanding Invoices,Ödenmemiş Faturaları Alın
Opportunity From,Fırsat
Customer Code,Müşteri kodu
Please enter Item first,Lütfen önce Öğe&#39;yi girin
Website Listing,Web Sitesi Listesi
Invalid GSTIN! The input you've entered doesn't match the format of GSTIN.,Geçersiz GSTIN! Girdiğiniz giriş GSTIN biçimiyle eşleşmiyor.
Re-order Qty,Sipariş Miktarı
Maintenance Required,Bakım gerekli
Doc Name,Doküman Adı
Lead Owner cannot be same as the Lead,"Lider Sahibi, Lider ile aynı olamaz"
"e.g. Bank, Cash, Credit Card","örneğin, Banka, Nakit, Kredi Kartı"
Serial Number Series,Seri Numarası Serisi
Bank Statement Transaction Entry List,Hesap özeti işlem giriş listesi
Postal Expenses,Posta Giderleri
Management,yönetim
To view logs of Loyalty Points assigned to a Customer.,Bir Müşteriye atanan Sadakat Puanlarının kayıtlarını görüntülemek için.
If subcontracted to a vendor,Bir satıcıya taşınırsa
Visit the forums,Forumları ziyaret et
C-Form,C-Formu
Maintenance Team,Bakım ekibi
{0} on Half day Leave on {1},{0} tarihinde yarım gün {1} tarihinde bırakın
Combined invoice portion must equal 100%,Kombine fatura kısmı% 100&#39;e eşit olmalıdır
Occupational Hazards and Environmental Factors,Mesleki Tehlikeler ve Çevresel Faktörler
Volunteer,Gönüllü
Custom Result,Özel Sonuç
Opening Date,Açılış tarihi
The selected BOMs are not for the same item,Seçilen malzeme listesi aynı öğe için değil
Delivery To,Teslimat için
Bank Data,Banka Verileri
Scheduled Upto,Planlanmış
Everyday,Her gün
Maintain Billing Hours and Working Hours Same on Timesheet,Fatura ve Çalışma Saatlerini Bakım Yapın
Track Leads by Lead Source.,Aday Müşteri Kaynaklarına Göre Takip Edin.
Nursing User,Hemşirelik Kullanıcısı
Response Key List,Yanıt Anahtarı Listesi
Ageing Based On,Temelli Yaşlanma
Balance,Denge
Warehouse where you are maintaining stock of rejected items,Reddedilen öğelerin stoklarını tuttuğunuz depo
Retail,Perakende
Maintenance Schedules,Bakım Takvimi
Cannot convert Cost Center to ledger as it has child nodes,Maliyet Merkezi alt düğümlere sahip olduğu için muhasebe defterine dönüştürülemiyor
Please specify at least one attribute in the Attributes table,Lütfen Özellikler tablosunda en az bir özellik belirtin
Create Chart Of Accounts Based On,Temelli Hesap Planı Yaratın
Sales Invoice {0} must be cancelled before cancelling this Sales Order,Bu Müşteri Siparişini iptal etmeden önce {0} Satış Faturası iptal edilmelidir
Default Purchase Unit of Measure,Varsayılan Satın Alma Ölçü Birimi
Location Details,Konum Detayları
Basic Rate (as per Stock UOM),Temel Ücret (Stok UOM’a göre)
Travel Request Costing,Seyahat Talebi Maliyetlendirme
Create Sales Invoice,Satış Faturası Yaratın
From Time cannot be greater than To Time.,"Zamandan, Zamandan daha büyük olamaz."
To Date cannot be less than From Date,Tarihe Tarihten az olamaz
Manage Territory Tree.,Bölge Ağacını Yönet.
Voucher Type,Kupon Türü
Serial No Service Contract Expiry,Seri No Servis Sözleşmesi Bitiş Süresi
Certified,onaylı
Manufacture,üretim
{0} items produced,{0} ürün üretildi
Payment Request for {0},{0} için Ödeme İsteği
Days Since Last Order,Son Siparişden Beri Günler
Please set default Cash or Bank account in Mode of Payment {0},Lütfen {0} Ödeme Modunda varsayılan Nakit veya Banka hesabını ayarlayın
Instructors,eğitmenler
Mark Present,Markı Göster
"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes","Müşterilerin rahatı için bu kodlar, Faturalar ve Teslimat Notları gibi baskı biçimlerinde kullanılabilir."
Enable Amazon,Amazon&#39;u etkinleştir
Total Interest Payable,Ödenecek Toplam Faiz
Topic Content,Konu İçeriği
Company Address Name,Firma Adres Adı
Goods In Transit,Transit Ürünler
You can only redeem max {0} points in this order.,Bu siparişte yalnızca maksimum {0} puan kullanabilirsiniz.
Please set account in Warehouse {0},Lütfen hesabınızı {0} Depoda ayarlayın.
Resolution,çözüm
Loyalty Points Redemption,Sadakat Puanı Kullanımı
Total Taxable Value,Toplam Vergilendirilebilir Değer
Scheduled,tarifeli
Partner Type,Ortak türü
Import of services,Hizmet alımı
School/University,Okul / Üniversite
Row {0}: UOM Conversion Factor is mandatory,{0} Satırı: UOM Dönüşüm Faktörü zorunludur
Reference No.,Referans Numarası.
Additional Operating Cost,Ek İşletme Maliyeti
Collection Factor (=1 LP),Toplama Faktörü (= 1 LP)
Delivery Document Type,Teslimat Belgesi Türü
Attributes,Öznitellikler
Bank Guarantee,Banka garantisi
Territory Name,Bölge Adı
Minimum Qty ,Minimum Adet
Per Week,Haftada
Warn for new Request for Quotations,Yeni Teklif Talebi için uyar
Tax,Vergi
Visited,Ziyaret
Auto Opt In (For all customers),Otomatik Seçme (Tüm müşteriler için)
Rate at which Customer Currency is converted to customer's base currency,Müşteri Para Biriminin müşterinin temel para birimine dönüştürülme oranı
Applicable if the company is an Individual or a Proprietorship,Şirket Birey veya Mülkiyet ise uygulanabilir
Restaurant,Restoran
Address Name,Adres adı
Employee Promotion,Çalışan Promosyonu
No repayments selected for Journal Entry,Journal Entry için geri ödeme seçilmedi
Set Invoice Value for B2C. B2CL and B2CS calculated based on this invoice value.,"B2C için Fatura Değerini ayarlayın. B2CL ve B2CS, bu fatura değerine göre hesaplanmıştır."
Cannot deduct when category is for 'Valuation' or 'Vaulation and Total',Kategori &#39;Değerleme&#39; veya &#39;Tahliye ve Toplam&#39; olduğunda kesinti yapılamıyor
Revised On,Üzerinde revize edildi
Please enter Root Type for - {0},Lütfen - {0} için Kök Tipini girin
The item referenced by {0} - {1} is already invoiced,{0} - {1} tarafından başvurulan öğe zaten faturalandırılmış
Suspended,Askıya alındı
Accumulated Depreciation Account,Birikmiş Amortisman Hesabı
Credit in Company Currency,Şirket Para Biriminde Kredi
Entertainment & Leisure,Eğlence ve Boş Zaman
New Sales Invoice,Yeni Satış Fatura
Net Profit,Net kazanç
Another Sales Person {0} exists with the same Employee id,Aynı Çalışan kimliğiyle başka bir Satış Görevlisi {0} var
Closing (Dr),Kapanış (Dr)
Loyalty Program Tier,Sadakat Programı Seviyesi
Total Taxes and Charges,Toplam Vergiler ve Harçlar
JP,JP
Operation Description,operasyon Açıklaması
Bank Transaction Entries,Banka İşlem Girişleri
Leave Approval Notification Template,Onay Bildirim Şablonu Bırakın
Doc Type,Belge Türü
New Purchase Invoice,Yeni Satınalma Fatura
"Requested Qty: Quantity requested for purchase, but not ordered.",Talep Edilen Miktar: Satın almak için talep edilen ancak sipariş edilmeyen miktar.
Supplier Name,sağlayıcı adı
Please click on 'Generate Schedule' to fetch Serial No added for Item {0},Lütfen {0} Maddesi için Serial No almak için &#39;Generate Schedule&#39; üzerine tıklayın.
Cost of Delivered Items,Teslim Edilen Ürünlerin Maliyeti
Consumed,tüketilen
Legal Entity / Subsidiary with a separate Chart of Accounts belonging to the Organization.,"Tüzel Kişilik / Bağlı Ortaklık, Kuruluşa ait ayrı bir Hesap Planı ile."
Show In Website,Web Sitesinde Göster
"Then Pricing Rules are filtered out based on Customer, Customer Group, Territory, Supplier, Supplier Type, Campaign, Sales Partner etc.","Ardından Müşteri, Müşteri Grubu, Bölge, Tedarikçi, Tedarikçi Tipi, Kampanya, Satış Ortağı vb."
Payment Request Type,Ödeme İsteği Türü
The field To Shareholder cannot be blank,Ortaklara alanı boş bırakılamaz
QuickBooks Migrator,QuickBooks Migrator
POS Profile is required to use Point-of-Sale,Satış Noktası kullanmak için POS Profili gereklidir
Purchase Order Pricing Rule,Satınalma Siparişi Fiyatlandırma Kuralı
Expenses,giderler
Cheque,Kontrol
Currency and Price List,Para Birimi ve Fiyat Listesi
Shop URL,Mağaza URL&#39;si
Source Location,Kaynak Yeri
Enter value must be positive,Girilen değer pozitif olmalı
Allow Cost Center In Entry of Balance Sheet Account,Bilanço Hesabı Girişinde Maliyet Merkezine İzin Ver
Attendance,katılım
Internet,Internet
Monthly Distribution Percentages,Aylık Dağıtım Yüzdeleri
Dispatch Notification Template,Satış Bildirim Şablonu
Total (Without Tax),Toplam (Vergisiz)
Cash Flow Mapping,Nakit Akışı Haritalaması
HLC-ENC-.YYYY.-,HLC-ENC-.YYYY.-
Section Leader,Bölüm Lideri
Budget Variance Report,Bütçe Varyansı Raporu
Gross Purchase Amount,Brüt Satın Alma Tutarı
Half Day Date is mandatory,Yarım Gün Zorunlu
Removed items with no change in quantity or value.,Miktarda veya değerde değişiklik olmayan kaldırılan öğeler.
Applicant Type,Başvuru Tipi
To Address 2,2. Adrese
Range,menzil
BUDGET,BÜTÇE
Depreciation Entry,Amortisman girişi
Price List Rate (Company Currency),Fiyat Listesi Ücreti (Şirket Para Birimi)
Not Paid and Not Delivered,Ödenmedi ve Teslim Edilmedi
Sales Invoice {0} created,Satış faturası {0} oluşturuldu
Objective,Amaç
Admission Scheduled,Giriş Tarifesi
To be delivered to customer,Müşteriye teslim olmak
On Duty,Görevde
Variable,Değişken
Row {0}: Depreciation Start Date is required,{0} Satırı: Amortisman Başlangıç Tarihi gerekli
Option,seçenek
Out Patient SMS Alerts,Dışarı Hasta SMS Uyarıları
Sales Account,Satış hesabı
Weather Parameter,Hava Parametresi
Allocate,ayırmak
Maintenance Schedule Detail,Bakım Programı Detayı
BOM Update Tool,BOM Güncelleme Aracı
Notice Period,İhbar süresi
Lead Owner Efficiency,Lider Mal Sahibi Verimliliği
Total Characters,Toplam karakter
Alcohol Past Use,Alkol Geçmiş Kullanımı
Divorced,Boşanmış
Allocate Advances Automatically (FIFO),Gelişmeleri Otomatik Olarak Tahsis Et (FIFO)
Is Compensatory,Telafi Edici mi
Employees working on a holiday,Bir tatile çalışan çalışanlar
Mobile,seyyar
"Timesheets help keep track of time, cost and billing for activites done by your team","Zaman çizelgeleri, ekibinizin yaptığı aktiviteler için zaman, maliyet ve fatura takibini sağlar"
Order Information,Sipariş Bilgisi
Subtotal,ara toplam
Invoice Discounting,Fatura İndirimi
Nos,nos
Freeze Stock Entries,Stok Girişlerini Dondur
Item {0} not found,{0} öğesi bulunamadı
You have entered duplicate items. Please rectify and try again.,Yinelenen öğeler girdiniz. Lütfen düzeltin ve tekrar deneyin.
Rate,oran
Saving {0},{0} kaydetme
Total Message(s),Toplam Mesaj (lar)
Group by Account,Hesaba Göre Grupla
In Words will be visible once you save the Quotation.,Teklifi kaydettiğinizde Kelimeler olarak görünecektir.
Quantity to Produce,Üretilecek Miktar
Row #{0}: Cannot set Rate if amount is greater than billed amount for Item {1}.,Satır # {0}: {1} Maddesi için tutar faturalandırılmış miktardan fazlaysa Oran ayarlanamaz.
Actual Start Time,Gerçek başlangıç zamanı
Laboratory User,Laboratuar Kullanıcısı
Online Auctions,Çevrimiçi Açık Artırmalar
Fee Creation Status,Ücret Yaratma Durumu
Softwares,Yazılımları
Sales Order to Payment,Ödeme için Satış Siparişi
This is based on transactions against this Healthcare Practitioner.,"Bu, bu Sağlık Uygulayıcısına karşı yapılan işlemlere dayanmaktadır."
Assigning Structures...,Yapılar Atama ...
Details of the operations carried out.,Gerçekleştirilen işlemlerin detayları.
Operation Time must be greater than 0 for Operation {0},"İşlem Süresi, İşlem {0} için 0&#39;dan büyük olmalıdır"
A qustion must have at least one correct options,Bir soru en az bir doğru seçeneğe sahip olmalıdır
Folio no.,Folyo numarası.
A Negative,Olumsuz
{0} is mandatory for Item {1},{0} Maddesi için {0} zorunludur
Production Analytics,Üretim Analitiği
Row #{0}: Set Supplier for item {1},Satır # {0}: Tedarikçi öğesini {1} öğesi için ayarla
Records,kayıtlar
Case No(s) already in use. Try from Case No {0},Vaka No (lar) zaten kullanılıyor. {0} numaralı davadan deneyin
Website URL,Web Sitesi URL&#39;si
Report Type is mandatory,Rapor Türü zorunludur
Policy No,Politika No
Replies,Cevaplar
Variable Name,Değişken ismi
Utilities,Araçlar
Total Completed Qty,Toplam Tamamlanan Miktar
No Items with Bill of Materials to Manufacture,Üretim Yapacak Malzeme Listesi Yok
Blanket Order Rate,Battaniye Sipariş Oranı
Track separate Income and Expense for product verticals or divisions.,Ürün dikeyleri veya bölümleri için ayrı Gelir ve Giderleri izleyin.
Warning: Invalid SSL certificate on attachment {0},Uyarı: {0} ekinde geçersiz SSL sertifikası
Opp Count,Opp Sayısı
As Examiner,Araştırmacı olarak
Default Expense Claim Payable Account,Varsayılan Gider Talebi Borç Hesabı
HR-ADS-.YY.-.MM.-,HR-ADS-.YY .-. MM.-
Docs Search,Dokümanlar Araması
End Date can not be less than Start Date,"Bitiş Tarihi, Başlangıç Tarihinden az olamaz"
No Items with Bill of Materials.,Malzeme Listesi ile Öğe Yok.
Single unit of an Item.,Bir Maddenin Tek Birimi.
Quotations,Alıntılar
Could not generate Secret,Sırrı oluşturulamadı
Valuation and Total,Değerleme ve Toplam
Member Activity,Üye Etkinliği
Import Attendance,Seyirci al
Account for Change Amount,Değişim Tutarı Hesabı
Item Price Stock,Ürün Fiyat Stok
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-
"Request for Quotation is disabled to access from portal, for more check portal settings.","Teklif talebi, daha fazla kontrol portalı ayarları için portaldan erişilemez."
Mapped Header,Eşlenmiş Başlık
"Item Code, warehouse, quantity are required on row","Ürün kodu, depo, miktar satırda gerekli"
