Pension Funds,Pensioenfonds
Mode of Transportation,Vervoermodus
Control Action,Beheer aksie
Total Exemption Amount,Totale Vrystelling Bedrag
Medical Code Standard,Mediese Kode Standaard
Row #{0}: Reqd by Date cannot be before Transaction Date,Ry # {0}: Reqd by Date kan nie voor transaksiedatum wees nie
Current Academic Term,Huidige Akademiese Termyn
Short biography for website and other publications.,Kort biografie vir webwerf en ander publikasies.
Received Qty,Aantal ontvangs
Rate (Company Currency),Tarief (Maatskappy Geld)
Request for,Versoek om
Installing presets,Installeer voorstellings
Please enter Repayment Periods,Voer asseblief terugbetalingsperiodes in
Advanced Settings,Gevorderde instellings
Paid Amount,Betaalde bedrag
Setup Progress Action,Setup Progress Action
Billing Interval Count,Rekeninginterval telling
Financial Statements,Finansiële state
Message will sent to users to get their status on the project,Boodskap sal aan gebruikers gestuur word om hul status op die projek te kry
Employee Tax Exemption Proof Submission Detail,Werknemersbelastingvrystelling Bewysinligtingsbesonderhede
Delivered,afgelewer
{0}% Delivered,{0}% afgelewer
Request for Information,Versoek vir inligting
End Year,Eindejaar
Diesel,diesel
Sanctioned Amount cannot be greater than Claim Amount in Row {0}.,Gewaarmerkte bedrag kan nie groter wees as eisbedrag in ry {0} nie.
From {0} | {1} {2},Van {0} | {1} {2}
Result already Submitted,Resultaat reeds ingedien
Rule Applied,Reël toegepas
Actual Qty is mandatory,Werklike hoeveelheid is verpligtend
Expected Delivery Date,Verwagte afleweringsdatum
Resolution Date,Resolusie Datum
Leave of type {0} cannot be longer than {1},Verlof van tipe {0} kan nie langer wees as {1}
Enable Shopping Cart,Aktiveer inkopiesentrum
Apply Rule On Other,Pas Rule On Other toe
Last Carbon Check,Laaste Carbon Check
Make,maak
Sales Invoice {0} created as paid,Verkoopsfaktuur {0} geskep as betaal
To create a Payment Request reference document is required,"Om &#39;n Betalingsversoek te maak, is verwysingsdokument nodig"
Income Tax,Inkomstebelasting
Computer,rekenaar
% Ordered,% Bestel
Following items {0} are not marked as {1} item. You can enable them as {1} item from its Item master,Die volgende items {0} word nie gemerk as {1} item nie. U kan hulle as {1} item in die Item-meester aktiveer
Passing Score,Slaag telling
Settings for website homepage,Instellings vir webwerf tuisblad
Qty To Manufacture,Hoeveelheid om te vervaardig
Non Profit (beta),Nie-winsgewend (beta)
Outstanding Amt,Uitstaande Amt
Pin Code,PIN-kode
Allow the following users to approve Leave Applications for block days.,Laat die volgende gebruikers toe om Laat aansoeke vir blokdae goed te keur.
Please select Maintenance Status as Completed or remove Completion Date,Kies asseblief Onderhoudstatus as Voltooi of verwyder Voltooiingsdatum
Get Items For Work Order,Kry items vir werkorder
Set Project and all Tasks to status {0}?,Stel projek en alle take op status {0}?
"Show ""In Stock"" or ""Not in Stock"" based on stock available in this warehouse.",Toon &quot;In voorraad&quot; of &quot;Nie in voorraad nie&quot; gebaseer op voorraad beskikbaar in hierdie pakhuis.
Delete permanently?,Vee permanent uit?
MFG-BLR-.YYYY.-,MFG-BLR-.YYYY.-
Is Leave Without Pay,Is Leave Without Pay
Row #{0}: Asset {1} must be submitted,Ry # {0}: Bate {1} moet ingedien word
Additional Discount Amount (Company Currency),Addisionele Kortingsbedrag (Maatskappy Geld)
Tobacco Past Use,Tabak verlede gebruik
Materials Required,Materiaal benodig
POS Profile,POS Profiel
Write Off Entry,Skryf Uit Inskrywing
You need to be a user other than Administrator with System Manager and Item Manager roles to register on Marketplace.,Jy moet &#39;n ander gebruiker as Administrateur wees met Stelselbestuurder en Itembestuurderrolle om op Marketplace te registreer.
Insured value,Versekerde waarde
Against Docname,Teen Docname
"As raw materials projected quantity is more than required quantity, there is no need to create material request.
			Still if you want to make material request, kindly enable <b>Ignore Existing Projected Quantity</b> checkbox","Aangesien grondstowwe geprojekteerde hoeveelheid meer as die vereiste hoeveelheid is, hoef jy nie materiaalversoek te skep nie. As jy egter &#39;n wesenlike versoek wil maak, maak asseblief die boks van die <b>huidige geprojekteerde hoeveelheid, ignoreer, bestaande</b> uit"
Prevdoc DocType,Prevdoc DocType
{0} payment entries can not be filtered by {1},{0} betalingsinskrywings kan nie gefiltreer word deur {1}
Variant Field,Variant Veld
Access token or Shopify URL missing,Toegang token of Shopify-URL ontbreek
Bank account cannot be named as {0},Bankrekening kan nie as {0} genoem word nie.
Terms and Conditions Help,Terme en voorwaardes Help
From and To dates required,Van en tot datums benodig
Product Bundle Item,Produk Bundel Item
Group Based On,Groep gebaseer op
Guardian2 Mobile No,Guardian2 Mobile No
Allow Multiple Material Consumption,Laat veelvuldige materiaalverbruik toe
Acceptance Criteria,Aanvaarding kriteria
Shipping rule only applicable for Selling,Versending reël is slegs van toepassing op Verkoop
Selling Rate,Verkoopprys
Asset,bate
{0} does not have a Healthcare Practitioner Schedule. Add it in Healthcare Practitioner master,{0} het nie &#39;n gesondheidsorgpraktisynskedule nie. Voeg dit by in die Gesondheidsorgpraktisynmeester
Chassis No,Chassisnr
Company Abbreviation,Maatskappy Afkorting
Tree of Bill of Materials,Boom van die materiaal
LMS User,LMS gebruiker
Allow Alternative Item,Laat alternatiewe item toe
Activity Cost per Employee,Aktiwiteitskoste per werknemer
Open Quotations,Oop Kwotasies
Section Footer,Afdeling voetstuk
Next Contact By,Volgende kontak deur
Pending Quantity,Hangende hoeveelheid
SAL-QTN-.YYYY.-,SAL-QTN-.YYYY.-
Select to add Serial Number.,Kies om serienummer te voeg.
modified,verander
Qty,Aantal
Net ITC Available(A) - (B),Net ITC Beskikbaar (A) - (B)
Material Requests for which Supplier Quotations are not created,Materiële Versoeke waarvoor Verskaffer Kwotasies nie geskep word nie
GST Account,GST rekening
For Price List,Vir Pryslys
GoCardless Mandate,GoCardless Mandaat
Skip Material Transfer to WIP Warehouse,Slaan Materiaal Oordrag na WIP Warehouse
Primary Settings,Primêre instellings
Customer Type,Kliëntipe
PU-SSP-.YYYY.-,PU-SSP-.YYYY.-
Use POS in Offline Mode,Gebruik POS in Offline modus
Parent Territory,Ouergebied
Odometer Reading,Odometer Reading
Salary Slip,Salaris strokie
Payroll Frequency,Payroll Frequency
"Start and end dates not in a valid Payroll Period, cannot calculate {0}","Begin en einddatum nie in &#39;n geldige betaalstaat nie, kan nie {0} bereken nie"
Home Page is Products,Tuisblad is Produkte
Calls,oproepe
Reference #{0} dated {1},Verwysing # {0} gedateer {1}
Guardian Interest,Voogbelang
PO already created for all sales order items,Pos reeds geskep vir alle verkope bestelling items
Subscription,inskrywing
Stock Entry Detail,Voorraad Invoer Detail
Sales Orders to Bill,Verkoopsbestellings na rekening
For reference only.,Slegs ter referentie.
GL Entry,GL Inskrywing
Employee Tax Exemption Category,Werknemersbelastingvrystellingskategorie
Row {0}: asset is required for item {1},Ry {0}: bate word benodig vir item {1}
Sanctioned Amount,Sanctioned Amount
Taxable Salary Slab,Belasbare Salarisplak
Grant Application,Grant Aansoek
Unable to find score starting at {0}. You need to have standing scores covering 0 to 100,Kan telling nie vanaf {0} vind nie. U moet standpunte van 0 tot 100 hê
EDU-FST-.YYYY.-,EDU-FST-.YYYY.-
Parent Sales Person,Ouer Verkoopspersoon
Get Courses,Kry kursusse
"Row #{0}: Qty must be 1, as item is a fixed asset. Please use separate row for multiple qty.","Ry # {0}: Hoeveelheid moet 1 wees, aangesien item &#39;n vaste bate is. Gebruik asseblief aparte ry vir veelvuldige aantal."
Only leaf nodes are allowed in transaction,Slegs blaar nodusse word in transaksie toegelaat
Organization,organisasie
Fee Category,Fee Kategorie
Batch ID,Lot ID
Cannot be a fixed asset item as Stock Ledger is created.,"Kan nie &#39;n vaste bateitem wees nie, aangesien Voorraadgrootboek geskep is."
This Month's Summary,Hierdie maand se opsomming
Row {0}: {1} {2} does not match with {3},Ry {0}: {1} {2} stem nie ooreen met {3}
Go to Suppliers,Gaan na verskaffers
PMO-,PMO-
Please update your status for this training event,Dateer asseblief u status op vir hierdie opleidingsgebeurtenis
Morning,oggend
Please setup Instructor Naming System in Education &gt; Education Settings,Installeer asseblief die Instrukteur Naming Stelsel in Onderwys&gt; Onderwys instellings
Quotation Item,Kwotasie Item
Credit Card Entry,Kredietkaartinskrywing
"Time slot skiped, the slot {0} to {1} overlap exisiting slot {2} to {3}","Tydsleuf oorgedra, die gleuf {0} tot {1} oorvleuel wat slot {2} tot {3}"
If Income or Expense,As Inkomste of Uitgawe
Work Order Operation,Werk Bestelling Operasie
Address used to determine Tax Category in transactions.,Adres wat gebruik word om belastingkategorie in transaksies te bepaal.
Go to Customers,Gaan na kliënte
Set 0 for no limit,Stel 0 vir geen limiet
{0} {1}: Account {2} is inactive,{0} {1}: Rekening {2} is onaktief
Payment Date,Betaaldatum
Assign To Name,Toewys aan naam
Warning: Material Requested Qty is less than Minimum Order Qty,Waarskuwing: Materiaal Gevraagde hoeveelheid is minder as minimum bestelhoeveelheid
Current BOM and New BOM can not be same,Huidige BOM en Nuwe BOM kan nie dieselfde wees nie
Crops & Lands,Gewasse en lande
Abbr can not be blank or space,Abbr kan nie leeg of spasie wees nie
MAT-MR-.YYYY.-,MAT-MR-.YYYY.-
Fetching records......,Rekeninge haal ......
Contact Information,Kontak inligting
For Production,Vir Produksie
Asset Details,Bate Besonderhede
Reservation Time,Besprekingstyd
Default Territory,Standaard Territorium
Dispensed Amount (Pro-rated),Uitgestelde bedrag (Pro-gegradeerde)
Max discount allowed for item: {0} is {1}%,Maksimum afslag wat toegelaat word vir item: {0} is {1}%
List items that form the package.,Lys items wat die pakket vorm.
Amount in customer's currency,Bedrag in kliënt se geldeenheid
Get Items From Purchase Receipts,Kry Items Van Aankoop Ontvangste
Row #{0} (Payment Table): Amount must be positive,Ry # {0} (Betaal Tabel): Bedrag moet positief wees
Employee Tax Exemption Declaration,Werknemersbelastingvrystelling Verklaring
Expected End Date,Verwagte einddatum
Conversion rate cannot be 0 or 1,Omskakelkoers kan nie 0 of 1 wees nie
CRM-OPP-.YYYY.-,CRM-OPP-.YYYY.-
Institute Name,Instituut Naam
Asset Status,Bate Status
Earnings,verdienste
Total Paid Amount,Totale betaalde bedrag
To Warehouse,Na pakhuis
Total Score (Out of 5),Totale telling (uit 5)
Accounts Receivable,Rekeninge ontvangbaar
Setting defaults,Stel verstek
"Cannot ensure delivery by Serial No as \
					Item {0} is added with and without Ensure Delivery by \
					Serial No.",Kan nie lewering volgens Serial No verseker nie as \ Item {0} is bygevoeg met en sonder Verseker lewering deur \ Serial No.
Invoiced Amount (Exclusive Tax),Faktuurbedrag (Exclusive Tax)
Cannot change status as student {0} is linked with student application {1},Kan nie status verander as student {0} is gekoppel aan studenteprogram nie {1}
Total leaves allocated is mandatory for Leave Type {0},"Totale blare wat toegeken is, is verpligtend vir Verlof Tipe {0}"
Data Import and Settings,Data invoer en instellings
"If Auto Opt In is checked, then the customers will be automatically linked with the concerned Loyalty Program (on save)","As Auto Opt In is nagegaan, word die kliënte outomaties gekoppel aan die betrokke Loyaliteitsprogram (op spaar)"
Expense Account,Uitgawe rekening
Relation with Guardian1,Verhouding met Guardian1
Create Invoice,Skep faktuur
Payment Request already exists {0},Betaling Versoek bestaan reeds {0}
Employee relieved on {0} must be set as 'Left',Werknemer verlig op {0} moet gestel word as &#39;Links&#39;
Pay {0} {1},Betaal {0} {1}
Produced Quantity,Geproduceerde Hoeveelheid
The request for quotation can be accessed by clicking on the following link,Die aanvraag vir kwotasie kan verkry word deur op die volgende skakel te kliek
Name of the Monthly Distribution,Naam van die Maandelikse Verspreiding
Get Raw Materials For Production,Kry grondstowwe vir produksie
New Workplace,Nuwe werkplek
API,API
"Missing value for Password, API Key or Shopify URL","Ontbrekende waarde vir Wagwoord-, API-sleutel- of Shopify-URL"
Parameter Name,Parameter Naam
PUR-RFQ-.YYYY.-,PUR-VOK-.YYYY.-
Please setup Employee Naming System in Human Resource &gt; HR Settings,Installeer asseblief die werknemersnaamstelsel in menslike hulpbronne&gt; HR-instellings
Account {0} does not match with Company {1},Rekening {0} stem nie ooreen met Maatskappy {1}
Please select an item in the cart,Kies asseblief &#39;n item in die kar
Create Payment Entries,Skep betalinginskrywings
Select Company,Kies Maatskappy
Material Request Type,Materiaal Versoek Tipe
Member ID,lidmaatskapnommer
Raised By (Email),Verhoog deur (e-pos)
Employee Health Insurance,Werknemers Gesondheidsversekering
Application period cannot be outside leave allocation period,Aansoek tydperk kan nie buite verlof toekenning tydperk
"If unchecked, the item wont be appear in Sales Invoice, but can be used in group test creation. ","As dit nie gemerk is nie, sal die item nie in Verkoopsfaktuur verskyn nie, maar kan dit gebruik word in die skep van groepsetoetse."
Registration Fee,Registrasiefooi
Produced,geproduseer
White,wit
Procedure Template,Prosedure Sjabloon
Frozen,bevrore
Price not found for item {0} in price list {1},Prys nie gevind vir item {0} in pryslys {1}
Publish on website,Publiseer op die webwerf
This is an example website auto-generated from ERPNext,Dit is &#39;n voorbeeld webwerf wat outomaties deur ERPNext gegenereer word
Unlink Payment on Cancellation of Invoice,Ontkoppel betaling met kansellasie van faktuur
No tasks,Geen take nie
Print Without Amount,Druk Sonder Bedrag
Purchase Orders given to Suppliers.,Aankooporders aan verskaffers gegee.
Reserved,voorbehou
Notice (days),Kennisgewing (dae)
Setting up Email Account,Opstel van e-pos rekening
EDU-CSH-.YYYY.-,EDU-CSH-.YYYY.-
Unsigned,Unsigned
The day(s) on which you are applying for leave are holidays. You need not apply for leave.,"Die dag (en) waarop u aansoek doen om verlof, is vakansiedae. Jy hoef nie aansoek te doen vir verlof nie."
Could not submit some Salary Slips,Kon nie &#39;n paar Salarisstrokies indien nie
Warehouse {0} can not be deleted as quantity exists for Item {1},Pakhuis {0} kan nie uitgevee word nie aangesien die hoeveelheid vir item {1} bestaan
Landed Cost Purchase Receipt,Landed Cost Purchase Receipt
Approve,goed te keur
No more updates,Geen verdere opdaterings nie
Leaves Allocated Successfully for {0},Blare suksesvol toegeken vir {0}
Assessment Report,Assesseringsverslag
"To not apply Pricing Rule in a particular transaction, all applicable Pricing Rules should be disabled.","Om nie die prysreël in &#39;n bepaalde transaksie te gebruik nie, moet alle toepaslike prysreëls gedeaktiveer word."
Default Deferred Revenue Account,Verstek Uitgestelde Inkomsterekening
