DocType: Accounting Period,Period Name,دورانیہ کا نام
DocType: Selling Settings,Hide Customer's Tax Id from Sales Transactions,سیلز معاملات سے گاہک کی ٹیکس ID چھپائیں
DocType: Upload Attendance,Upload HTML,اپ لوڈ کریں ایچ ٹی ایم ایل
DocType: Employee,Relieving Date,حاجت تاریخ
DocType: Purchase Invoice,Total Quantity,کل مقدار
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"Pricing Rule is made to overwrite Price List / define discount percentage, based on some criteria.",قیمتوں کا تعین اصول کچھ معیار کی بنیاد پر، / قیمت کی فہرست ادلیکھت ڈسکاؤنٹ فی صد کی وضاحت کرنے کے لئے بنایا ہے.
DocType: Serial No,Warehouse can only be changed via Stock Entry / Delivery Note / Purchase Receipt,گودام صرف اسٹاک انٹری کے ذریعے تبدیل کیا جا سکتا / ڈلیوری نوٹ / خریداری کی رسید
DocType: Employee Education,Class / Percentage,کلاس / فیصد
DocType: Shopify Settings,Shopify Settings,Shopify کی ترتیبات
DocType: Amazon MWS Settings,Market Place ID,مارکیٹ جگہ کی شناخت
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Head of Marketing and Sales,مارکیٹنگ اور سیلز کے سربراہ
DocType: Video,Vimeo,Vimeo
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Income Tax,انکم ٹیکس
DocType: HR Settings,Check Vacancies On Job Offer Creation,ملازمت کی پیش کش پر خالی آسامیوں کو چیک کریں۔
apps/erpnext/erpnext/utilities/user_progress.py,Go to Letterheads,لیٹر ہیڈز پر جائیں
DocType: Subscription,Cancel At End Of Period,مدت کے آخر میں منسوخ کریں
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.js,Property already added,پراپرٹی پہلے سے شامل ہے
DocType: Item Supplier,Item Supplier,آئٹم پردایک
apps/erpnext/erpnext/public/js/controllers/transaction.js,Please enter Item Code to get batch no,بیچ کوئی حاصل کرنے کے لئے آئٹم کوڈ درج کریں
apps/erpnext/erpnext/selling/doctype/quotation/quotation.js,Please select a value for {0} quotation_to {1},{0} quotation_to کے لئے ایک قیمت منتخب کریں {1}
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,No Items selected for transfer,منتقلی کے لئے منتخب کردہ کوئی آئٹم نہیں
apps/erpnext/erpnext/config/buying.py,All Addresses.,تمام پتے.
DocType: Company,Stock Settings,اسٹاک ترتیبات
apps/erpnext/erpnext/accounts/doctype/account/account.py,"Merging is only possible if following properties are same in both records. Is Group, Root Type, Company",مندرجہ ذیل خصوصیات دونوں کے ریکارڈ میں ایک ہی ہیں تو ولی ہی ممکن ہے. گروپ، جڑ کی قسم، کمپنی ہے
DocType: Vehicle,Electric,بجلی
DocType: Task,% Progress,٪ پروگریس
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Gain/Loss on Asset Disposal,حاصل / ایسیٹ تلفی پر نقصان
apps/erpnext/erpnext/education/doctype/program_enrollment_tool/program_enrollment_tool.js,"Only the Student Applicant with the status ""Approved"" will be selected in the table below.",حیثیت &quot;منظور شدہ&quot; کے ساتھ صرف طالب علم درخواست دہندگان کو مندرجہ ذیل میز میں منتخب کیا جائے گا.
DocType: Tax Withholding Category,Rates,قیمتیں
apps/erpnext/erpnext/regional/report/fichier_des_ecritures_comptables_[fec]/fichier_des_ecritures_comptables_[fec].py,Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,اکاؤنٹ {0} کے لئے اکاؤنٹ نمبر دستیاب نہیں ہے. <br> برائے مہربانی اپنے اکاؤنٹس کے چارٹ درست طریقے سے ترتیب دیں.
DocType: Task,Depends on Tasks,ٹاسکس پر انحصار کرتا ہے
apps/erpnext/erpnext/config/crm.py,Manage Customer Group Tree.,گاہک گروپ درخت کا انتظام کریں.
DocType: Normal Test Items,Result Value,نتیجہ قیمت
DocType: Hotel Room,Hotels,ہوٹل
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center_tree.js,New Cost Center Name,نیا لاگت مرکز نام
DocType: Leave Control Panel,Leave Control Panel,کنٹرول پینل چھوڑنا
DocType: Project,Task Completion,ٹاسک کی تکمیل
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,Not in Stock,نہیں اسٹاک میں
DocType: Volunteer,Volunteer Skills,رضاکارانہ مہارتیں
DocType: Additional Salary,HR User,HR صارف
DocType: Bank Guarantee,Reference Document Name,حوالہ دستاویز کا نام
DocType: Purchase Invoice,Taxes and Charges Deducted,ٹیکسز اور الزامات کٹوتی
DocType: Support Settings,Issues,مسائل
DocType: Loyalty Program,Loyalty Program Name,وفادار پروگرام کا نام
apps/erpnext/erpnext/controllers/status_updater.py,Status must be one of {0},سٹیٹس سے ایک ہونا ضروری {0}
apps/erpnext/erpnext/regional/doctype/gst_settings/gst_settings.py,Reminder to update GSTIN Sent,GSTIN بھیجا اپ ڈیٹ کرنے کیلئے یاد دہانی
DocType: Discounted Invoice,Debit To,ڈیبٹ
DocType: Restaurant Menu Item,Restaurant Menu Item,ریسٹورانٹ مینو آئٹم
DocType: Delivery Note,Required only for sample item.,صرف نمونے شے کے لئے کی ضرورت ہے.
DocType: Stock Ledger Entry,Actual Qty After Transaction,ٹرانزیکشن کے بعد اصل مقدار
,Pending SO Items For Purchase Request,خریداری کی درخواست کے لئے بہت اشیا زیر التواء
apps/erpnext/erpnext/education/doctype/student_admission/student_admission.py,Student Admissions,طالب علم داخلہ
DocType: Supplier,Billing Currency,بلنگ کی کرنسی
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Extra Large,اضافی بڑا
DocType: Loan,Loan Application,قرض کی درخواست
DocType: Crop,Scientific Name,سائنسی نام
DocType: Healthcare Service Unit,Service Unit Type,سروس یونٹ کی قسم
DocType: Bank Account,Branch Code,برانچ کوڈ
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Leaves,کل پتے
DocType: Customer,"Reselect, if the chosen contact is edited after save",منتخب کریں، اگر بچانے کے بعد منتخب کردہ رابطہ میں ترمیم کیا جاتا ہے
DocType: Quality Procedure,Parent Procedure,والدین کا طریقہ کار
DocType: Patient Encounter,In print,پرنٹ میں
DocType: Accounting Dimension,Accounting Dimension,اکاؤنٹنگ طول و عرض۔
,Profit and Loss Statement,فائدہ اور نقصان بیان
DocType: Bank Reconciliation Detail,Cheque Number,چیک نمبر
apps/erpnext/erpnext/healthcare/utils.py,The item referenced by {0} - {1} is already invoiced,{0} - {1} کی طرف اشارہ کردہ شے پہلے سے ہی انوائس ہے
,Sales Browser,سیلز براؤزر
DocType: Journal Entry,Total Credit,کل کریڈٹ
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Warning: Another {0} # {1} exists against stock entry {2},انتباہ: ایک {0} # {1} اسٹاک داخلے کے خلاف موجود {2}
apps/erpnext/erpnext/utilities/user_progress_utils.py,Local,مقامی
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans and Advances (Assets),قرضوں اور ایڈوانسز (اثاثے)
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Debtors,دیندار
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Large,بڑے
DocType: Bank Statement Settings,Bank Statement Settings,بینک بیان کی ترتیبات
DocType: Shopify Settings,Customer Settings,کسٹمر کی ترتیبات
DocType: Homepage Featured Product,Homepage Featured Product,مرکزی صفحہ نمایاں مصنوعات کی
apps/erpnext/erpnext/manufacturing/doctype/blanket_order/blanket_order.js,View Orders,احکام دیکھیں
DocType: Marketplace Settings,Marketplace URL (to hide and update label),مارکیٹ پلیٹ فارم (لیبل چھپانے اور اپ ڈیٹ کرنے کے لئے)
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,All Assessment Groups,تمام تعین گروپ
apps/erpnext/erpnext/regional/india/utils.py,{} is required to generate e-Way Bill JSON,-e کو ای وے بل JSON تیار کرنے کی ضرورت ہے۔
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse_tree.js,New Warehouse Name,نیا گودام نام
DocType: Shopify Settings,App Type,ایپ کی قسم
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,Total {0} ({1}),کل {0} ({1})
DocType: C-Form Invoice Detail,Territory,علاقہ
DocType: Pricing Rule,Apply Rule On Item Code,آئٹم کوڈ پر قاعدہ کا اطلاق کریں۔
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please mention no of visits required,ضرورت دوروں کا کوئی ذکر کریں
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Stock Balance Report,اسٹاک بیلنس رپورٹ
DocType: Stock Settings,Default Valuation Method,پہلے سے طے شدہ تشخیص کا طریقہ
apps/erpnext/erpnext/education/doctype/program/program_dashboard.py,Fee,فیس
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.js,Show Cumulative Amount,مجموعی رقم دکھائیں
apps/erpnext/erpnext/setup/doctype/company/company.js,Update in progress. It might take a while.,اپ ڈیٹ جاری ہے. یہ تھوڑی دیر لگتی ہے.
DocType: Production Plan Item,Produced Qty,تیار مقدار
DocType: Vehicle Log,Fuel Qty,ایندھن کی مقدار
DocType: Work Order Operation,Planned Start Time,منصوبہ بندی کے آغاز کا وقت
DocType: Course,Assessment,اسسمنٹ
DocType: Payment Entry Reference,Allocated,مختص
apps/erpnext/erpnext/config/accounting.py,Close Balance Sheet and book Profit or Loss.,بند بیلنس شیٹ اور کتاب نفع یا نقصان.
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,ERPNext could not find any matching payment entry,ERPNext کوئی مماثل ادائیگی اندراج نہیں پایا۔
DocType: Student Applicant,Application Status,ایپلیکیشن اسٹیٹس
DocType: Additional Salary,Salary Component Type,تنخواہ کے اجزاء کی قسم
DocType: Sensitivity Test Items,Sensitivity Test Items,حساسیت ٹیسٹ اشیا
DocType: Website Attribute,Website Attribute,ویب سائٹ کا انتساب۔
DocType: Project Update,Project Update,پراجیکٹ اپ ڈیٹ
DocType: Fees,Fees,فیس
DocType: Currency Exchange,Specify Exchange Rate to convert one currency into another,زر مبادلہ کی شرح دوسرے میں ایک کرنسی میں تبدیل کرنے کی وضاحت کریں
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Quotation {0} is cancelled,کوٹیشن {0} منسوخ کر دیا ہے
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html,Total Outstanding Amount,کل بقایا رقم
DocType: Sales Partner,Targets,اہداف
apps/erpnext/erpnext/regional/report/fichier_des_ecritures_comptables_[fec]/fichier_des_ecritures_comptables_[fec].js,Please register the SIREN number in the company information file,براہ مہربانی کمپنی کی معلومات کی فائل میں سیر نمبر درج کریں
DocType: Quality Action Table,Responsible,ذمہ دار۔
DocType: Email Digest,Sales Orders to Bill,سیلز کی فروخت بل پر ہے
DocType: Price List,Price List Master,قیمت کی فہرست ماسٹر
DocType: GST Account,CESS Account,CESS اکاؤنٹ
DocType: Sales Person,All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,آپ کی مقرر کردہ اور اہداف کی نگرانی کر سکتے ہیں تاکہ تمام سیلز معاملات سے زیادہ ** سیلز افراد ** خلاف ٹیگ کیا جا سکتا.
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Link to Material Request,مواد کی درخواست سے رابطہ کریں
DocType: Quiz,Score out of 100,100 میں سے اسکور۔
apps/erpnext/erpnext/templates/pages/help.html,Forum Activity,فورم سرگرمی
DocType: Quiz,Grading Basis,گریڈنگ بیس
apps/erpnext/erpnext/selling/report/pending_so_items_for_purchase_request/pending_so_items_for_purchase_request.py,S.O. No.,تو نمبر
DocType: Bank Statement Transaction Settings Item,Bank Statement Transaction Settings Item,بینک بیان ٹرانزیکشن کی ترتیبات آئٹم
apps/erpnext/erpnext/hr/utils.py,To date can not greater than employee's relieving date,تاریخ تک ملازم کی رعایت کی تاریخ سے زیادہ نہیں ہوسکتی ہے
apps/erpnext/erpnext/selling/doctype/quotation/quotation.py,Please create Customer from Lead {0},لیڈ سے گاہک بنانے کے براہ مہربانی {0}
apps/erpnext/erpnext/healthcare/page/patient_history/patient_history.html,Select Patient,مریض کو منتخب کریں
DocType: Price List,Applicable for Countries,ممالک کے لئے قابل اطلاق
DocType: Supplier Scorecard Scoring Variable,Parameter Name,پیرامیٹر کا نام
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Only Leave Applications with status 'Approved' and 'Rejected' can be submitted,صرف حیثیت کے ساتھ درخواستیں چھوڑ دو &#39;منظور&#39; اور &#39;مسترد&#39; جمع کی جا سکتی
apps/erpnext/erpnext/accounts/doctype/accounting_dimension/accounting_dimension.py,Creating Dimensions...,طول و عرض کی تشکیل…
