DocType: Accounting Period,Period Name,Názov obdobia
apps/erpnext/erpnext/regional/italy/setup.py,Set this if the customer is a Public Administration company.,"Nastavte, ak je zákazníkom spoločnosť verejnej správy."
apps/erpnext/erpnext/utilities/activation.py,"Leads help you get business, add all your contacts and more as your leads","Obchodné iniciatívy vám pomôžu získať zákazku, zaevidovať všetky vaše kontakty"
DocType: Work Order Operation,Actual Operation Time,Aktuální Provozní doba
DocType: Authorization Rule,Applicable To (User),Vztahující se na (Uživatel)
DocType: Purchase Taxes and Charges,Deduct,Odpočítať
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Job Description,Popis Práca
DocType: Student Applicant,Applied,aplikovaný
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Details of Outward Supplies and inward supplies liable to reverse charge,Podrobnosti o vonkajších dodávkach a vnútorných dodávkach podliehajúcich preneseniu daňovej povinnosti
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Re-open,Znovu otvoriť
DocType: Sales Invoice Item,Qty as per Stock UOM,Množstvo podľa skladovej MJ
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Guardian2 Name,Meno Guardian2
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,Root Company,Root Company
DocType: Attendance,Attendance Request,Žiadosť o účasť
DocType: Purchase Invoice,02-Post Sale Discount,02 - Zľava po predaji
DocType: Campaign,"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment.","Majte prehľad o predajných kampaniach. Majte prehľad o Iniciatívach, ponukách, objednávkach z kampane, aby ste zistili, návratnosť investície."
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.py,You can't redeem Loyalty Points having more value than the Grand Total.,"Nemôžete uplatniť vernostné body, ktoré majú väčšiu hodnotu ako celkové množstvo."
DocType: Department Approver,Approver,Schvalovatel
apps/erpnext/erpnext/selling/report/pending_so_items_for_purchase_request/pending_so_items_for_purchase_request.py,SO Qty,Množstvo na PO
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The field To Shareholder cannot be blank,Pole Akcionár nesmie byť prázdne
DocType: Guardian,Work Address,pracovná adresa
DocType: Appraisal,Calculate Total Score,Vypočítať celkové skóre
DocType: Employee,Health Insurance,Zdravotné poistenie
DocType: Asset Repair,Manufacturing Manager,Výrobný riaditeľ
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Serial No {0} is under warranty upto {1},Pořadové číslo {0} je v záruce aľ {1}
DocType: Plant Analysis Criteria,Minimum Permissible Value,Minimálna prípustná hodnota
apps/erpnext/erpnext/education/doctype/guardian/guardian.py,User {0} already exists,Používateľ {0} už existuje
apps/erpnext/erpnext/hooks.py,Shipments,Zásielky
DocType: Payment Entry,Total Allocated Amount (Company Currency),Celková alokovaná suma (Company mena)
DocType: Purchase Order Item,To be delivered to customer,Ak chcete byť doručený zákazníkovi
DocType: BOM,Scrap Material Cost,Šrot Material Cost
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Serial No {0} does not belong to any Warehouse,"Poradové číslo {0} nepatrí do skladu,"
DocType: Grant Application,Email Notification Sent,E-mailové upozornenie bolo odoslané
DocType: Purchase Invoice,In Words (Company Currency),Slovy (měna společnosti)
apps/erpnext/erpnext/accounts/doctype/bank_account/bank_account.py,Company is manadatory for company account,Spoločnosť je vedúca pre firemný účet
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,"Item Code, warehouse, quantity are required on row","Kód položky, sklad, množstvo sa vyžaduje v riadku"
DocType: Bank Guarantee,Supplier,Dodávateľ
apps/erpnext/erpnext/accounts/doctype/payment_order/payment_order.js,Get From,Získat Z
apps/erpnext/erpnext/hr/doctype/department/department.js,This is a root department and cannot be edited.,Toto je koreňové oddelenie a nemôže byť upravené.
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.js,Show Payment Details,Zobraziť podrobnosti platby
apps/erpnext/erpnext/crm/report/lead_conversion_time/lead_conversion_time.py,Duration in Days,Trvanie v dňoch
DocType: C-Form,Quarter,Čtvrtletí
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Miscellaneous Expenses,Různé výdaje
DocType: Global Defaults,Default Company,Predvolená spoločnosť
DocType: Company,Transactions Annual History,Výročná história transakcií
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Bank account '{0}' has been synchronized,Bankový účet &#39;{0}&#39; bol synchronizovaný
apps/erpnext/erpnext/controllers/stock_controller.py,Expense or Difference account is mandatory for Item {0} as it impacts overall stock value,Náklady nebo Rozdíl účet je povinné k bodu {0} jako budou mít dopad na celkovou hodnotu zásob
DocType: Bank,Bank Name,Názov banky
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Leave the field empty to make purchase orders for all suppliers,"Ponechajte pole prázdne, aby ste objednávali objednávky pre všetkých dodávateľov"
DocType: Healthcare Practitioner,Inpatient Visit Charge Item,Položka poplatku za hospitalizáciu
DocType: Vital Signs,Fluid,tekutina
DocType: Leave Application,Total Leave Days,Celkový počet dnů dovolené
DocType: Email Digest,Note: Email will not be sent to disabled users,Poznámka: E-mail nebude odoslaný neaktívnym používateľom
apps/erpnext/erpnext/crm/report/prospects_engaged_but_not_converted/prospects_engaged_but_not_converted.js,Number of Interaction,Počet interakcií
apps/erpnext/erpnext/crm/report/prospects_engaged_but_not_converted/prospects_engaged_but_not_converted.js,Number of Interaction,Počet interakcií
DocType: GSTR 3B Report,February,február
apps/erpnext/erpnext/stock/doctype/item/item.js,Item Variant Settings,Nastavenia Variantu položky
apps/erpnext/erpnext/public/js/account_tree_grid.js,Select Company...,Vyberte spoločnost ...
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,{0} is mandatory for Item {1},{0} je povinná k položke {1}
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,"Item {0}: {1} qty produced, ","Položka {0}: {1} množstvo vyrobené,"
DocType: Payroll Entry,Fortnightly,dvojtýždňové
DocType: Currency Exchange,From Currency,Od Měny
DocType: Vital Signs,Weight (In Kilogram),Hmotnosť (v kilogramoch)
DocType: Chapter,"chapters/chapter_name
leave blank automatically set after saving chapter.",kapitoly / názov_kategórie nechajte prázdne automaticky nastavené po uložení kapitoly.
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Please set GST Accounts in GST Settings,Nastavte si účty GST v nastaveniach služby GST
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.js,Type of Business,Typ podnikania
DocType: Sales Invoice,Consumer,Spotrebiteľ
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,"Please select Allocated Amount, Invoice Type and Invoice Number in atleast one row","Prosím, vyberte alokovaná částka, typ faktury a číslo faktury v aspoň jedné řadě"
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Cost of New Purchase,Náklady na nový nákup
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,Sales Order required for Item {0},Prodejní objednávky potřebný k bodu {0}
DocType: Grant Application,Grant Description,Názov grantu
DocType: Purchase Invoice Item,Rate (Company Currency),Sadzba (V mene spoločnosti)
DocType: Student Guardian,Others,Ostatní
DocType: Subscription,Discounts,Zľavy
DocType: Bank Transaction,Unallocated Amount,nepridelené Suma
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,Please enable Applicable on Purchase Order and Applicable on Booking Actual Expenses,"Ak chcete použiť skutočné výdavky na rezerváciu, povoľte platnú objednávku a platné rezervácie"
apps/erpnext/erpnext/templates/includes/product_page.js,Cannot find a matching Item. Please select some other value for {0}.,Nemožno nájsť zodpovedajúce položku. Vyberte nejakú inú hodnotu pre {0}.
DocType: POS Profile,Taxes and Charges,Daně a poplatky
DocType: Item,"A Product or a Service that is bought, sold or kept in stock.","Produkt nebo služba, která se Nakupuje, Prodává nebo Skladuje."
apps/erpnext/erpnext/hr/page/team_updates/team_updates.js,No more updates,Žiadne ďalšie aktualizácie
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,"Nelze vybrat druh náboje jako ""On předchozí řady Částka"" nebo ""On předchozí řady Celkem"" pro první řadu"
DocType: Purchase Order,PUR-ORD-.YYYY.-,PUR-ORD-.YYYY.-
apps/erpnext/erpnext/buying/doctype/supplier_scorecard/supplier_scorecard_dashboard.py,This covers all scorecards tied to this Setup,Toto pokrýva všetky výsledkové karty viazané na toto nastavenie
apps/erpnext/erpnext/selling/doctype/product_bundle/product_bundle.py,Child Item should not be a Product Bundle. Please remove item `{0}` and save,Dieťa Položka by nemala byť produkt Bundle. Odstráňte položku `{0}` a uložiť
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Banking,Bankovníctvo
apps/erpnext/erpnext/utilities/activation.py,Add Timesheets,Pridať pracovné výkazy
DocType: Vehicle Service,Service Item,servis Položka
DocType: Bank Guarantee,Bank Guarantee,Banková záruka
DocType: Bank Guarantee,Bank Guarantee,Banková záruka
DocType: Payment Request,Transaction Details,detaily transakcie
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please click on 'Generate Schedule' to get schedule,"Prosím, klikněte na ""Generovat Schedule"", aby se plán"
DocType: Item,"Purchase, Replenishment Details","Podrobnosti o nákupe, doplnení"
DocType: Products Settings,Enable Field Filters,Povoliť filtre polí
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Customer Provided Item"" cannot be Purchase Item also",„Položka poskytovaná zákazníkom“ nemôže byť tiež nákupnou položkou
DocType: Blanket Order Item,Ordered Quantity,Objednané množstvo
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Build tools for builders""","napríklad ""Nástroje pre stavbárov """
DocType: Grading Scale,Grading Scale Intervals,Triedenie dielikov
apps/erpnext/erpnext/regional/india/utils.py,Invalid {0}! The check digit validation has failed. ,Neplatné {0}! Overenie kontrolnej číslice zlyhalo.
DocType: Item Default,Purchase Defaults,Predvolené nákupy
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,"Could not create Credit Note automatically, please uncheck 'Issue Credit Note' and submit again",Automaticky sa nepodarilo vytvoriť kreditnú poznámku. Zrušte začiarknutie možnosti &quot;Zmeniť kreditnú poznámku&quot; a znova ju odošlite
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Added to Featured Items,Pridané do odporúčaných položiek
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Profit for the year,Zisk za rok
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1}: Účtovné Vstup pre {2} môžu vykonávať len v mene: {3}
DocType: Fee Schedule,In Process,V procesu
DocType: Authorization Rule,Itemwise Discount,Itemwise Sleva
apps/erpnext/erpnext/config/accounting.py,Tree of financial accounts.,Strom finančných účtov.
DocType: Cash Flow Mapping,Cash Flow Mapping,Mapovanie peňažných tokov
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} against Sales Order {1},{0} proti Predajnej Objednávke {1}
DocType: Account,Fixed Asset,Základní Jmění
DocType: Amazon MWS Settings,After Date,Po dátume
apps/erpnext/erpnext/config/help.py,Serialized Inventory,Serialized Zásoby
,Department Analytics,Analýza oddelenia
apps/erpnext/erpnext/regional/doctype/gst_settings/gst_settings.py,Email not found in default contact,E-mail sa v predvolenom kontakte nenachádza
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.js,Generate Secret,Generovať tajomstvo
DocType: Question,Question,otázka
DocType: Loan,Account Info,Informácie o účte
DocType: Activity Type,Default Billing Rate,Predvolené fakturácia Rate
DocType: Fees,Include Payment,Zahrňte platbu
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,{0} Student Groups created.,{0} Vytvorené študentské skupiny.
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,{0} Student Groups created.,{0} Vytvorené študentské skupiny.
DocType: Sales Invoice,Total Billing Amount,Celková suma fakturácie
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule.py,Program in the Fee Structure and Student Group {0} are different.,Program v štruktúre poplatkov a študentskej skupine {0} je odlišný.
DocType: Bank Statement Transaction Entry,Receivable Account,Účet pohľadávok
apps/erpnext/erpnext/stock/doctype/item_price/item_price.py,Valid From Date must be lesser than Valid Upto Date.,Platná od dátumu musí byť menšia ako platná do dátumu.
DocType: Employee Skill,Evaluation Date,Dátum vyhodnotenia
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Asset {1} is already {2},Riadok # {0}: Asset {1} je už {2}
DocType: Quotation Item,Stock Balance,Stav zásob
apps/erpnext/erpnext/config/help.py,Sales Order to Payment,Predajné objednávky na platby
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,CEO,CEO
DocType: Purchase Invoice,With Payment of Tax,S platbou dane
DocType: Expense Claim Detail,Expense Claim Detail,Detail úhrady výdajů
apps/erpnext/erpnext/education/utils.py,You are not allowed to enroll for this course,Nemáte povolenie sa prihlásiť na tento kurz
DocType: Purchase Invoice,TRIPLICATE FOR SUPPLIER,TRIPLIKÁT PRE DODÁVATEĽA
DocType: Exchange Rate Revaluation Account,New Balance In Base Currency,Nový zostatok v základnej mene
DocType: Location,Is Container,Je kontajner
DocType: Crop Cycle,This will be day 1 of the crop cycle,Toto bude prvý deň cyklu plodín
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Please select correct account,"Prosím, vyberte správny účet"
