DocType: Accounting Period,Period Name,Periodo pavadinimas
DocType: Asset Repair,Manufacturing Manager,gamybos direktorius
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Serial No {0} is under warranty upto {1},Serijos Nr {0} yra garantija net iki {1}
DocType: Plant Analysis Criteria,Minimum Permissible Value,Mažiausias leistinas dydis
apps/erpnext/erpnext/education/doctype/guardian/guardian.py,User {0} already exists,Naudotojas {0} jau egzistuoja
apps/erpnext/erpnext/hooks.py,Shipments,vežimas
DocType: Payment Entry,Total Allocated Amount (Company Currency),Visos skirtos sumos (Įmonės valiuta)
DocType: Purchase Order Item,To be delivered to customer,Turi būti pristatytas pirkėjui
DocType: BOM,Scrap Material Cost,Laužas medžiagų sąnaudos
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Serial No {0} does not belong to any Warehouse,Serijos Nr {0} nepriklauso bet Warehouse
DocType: Grant Application,Email Notification Sent,Siunčiamas pranešimas el. Paštu
DocType: Purchase Invoice,In Words (Company Currency),Žodžiais (Įmonės valiuta)
apps/erpnext/erpnext/accounts/doctype/bank_account/bank_account.py,Company is manadatory for company account,Įmonė administruoja įmonės sąskaitą
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,"Item Code, warehouse, quantity are required on row","Prekės kodas, sandėlis, kiekis eilutėje"
DocType: Bank Guarantee,Supplier,tiekėjas
apps/erpnext/erpnext/accounts/doctype/payment_order/payment_order.js,Get From,Gauti iš
apps/erpnext/erpnext/hr/doctype/department/department.js,This is a root department and cannot be edited.,"Tai yra šakninis skyrius, kurio negalima redaguoti."
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.js,Show Payment Details,Rodyti mokėjimo informaciją
apps/erpnext/erpnext/crm/report/lead_conversion_time/lead_conversion_time.py,Duration in Days,Trukmė dienomis
DocType: C-Form,Quarter,ketvirtis
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Miscellaneous Expenses,Įvairūs išlaidos
DocType: Global Defaults,Default Company,numatytasis Įmonės
DocType: Company,Transactions Annual History,Sandorių metinė istorija
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Bank account '{0}' has been synchronized,Banko sąskaita „{0}“ buvo sinchronizuota
apps/erpnext/erpnext/controllers/stock_controller.py,Expense or Difference account is mandatory for Item {0} as it impacts overall stock value,Kompensuojamos ar Skirtumas sąskaitos yra privalomas punktas {0} kaip ji įtakoja bendra akcijų vertė
DocType: Bank,Bank Name,Banko pavadinimas
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Leave the field empty to make purchase orders for all suppliers,"Palikite lauką tuščią, kad pirkimo užsakymai būtų tiekiami visiems tiekėjams"
DocType: Healthcare Practitioner,Inpatient Visit Charge Item,Stacionarus apsilankymo mokestis
DocType: Vital Signs,Fluid,Skystis
DocType: Leave Application,Total Leave Days,Iš viso nedarbingumo dienų
DocType: Email Digest,Note: Email will not be sent to disabled users,Pastaba: elektroninio pašto adresas nebus siunčiami neįgaliems vartotojams
apps/erpnext/erpnext/crm/report/prospects_engaged_but_not_converted/prospects_engaged_but_not_converted.js,Number of Interaction,Taškų sąveika
apps/erpnext/erpnext/crm/report/prospects_engaged_but_not_converted/prospects_engaged_but_not_converted.js,Number of Interaction,Taškų sąveika
DocType: GSTR 3B Report,February,Vasario mėn
apps/erpnext/erpnext/stock/doctype/item/item.js,Item Variant Settings,Elemento variantų nustatymai
apps/erpnext/erpnext/public/js/account_tree_grid.js,Select Company...,Pasirinkite bendrovė ...
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,{0} is mandatory for Item {1},{0} yra privalomas punktas {1}
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,"Item {0}: {1} qty produced, ",Prekė {0}: {1} pagamintas kiekis
DocType: Payroll Entry,Fortnightly,kas dvi savaitės
DocType: Currency Exchange,From Currency,nuo valiuta
DocType: Vital Signs,Weight (In Kilogram),Svoris (kilogramais)
DocType: Chapter,"chapters/chapter_name
leave blank automatically set after saving chapter.",skyrius / chapter_name palikti tuščią automatiškai nustatyti po išsaugojimo skyriuje.
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Please set GST Accounts in GST Settings,Nustatykite GST paskyras
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.js,Type of Business,Verslo tipas
DocType: Sales Invoice,Consumer,Vartotojas
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,"Please select Allocated Amount, Invoice Type and Invoice Number in atleast one row","Prašome pasirinkti skirtos sumos, sąskaitos faktūros tipas ir sąskaitos numerį atleast vienoje eilėje"
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Cost of New Purchase,Kaina New pirkimas
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,Sales Order required for Item {0},Pardavimų užsakymų reikalingas punktas {0}
DocType: Grant Application,Grant Description,Pareiškimo aprašas
DocType: Purchase Invoice Item,Rate (Company Currency),Norma (Įmonės valiuta)
DocType: Student Guardian,Others,kiti
DocType: Subscription,Discounts,Nuolaidos
DocType: Bank Transaction,Unallocated Amount,Nepaskirstytas kiekis
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,Please enable Applicable on Purchase Order and Applicable on Booking Actual Expenses,Prašome įjunkite galiojantį pirkimo užsakymą ir galiojančią rezervuojant faktines išlaidas
apps/erpnext/erpnext/templates/includes/product_page.js,Cannot find a matching Item. Please select some other value for {0}.,Nerandate atitikimo elementą. Prašome pasirinkti kokią nors kitą vertę {0}.
DocType: POS Profile,Taxes and Charges,Mokesčiai ir rinkliavos
DocType: Item,"A Product or a Service that is bought, sold or kept in stock.","Paslauga arba Produktas, kuris yra perkamas, parduodamas arba laikomas sandėlyje."
apps/erpnext/erpnext/hr/page/team_updates/team_updates.js,No more updates,Ne daugiau atnaujinimai
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,"Negalima pasirinkti įkrovimo tipas, kaip &quot;Dėl ankstesnės eilės Suma&quot; arba &quot;Dėl ankstesnės eilės Total&quot; už pirmoje eilutėje"
DocType: Purchase Order,PUR-ORD-.YYYY.-,PUR-ORD-.YYYY.-
apps/erpnext/erpnext/buying/doctype/supplier_scorecard/supplier_scorecard_dashboard.py,This covers all scorecards tied to this Setup,"Tai apima visas rezultatų korteles, susietas su šia sąranka"
apps/erpnext/erpnext/selling/doctype/product_bundle/product_bundle.py,Child Item should not be a Product Bundle. Please remove item `{0}` and save,Vaikų punktas neturėtų būti Prekės paketas. Prašome pašalinti elementą `{0}` ir sutaupyti
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Banking,bankinis
apps/erpnext/erpnext/utilities/activation.py,Add Timesheets,Įdėti laiko apskaitos žiniaraščiai
DocType: Vehicle Service,Service Item,Paslaugų punktas
DocType: Bank Guarantee,Bank Guarantee,Banko garantija
DocType: Bank Guarantee,Bank Guarantee,Banko garantija
DocType: Payment Request,Transaction Details,Pervedimo duomenys
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please click on 'Generate Schedule' to get schedule,Prašome spausti &quot;Generuoti grafiką&quot; gauti tvarkaraštį
DocType: Item,"Purchase, Replenishment Details","Pirkimo, papildymo detalės"
DocType: Products Settings,Enable Field Filters,Įgalinti lauko filtrus
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Customer Provided Item"" cannot be Purchase Item also","""Užsakovo pateikiamas gaminys"" ne gali būti taip pat ir pirkimo objektu"
DocType: Blanket Order Item,Ordered Quantity,Užsakytas Kiekis
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Build tools for builders""",pvz &quot;Build įrankiai statybininkai&quot;
DocType: Grading Scale,Grading Scale Intervals,Vertinimo skalė intervalai
apps/erpnext/erpnext/regional/india/utils.py,Invalid {0}! The check digit validation has failed. ,Neteisingas {0}! Kontrolinio skaitmens patvirtinimas nepavyko.
DocType: Item Default,Purchase Defaults,Pirkiniai pagal numatytuosius nustatymus
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,"Could not create Credit Note automatically, please uncheck 'Issue Credit Note' and submit again","Nepavyko automatiškai sukurti kreditinės pastabos, nuimkite žymėjimą iš &quot;Issue Credit Note&quot; ir pateikite dar kartą"
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Added to Featured Items,Pridėta prie matomų elementų
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Profit for the year,Pelnas už metus
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1}: apskaitos įrašas už {2} galima tik valiuta: {3}
DocType: Fee Schedule,In Process,Procese
DocType: Authorization Rule,Itemwise Discount,Itemwise nuolaida
apps/erpnext/erpnext/config/accounting.py,Tree of financial accounts.,Medis finansines ataskaitas.
DocType: Cash Flow Mapping,Cash Flow Mapping,Pinigų srautų žemėlapiai
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} against Sales Order {1},{0} pagal Pardavimo Užsakymą {1}
DocType: Account,Fixed Asset,Ilgalaikio turto
DocType: Amazon MWS Settings,After Date,Po datos
apps/erpnext/erpnext/config/help.py,Serialized Inventory,Serijinis Inventorius
,Department Analytics,Departamentas &quot;Analytics&quot;
apps/erpnext/erpnext/regional/doctype/gst_settings/gst_settings.py,Email not found in default contact,Numatytojo adreso el. Pašto adresas nerastas
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.js,Generate Secret,Generuoti paslaptį
DocType: Question,Question,Klausimas
DocType: Loan,Account Info,Sąskaitos info
DocType: Activity Type,Default Billing Rate,Numatytasis Atsiskaitymo Balsuok
DocType: Fees,Include Payment,Įtraukti mokėjimą
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,{0} Student Groups created.,{0} Studentų grupės sukurtas.
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,{0} Student Groups created.,{0} Studentų grupės sukurtas.
DocType: Sales Invoice,Total Billing Amount,Iš viso Atsiskaitymo suma
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule.py,Program in the Fee Structure and Student Group {0} are different.,Mokesčių struktūros ir studentų grupės {0} programos skiriasi.
DocType: Bank Statement Transaction Entry,Receivable Account,gautinos sąskaitos
apps/erpnext/erpnext/stock/doctype/item_price/item_price.py,Valid From Date must be lesser than Valid Upto Date.,Galioja nuo datos turi būti mažesnis nei galiojanti iki datos.
DocType: Employee Skill,Evaluation Date,Vertinimo data
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Asset {1} is already {2},Eilutės # {0}: Turto {1} jau yra {2}
DocType: Quotation Item,Stock Balance,akcijų balansas
apps/erpnext/erpnext/config/help.py,Sales Order to Payment,"Pardavimų užsakymų, kad mokėjimo"
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,CEO,Vadovas
DocType: Purchase Invoice,With Payment of Tax,Mokesčio mokėjimas
DocType: Expense Claim Detail,Expense Claim Detail,Kompensuojamos Pretenzija detalės
apps/erpnext/erpnext/education/utils.py,You are not allowed to enroll for this course,Jums neleidžiama stoti į šį kursą
DocType: Purchase Invoice,TRIPLICATE FOR SUPPLIER,Trimis egzemplioriais tiekėjas
DocType: Exchange Rate Revaluation Account,New Balance In Base Currency,Naujas balansas bazine valiuta
DocType: Location,Is Container,Yra konteineris
DocType: Crop Cycle,This will be day 1 of the crop cycle,Tai bus pirmoji derliaus ciklo diena
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Please select correct account,Prašome pasirinkti tinkamą sąskaitą
DocType: Salary Structure Assignment,Salary Structure Assignment,Atlyginimo struktūros paskyrimas
DocType: Purchase Invoice Item,Weight UOM,Svoris UOM
apps/erpnext/erpnext/config/accounting.py,List of available Shareholders with folio numbers,Turimų akcininkų sąrašas su folio numeriais
DocType: Salary Structure Employee,Salary Structure Employee,"Darbo užmokesčio struktūrą, darbuotojų"
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.js,Show Variant Attributes,Rodyti variantų savybes
DocType: Student,Blood Group,Kraujo grupė
DocType: Purchase Invoice Item,Page Break,Puslapio Perkėlimas
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,The payment gateway account in plan {0} is different from the payment gateway account in this payment request,Plano {0} mokėjimo sąsajos sąskaita skiriasi nuo mokėjimo sąsajos sąskaitos šiame mokėjimo prašyme
DocType: Course,Course Name,Kurso pavadinimas
apps/erpnext/erpnext/accounts/doctype/tax_withholding_category/tax_withholding_category.py,No Tax Withholding data found for the current Fiscal Year.,Nenurodytų duomenų apie mokesčius už dabartinius finansinius metus.
DocType: Employee Leave Approver,Users who can approve a specific employee's leave applications,"Vartotojai, kurie gali patvirtinti konkretaus darbuotojo atostogų prašymus"
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Office Equipments,Biuro įranga
DocType: Pricing Rule,Qty,Kiekis
DocType: Fiscal Year,Companies,įmonės
DocType: Supplier Scorecard,Scoring Setup,Balų nustatymas
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Electronics,elektronika
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Debit ({0}),Debetas ({0})
DocType: BOM,Allow Same Item Multiple Times,Leisti tą patį elementą keletą kartų
DocType: Stock Settings,Raise Material Request when stock reaches re-order level,Pakelkite Material užklausą Kai akcijų pasiekia naujo užsakymo lygį
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Full-time,Pilnas laikas
DocType: Payroll Entry,Employees,darbuotojai
DocType: Question,Single Correct Answer,Vienintelis teisingas atsakymas
DocType: C-Form,Received Date,gavo data
DocType: Delivery Note,"If you have created a standard template in Sales Taxes and Charges Template, select one and click on the button below.","Jei sukūrėte standartinį šabloną pardavimo mokesčius bei rinkliavas ruošiniu, pasirinkite vieną ir spauskite žemiau esantį mygtuką."
DocType: BOM Scrap Item,Basic Amount (Company Currency),Pagrindinė suma (Įmonės valiuta)
DocType: Student,Guardians,Globėjai
apps/erpnext/erpnext/templates/pages/integrations/gocardless_confirmation.html,Payment Confirmation,Mokėjimo patvirtinimas
apps/erpnext/erpnext/regional/india/utils.py,Unsupported GST Category for e-Way Bill JSON generation,Nepalaikoma GST kategorija e-Way Bill JSON kartai
DocType: Shopping Cart Settings,Prices will not be shown if Price List is not set,"Kainos nebus rodomas, jei Kainų sąrašas nenustatytas"
DocType: Material Request Item,Received Quantity,Gautas kiekis
apps/erpnext/erpnext/buying/report/subcontracted_item_to_be_received/subcontracted_item_to_be_received.py,To Date must be greater than From Date,Iki datos turi būti didesnis nei nuo datos
