Pension Funds,Mirovinski fondovi
Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.,Početni bankovni / novčani račun automatski će se ažurirati u unosu dnevnika plaća kada se odabere ovaj način rada.
Total Budget,Ukupni proračun
Upload HTML,Prenesite HTML
Payment Document,Dokument za plaćanje
Opportunity Item,Stavka prilike
Travel From,Putovanje od
CWIP Account,Račun CWIP
Sender Name,Ime pošiljatelja
Supplier Group,Grupa dobavljača
Date of Issue,Datum izdavanja
Requested Items To Be Transferred,Tražene stavke koje treba prenijeti
Contract End Date,Datum završetka ugovora
Returned Qty,Vraćena količina
SAL-ORD-.YYYY.-,SAL-ORD-.YYYY.-
Required only for sample item.,Potrebno samo za uzorak stavke.
Vacant,prazan
Sales Stage,Stupanj prodaje
In Words will be visible once you save the Sales Order.,U riječima će biti vidljivo kada spremite prodajni nalog.
Re-order Level,Razina ponovnog narudžbe
Preference,Prednost
Department Analytics,Analitika odjela
Scientific Name,Znanstveno ime
Discount amount cannot be greater than 100%,Iznos popusta ne može biti veći od 100%
Relation,Odnos
Name or Email is mandatory,Ime ili e-pošta obavezno je
Billing Zipcode,Poštanski broj za slanje računa
Marketplace,tržište
{0} {1} status is {2},Status {0} {1} je {2}
Quiz Activity,Kviz aktivnost
{0} is not in a valid Payroll Period,{0} nije u valjanom obračunskom razdoblju
Billed,naplaćeno
Last Sales Invoice,Posljednja dostavnica
Payment Terms,Uvjeti plaćanja
"Reserved Qty: Quantity ordered for sale, but not delivered.","Rezervirano Količina: Količina naručena za prodaju, ali ne isporučena."
{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2},{0} je obavezno. Možda zapis za razmjenu valute nije stvoren za {1} do {2}
Actual End Date (via Time Sheet),Stvarni datum završetka (putem vremenskog lista)
Score must be less than or equal to 5,Rezultat mora biti manji ili jednak 5
Please select BOM in BOM field for Item {0},Odaberite BOM u polju BOM za stavku {0}
Serial No {0} is under warranty upto {1},Serijski broj {0} je pod jamstvom do {1}
Split,Podjela
Bank Account No,Bankovni račun br
Salary Slip Based on Timesheet,Ispuštanje plaće na temelju timesheeta
Mode of Transportation,Način prijevoza
Control Action,Kontrolna radnja
Total Exemption Amount,Ukupni iznos oslobođenja
Medical Code Standard,Standard medicinskog koda
Row #{0}: Reqd by Date cannot be before Transaction Date,Red # {0}: Ponovni datum po datumu ne može biti prije datuma transakcije
Current Academic Term,Trenutni akademski mandat
Short biography for website and other publications.,Kratka biografija za web stranicu i druge publikacije.
Received Qty,Primljeno Kol
Rate (Company Currency),Stopa (valuta tvrtke)
Request for,Zahtjev za
Installing presets,Instaliranje unaprijed definiranih postavki
Please enter Repayment Periods,Unesite razdoblja otplate
Advanced Settings,Napredne postavke
Paid Amount,Plaćeni iznos
Setup Progress Action,Podešavanje akcije napredovanja
Billing Interval Count,Broj intervala naplate
Financial Statements,Financijska izvješća
Message will sent to users to get their status on the project,Poruka će biti poslana korisnicima kako bi dobili status na projektu
Employee Tax Exemption Proof Submission Detail,Obavijest o oslobođenju od plaćanja poreza na zaposlenika
Delivered,Isporučeno
{0}% Delivered,{0}% Isporučeno
Request for Information,Zahtjev za informacijama
End Year,Završna godina
Diesel,Dizel
Sanctioned Amount cannot be greater than Claim Amount in Row {0}.,Sankcionirani iznos ne može biti veći od iznosa polaganja prava u retku {0}.
From {0} | {1} {2},Od {0} | {1} {2}
Result already Submitted,Rezultat je već poslan
Rule Applied,Primijenjeno pravilo
Actual Qty is mandatory,Stvarna količina je obavezna
Expected Delivery Date,Očekivani datum isporuke
Resolution Date,Datum rezolucije
Leave of type {0} cannot be longer than {1},Ostavljanje vrste {0} ne može biti dulje od {1}
Enable Shopping Cart,Omogući košaricu za kupnju
Apply Rule On Other,Primijeni pravilo na drugo
Last Carbon Check,Provjera posljednjeg ugljika
Make,Napraviti
Sales Invoice {0} created as paid,Faktura prodaje {0} stvorena kao plaćena
To create a Payment Request reference document is required,Za izradu zahtjeva za plaćanje potreban je referentni dokument
Income Tax,Porez na dohodak
Computer,Računalo
% Ordered,% Naručeno
Following items {0} are not marked as {1} item. You can enable them as {1} item from its Item master,Sljedeće stavke {0} nisu označene kao {1} stavka. Možete ih omogućiti kao {1} stavku iz glavnog elementa stavke
Passing Score,Prolazni rezultat
Settings for website homepage,Postavke za početnu stranicu web-lokacije
Qty To Manufacture,Količina za proizvodnju
Non Profit (beta),Neprofitna (beta)
Outstanding Amt,Izvanredna amt
Pin Code,PIN kod
Allow the following users to approve Leave Applications for block days.,Dopustite sljedećim korisnicima da odobre Ostavite aplikacije za blok dana.
Please select Maintenance Status as Completed or remove Completion Date,Odaberite Status održavanja kao dovršen ili uklonite datum dovršetka
Get Items For Work Order,Nabavite stavke za radni nalog
Set Project and all Tasks to status {0}?,Postavite projekt i svi zadaci na status {0}?
"Show ""In Stock"" or ""Not in Stock"" based on stock available in this warehouse.",Prikažite &quot;Na zalihi&quot; ili &quot;Nije na zalihama&quot; prema zalihama dostupnim u ovom skladištu.
Delete permanently?,Želite li trajno izbrisati?
MFG-BLR-.YYYY.-,MFG-BLR-.YYYY.-
Is Leave Without Pay,Ostavlja bez plaće
Row #{0}: Asset {1} must be submitted,Redak # {0}: Imenik {1} mora biti poslan
Additional Discount Amount (Company Currency),Dodatni iznos popusta (valuta tvrtke)
Tobacco Past Use,Prethodna uporaba duhana
Materials Required,Potrebni materijali
POS Profile,POS profil
Write Off Entry,Piši unos
You need to be a user other than Administrator with System Manager and Item Manager roles to register on Marketplace.,"Morate biti korisnik koji nije administrator, s ulogama upravitelja sustava i upravitelja stavki da biste se registrirali na tržištu."
Insured value,Osigurana vrijednost
Against Docname,Protiv Docname
"As raw materials projected quantity is more than required quantity, there is no need to create material request.
			Still if you want to make material request, kindly enable <b>Ignore Existing Projected Quantity</b> checkbox","Budući da je projektirana količina sirovina veća od potrebne količine, nema potrebe za stvaranjem materijalnih zahtjeva. Ipak, ako želite napraviti materijalni zahtjev, uključite potvrdni okvir <b>Zanemari postojeću predviđenu količinu</b>"
Prevdoc DocType,Prevdoc DocType
{0} payment entries can not be filtered by {1},{0} unosa za plaćanje ne može se filtrirati do {1}
Variant Field,Polje varijanta
Access token or Shopify URL missing,Nedostaje oznaka pristupa ili URL Shopify
Bank account cannot be named as {0},Bankovni račun ne može biti imenovan kao {0}
Terms and Conditions Help,Uvjeti i odredbe Pomoć
From and To dates required,Od i do potrebnih datuma
Product Bundle Item,Stavka skupa proizvoda
Group Based On,Na temelju grupe
Guardian2 Mobile No,Guardian2 Mobile br
Allow Multiple Material Consumption,Dopusti višestruku potrošnju materijala
Acceptance Criteria,Kriteriji prihvatljivosti
Shipping rule only applicable for Selling,Pravilo o isporuci vrijedi samo za prodaju
Selling Rate,Stopa prodaje
Asset,Imovina
{0} does not have a Healthcare Practitioner Schedule. Add it in Healthcare Practitioner master,{0} nema raspored liječnika. Dodajte ga u majstora liječnika
Chassis No,Šasija br
Company Abbreviation,Kratica tvrtke
Tree of Bill of Materials,Stablo materijala
LMS User,LMS korisnik
Allow Alternative Item,Dopusti alternativnu stavku
Activity Cost per Employee,Trošak aktivnosti po zaposleniku
Open Quotations,Otvori ponude
Section Footer,Podnožje odjeljka
Next Contact By,Sljedeći kontakt od strane
Pending Quantity,Količina na čekanju
SAL-QTN-.YYYY.-,SAL-QTN-.YYYY.-
Select to add Serial Number.,Odaberite za dodavanje serijskog broja.
modified,promijenjen
Qty,Kol
Net ITC Available(A) - (B),Neto ITC dostupan (A) - (B)
Material Requests for which Supplier Quotations are not created,Zahtjevi materijala za koje nisu kreirane ponude dobavljača
GST Account,GST račun
For Price List,Za cjenik
GoCardless Mandate,Mandat GoCardless
Skip Material Transfer to WIP Warehouse,Preskoči prijenos materijala u WIP skladište
Primary Settings,Primarne postavke
Customer Type,Vrsta klijenta
PU-SSP-.YYYY.-,PU SSP-.YYYY.-
Use POS in Offline Mode,Koristite POS u izvanmrežnom načinu rada
Parent Territory,Teritorij roditelja
Odometer Reading,Očitanje odometra
Salary Slip,Ispuštanje plaće
Payroll Frequency,Frekvencija obračuna plaća
"Start and end dates not in a valid Payroll Period, cannot calculate {0}","Početni i završni datumi koji nisu u važećem obračunskom razdoblju, ne mogu izračunati {0}"
Home Page is Products,Početna stranica je Proizvodi
Calls,pozivi
Reference #{0} dated {1},Referenca # {0} s datumom {1}
Guardian Interest,Interes skrbnika
PO already created for all sales order items,PO je već kreirana za sve stavke prodajnog naloga
Subscription,Pretplata
Stock Entry Detail,Detalj unosa dionica
Sales Orders to Bill,Prodajni nalozi za račun
For reference only.,Samo kao referenca.
GL Entry,GL ulaz
Employee Tax Exemption Category,Kategorija oslobođenja od plaćanja poreza na zaposlenike
Row {0}: asset is required for item {1},Redak {0}: za stavku {1} potrebno je sredstvo
Sanctioned Amount,Sankcionirani iznos
Taxable Salary Slab,Oporeziva ploča plaća
Grant Application,Zahtjev za dodjelu bespovratnih sredstava
Unable to find score starting at {0}. You need to have standing scores covering 0 to 100,Nije moguće pronaći rezultat počevši od {0}. Morate imati stalne rezultate koji pokrivaju 0 do 100
EDU-FST-.YYYY.-,EDU-FST-.YYYY.-
Parent Sales Person,Matična prodajna osoba
Get Courses,Nabavite tečajeve
"Row #{0}: Qty must be 1, as item is a fixed asset. Please use separate row for multiple qty.","Red # {0}: Količina mora biti 1, jer je stavka fiksno sredstvo. Upotrijebite zasebni redak za višestruku količinu."
Only leaf nodes are allowed in transaction,Samo su čvorovi listova dopušteni u transakciji
Organization,Organizacija
Fee Category,Kategorija naknade
Batch ID,ID serije
Cannot be a fixed asset item as Stock Ledger is created.,Nije moguće postaviti stavku fiksne imovine kao stvorenu knjigu zaliha.
This Month's Summary,Sažetak ovog mjeseca
Row {0}: {1} {2} does not match with {3},Redak {0}: {1} {2} se ne podudara s {3}
Go to Suppliers,Idite na Dobavljači
PMO-,PMO-
Please update your status for this training event,Ažurirajte svoj status za ovaj trening događaj
Morning,Jutro
Please setup Instructor Naming System in Education &gt; Education Settings,Postavite sustav imenovanja instruktora u obrazovanju&gt; Postavke obrazovanja
Quotation Item,Stavka ponude
Credit Card Entry,Unos kreditne kartice
"Time slot skiped, the slot {0} to {1} overlap exisiting slot {2} to {3}","Vremenski razmak je preskočen, utor {0} do {1} preklapa postojeći prorez {2} do {3}"
If Income or Expense,Ako je prihod ili trošak
Work Order Operation,Rad na radnom nalogu
Address used to determine Tax Category in transactions.,Adresa za određivanje porezne kategorije u transakcijama.
Go to Customers,Idite na klijente
Set 0 for no limit,Postavite 0 bez ograničenja
{0} {1}: Account {2} is inactive,{0} {1}: Račun {2} je neaktivan
Payment Date,Datum plačanja
Assign To Name,Dodijeli nazivu
Warning: Material Requested Qty is less than Minimum Order Qty,Upozorenje: Zahtijevani materijal je manji od minimalne količine narudžbe
Current BOM and New BOM can not be same,Trenutna sastavnica i nova sastavnica ne mogu biti iste
Crops & Lands,Usjevi i zemljišta
Abbr can not be blank or space,Abbr ne može biti prazan ili prazan
MAT-MR-.YYYY.-,MAT-MR-.YYYY.-
"Cannot deliver Serial No {0} of item {1} as it is reserved to \
												fullfill Sales Order {2}",Nije moguće isporučiti serijski broj {0} stavke {1} jer je rezerviran za ispunjavanje prodajnog naloga {2}
Fetching records......,Dohvaćanje zapisa ......
Contact Information,Podaci za kontakt
For Production,Za proizvodnju
Asset Details,Pojedinosti o objektu
Reservation Time,Vrijeme rezervacije
Default Territory,Zadano područje
Dispensed Amount (Pro-rated),Iznos odobrenog iznosa (pro-ocijenjeno)
Max discount allowed for item: {0} is {1}%,Najveći dopušteni popust za stavku: {0} je {1}%
List items that form the package.,Popis stavki koje čine paket.
Amount in customer's currency,Iznos u valuti klijenta
Get Items From Purchase Receipts,Nabavite stavke iz potvrda o kupnji
Row #{0} (Payment Table): Amount must be positive,Redak {{0} (Tablica plaćanja): Iznos mora biti pozitivan
Employee Tax Exemption Declaration,Deklaracija o izuzeću od poreza na zaposlenike
Expected End Date,Očekivani datum završetka
Conversion rate cannot be 0 or 1,Stopa konverzije ne može biti 0 ili 1
CRM-OPP-.YYYY.-,CRM-OPP-.YYYY.-
Institute Name,ime Instituta
Asset Status,Status imovine
Earnings,Zarada
Total Paid Amount,Ukupni uplaćeni iznos
To Warehouse,U skladište
Total Score (Out of 5),Ukupni rezultat (od 5)
Accounts Receivable,Potraživanja
Setting defaults,Postavljanje zadanih postavki
"Cannot ensure delivery by Serial No as \
					Item {0} is added with and without Ensure Delivery by \
					Serial No.",Nije moguće osigurati isporuku serijskim brojem kao što je stavka {0} dodana sa i bez Osigurati isporuku prema
Invoiced Amount (Exclusive Tax),Iznos dostavnice (isključivo porez)
Cannot change status as student {0} is linked with student application {1},Nije moguće promijeniti status studenta {0} je povezan sa studentskom prijavom {1}
Total leaves allocated is mandatory for Leave Type {0},Ukupno dodijeljenih listova obavezno je za vrstu ostavljanja {0}
Data Import and Settings,Uvoz podataka i postavke
"If Auto Opt In is checked, then the customers will be automatically linked with the concerned Loyalty Program (on save)","Ako je označena opcija Auto Opt In, klijenti će se automatski povezati s dotičnim programom vjernosti (na spremanje)"
Expense Account,Račun troškova
Relation with Guardian1,Odnos s Guardianom1
Create Invoice,Izradite dostavnicu
Payment Request already exists {0},Zahtjev za plaćanje već postoji {0}
