DocType: Accounting Period,Period Name,Όνομα περιόδου
DocType: Amazon MWS Settings,Enable Amazon,Ενεργοποιήστε το Amazon
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Account {1} does not belong to company {2},Σειρά # {0}: Ο λογαριασμός {1} δεν ανήκει στην εταιρεία {2}
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Unable to find DocType {0},Δεν είναι δυνατή η εύρεση του DocType {0}
apps/erpnext/erpnext/public/js/templates/address_list.html,New Address,Νέα Διεύθυνση
DocType: Quality Inspection,Sample Size,Μέγεθος δείγματος
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,Please enter Receipt Document,"Παρακαλούμε, εισάγετε παραστατικό παραλαβής"
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py,All items have already been invoiced,Όλα τα είδη έχουν ήδη τιμολογηθεί
apps/erpnext/erpnext/hr/report/employee_leave_balance_summary/employee_leave_balance_summary.py,Leaves Taken,Φύλλα που λαμβάνονται
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.py,Please specify a valid 'From Case No.',Καθορίστε μια έγκυρη τιμή στο πεδίο 'από τον αρ. Υπόθεσης'
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center_tree.js,Further cost centers can be made under Groups but entries can be made against non-Groups,"Περαιτέρω κέντρα κόστους μπορεί να γίνει κάτω από ομάδες, αλλά εγγραφές μπορούν να γίνουν με την μη Ομάδες"
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py,Total allocated leaves are more days than maximum allocation of {0} leave type for employee {1} in the period,Τα συνολικά κατανεμημένα φύλλα είναι περισσότερες ημέρες από τη μέγιστη κατανομή {0} τύπου άδειας για εργαζόμενο {1} κατά την περίοδο
DocType: Branch,Branch,Υποκατάστημα
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,"Other outward supplies(Nil rated,Exempted)","Άλλες παροχές προς το εξωτερικό (μη διαβαθμισμένες, απαλλαγμένες)"
DocType: Soil Analysis,Ca/(K+Ca+Mg),Ca / (Κ + Ca + Mg)
DocType: Delivery Trip,Fulfillment User,Χρήστης εκπλήρωσης
apps/erpnext/erpnext/config/settings.py,Printing and Branding,Εκτύπωσης και Branding
DocType: Company,Total Monthly Sales,Συνολικές μηνιαίες πωλήσεις
DocType: Course Activity,Enrollment,Εγγραφή
DocType: Payment Request,Subscription Plans,Σχέδια συνδρομής
DocType: Agriculture Analysis Criteria,Weather,Καιρός
DocType: Bin,Actual Quantity,Πραγματική ποσότητα
DocType: Shipping Rule,example: Next Day Shipping,Παράδειγμα: αποστολή την επόμενη μέρα
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Serial No {0} not found,Ο σειριακός αριθμός {0} δεν βρέθηκε
DocType: Fee Schedule Program,Fee Schedule Program,Πρόγραμμα προγράμματος χρεώσεων
DocType: Fee Schedule Program,Student Batch,Batch φοιτητής
DocType: Pricing Rule,Advanced Settings,Προηγμένες ρυθμίσεις
DocType: Supplier Scorecard Scoring Standing,Min Grade,Ελάχιστη Βαθμολογία
DocType: Healthcare Service Unit Type,Healthcare Service Unit Type,Τύπος μονάδας υγειονομικής περίθαλψης
DocType: Training Event Employee,Feedback Submitted,feedback Υποβλήθηκε
apps/erpnext/erpnext/projects/doctype/project/project.py,You have been invited to collaborate on the project: {0},Έχετε προσκληθεί να συνεργαστούν για το έργο: {0}
DocType: Supplier Group,Parent Supplier Group,Μητρική ομάδα προμηθευτών
DocType: Email Digest,Purchase Orders to Bill,Αγοράζοντας Εντολές στον Bill
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.js,Accumulated Values in Group Company,Συσσωρευμένες αξίες σε εταιρεία του Ομίλου
DocType: Leave Block List Date,Block Date,Αποκλεισμός ημερομηνίας
DocType: Item,You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Μπορείτε να χρησιμοποιήσετε οποιαδήποτε έγκυρη σήμανση Bootstrap 4 σε αυτό το πεδίο. Θα εμφανιστεί στη σελίδα του στοιχείου.
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,"Outward taxable supplies(other than zero rated, nil rated and exempted","Φορολογητέες προμήθειες (εκτός μηδενικού, μηδενικού και απαλλασσομένου)"
DocType: Crop,Crop,Καλλιέργεια
DocType: Purchase Receipt,Supplier Delivery Note,Σημείωση για την παράδοση του προμηθευτή
apps/erpnext/erpnext/education/doctype/student_admission/templates/student_admission.html,Apply Now,Κάνε αίτηση τώρα
DocType: Employee Tax Exemption Proof Submission Detail,Type of Proof,Είδος της απόδειξης
apps/erpnext/erpnext/stock/dashboard/item_dashboard_list.html,Actual Qty {0} / Waiting Qty {1},Ποσότητα πραγματικού {0} / Ποσό αναμονής {1}
DocType: Purchase Invoice,E-commerce GSTIN,Ηλεκτρονικό εμπόριο GSTIN
DocType: Sales Order,Not Delivered,Δεν έχει παραδοθεί
,Bank Clearance Summary,Περίληψη εκκαθάρισης τράπεζας
apps/erpnext/erpnext/config/settings.py,"Create and manage daily, weekly and monthly email digests.","Δημιουργία και διαχείριση ημερησίων, εβδομαδιαίων και μηνιαίων ενημερώσεν email."
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person_dashboard.py,This is based on transactions against this Sales Person. See timeline below for details,"Αυτό βασίζεται σε συναλλαγές έναντι αυτού του Πωλητή. Για λεπτομέρειες, δείτε την παρακάτω γραμμή χρόνου"
DocType: Appraisal Goal,Appraisal Goal,Στόχος αξιολόγησης
DocType: Stock Reconciliation Item,Current Amount,τρέχουσα Ποσό
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Buildings,κτίρια
apps/erpnext/erpnext/hr/doctype/leave_period/leave_period.py,Leaves has been granted sucessfully,Τα φύλλα έχουν χορηγηθεί με επιτυχία
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_transaction_row.html,New Invoice,Νέο Τιμολόγιο
DocType: Products Settings,Enable Attribute Filters,Ενεργοποίηση φίλτρων χαρακτηριστικών
DocType: Fee Schedule,Fee Structure,Δομή χρέωση
DocType: Timesheet Detail,Costing Amount,Κοστολόγηση Ποσό
DocType: Student Admission Program,Application Fee,Τέλη της αίτησης
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.js,Submit Salary Slip,Υποβολή βεβαίωσης αποδοχών
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice_list.js,On Hold,Σε κράτηση
apps/erpnext/erpnext/education/doctype/question/question.py,A qustion must have at least one correct options,Μια λύση πρέπει να έχει τουλάχιστον μία σωστή επιλογή
apps/erpnext/erpnext/hooks.py,Purchase Orders,Εντολές αγοράς
DocType: Account,Inter Company Account,Εταιρικός λογαριασμός
apps/erpnext/erpnext/stock/doctype/item_price/item_price.js,Import in Bulk,Εισαγωγή χύδην
DocType: Sales Partner,Address & Contacts,Διεύθυνση & Επαφές
DocType: SMS Log,Sender Name,Όνομα αποστολέα
DocType: Vital Signs,Very Hyper,Πολύ Hyper
DocType: Agriculture Analysis Criteria,Agriculture Analysis Criteria,Κριτήρια Γεωργικής Ανάλυσης
DocType: HR Settings,Leave Approval Notification Template,Αφήστε το πρότυπο ειδοποίησης έγκρισης
DocType: POS Profile,[Select],[ Επιλέξτε ]
DocType: Staffing Plan Detail,Number Of Positions,Αριθμός θέσεων
DocType: Vital Signs,Blood Pressure (diastolic),Πίεση αίματος (διαστολική)
apps/erpnext/erpnext/accounts/doctype/coupon_code/coupon_code.py,Please select the customer.,Επιλέξτε τον πελάτη.
DocType: SMS Log,Sent To,Αποστέλλονται
DocType: Agriculture Task,Holiday Management,Διαχείριση Διακοπών
DocType: Payment Request,Make Sales Invoice,Δημιούργησε τιμολόγιο πώλησης
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Softwares,λογισμικά
apps/erpnext/erpnext/crm/doctype/lead/lead.py,Next Contact Date cannot be in the past,Επόμενο Ημερομηνία Επικοινωνήστε δεν μπορεί να είναι στο παρελθόν
DocType: Company,For Reference Only.,Για αναφορά μόνο.
apps/erpnext/erpnext/accounts/page/pos/pos.js,Select Batch No,Επιλέξτε Αριθμός παρτίδας
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Invalid {0}: {1},Άκυρη {0}: {1}
,GSTR-1,GSTR-1
DocType: Fee Validity,Reference Inv,Αναφορά Inv
DocType: Sales Invoice Advance,Advance Amount,Ποσό προκαταβολής
DocType: Manufacturing Settings,Capacity Planning,Σχεδιασμός Χωρητικότητα
DocType: Supplier Quotation,Rounding Adjustment (Company Currency,Προσαρμογή στρογγυλοποίησης (νόμισμα εταιρείας
DocType: Asset,Policy number,Αριθμός πολιτικής
apps/erpnext/erpnext/stock/report/batch_item_expiry_status/batch_item_expiry_status.py,'From Date' is required,"To πεδίο ""από ημερομηνία"" είναι απαραίτητο."
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,Assign to Employees,Αναθέστε στους υπαλλήλους
DocType: Bank Transaction,Reference Number,Αριθμός αναφοράς
DocType: Employee,New Workplace,Νέος χώρος εργασίας
DocType: Retention Bonus,Retention Bonus,Μπόνους διατήρησης
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Material Consumption,Κατανάλωση υλικών
apps/erpnext/erpnext/crm/doctype/opportunity/opportunity_list.js,Set as Closed,Ορισμός ως Έκλεισε
apps/erpnext/erpnext/stock/get_item_details.py,No Item with Barcode {0},Δεν βρέθηκε είδος με barcode {0}
DocType: Normal Test Items,Require Result Value,Απαιτείται τιμή αποτελέσματος
DocType: Purchase Invoice,Pricing Rules,Κανόνες τιμολόγησης
DocType: Item,Show a slideshow at the top of the page,Δείτε μια παρουσίαση στην κορυφή της σελίδας
