DocType: Accounting Period,Period Name,Název období
DocType: Assessment Result Tool,Result HTML,výsledek HTML
DocType: Selling Settings,How often should project and company be updated based on Sales Transactions.,Jak často by měl být projekt a společnost aktualizovány na základě prodejních transakcí.
apps/erpnext/erpnext/stock/report/batch_item_expiry_status/batch_item_expiry_status.py,Expires On,vyprší dne
apps/erpnext/erpnext/utilities/user_progress.py,Add Students,Přidejte studenty
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_declaration/employee_tax_exemption_declaration.js,Please select {0},"Prosím, vyberte {0}"
DocType: C-Form,C-Form No,C-Form No
DocType: Delivery Stop,Distance,Vzdálenost
apps/erpnext/erpnext/utilities/user_progress.py,List your products or services that you buy or sell.,"Seznamte své produkty nebo služby, které kupujete nebo prodáváte."
DocType: Water Analysis,Storage Temperature,Skladovací teplota
DocType: Sales Order,SAL-ORD-.YYYY.-,SAL-ORD-.YYYY.-
DocType: Employee Attendance Tool,Unmarked Attendance,Neoznačené Návštěvnost
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.js,Creating Payment Entries......,Vytváření položek platby ......
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Researcher,Výzkumník
apps/erpnext/erpnext/erpnext_integrations/doctype/plaid_settings/plaid_connector.py,Plaid public token error,Plaid public token error
DocType: Program Enrollment Tool Student,Program Enrollment Tool Student,Registrace do programu Student Tool
apps/erpnext/erpnext/assets/doctype/asset_maintenance/asset_maintenance.py,Start date should be less than end date for task {0},Datum zahájení by mělo být menší než datum ukončení úkolu {0}
,Consolidated Financial Statement,Konsolidovaný finanční výkaz
apps/erpnext/erpnext/hr/doctype/job_applicant/job_applicant.py,Name or Email is mandatory,Jméno nebo e-mail je povinné
DocType: Instructor,Instructor Log,Příručka instruktora
DocType: Clinical Procedure,Clinical Procedure,Klinický postup
DocType: Shopify Settings,Delivery Note Series,Série dodacích poznámek
DocType: Purchase Order Item,Returned Qty,Vrácené Množství
DocType: Student,Exit,Východ
DocType: Communication Medium,Communication Medium,Komunikační médium
apps/erpnext/erpnext/accounts/doctype/account/account.py,Root Type is mandatory,Root Type je povinné
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Failed to install presets,Instalace předvoleb se nezdařila
DocType: Healthcare Service Unit Type,UOM Conversion in Hours,Převod UOM v hodinách
DocType: Contract,Signee Details,Signee Podrobnosti
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.py,"{0} currently has a {1} Supplier Scorecard standing, and RFQs to this supplier should be issued with caution.",{0} v současné době disponuje {1} hodnotící tabulkou dodavatelů a RFQ tohoto dodavatele by měla být vydána s opatrností.
DocType: Certified Consultant,Non Profit Manager,Neziskový manažer
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Serial No {0} created,Pořadové číslo {0} vytvořil
DocType: Homepage,Company Description for website homepage,Společnost Popis pro webové stránky domovskou stránku
DocType: Item Customer Detail,"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes","Pro pohodlí zákazníků, tyto kódy mohou být použity v tiskových formátech, jako na fakturách a dodacích listech"
apps/erpnext/erpnext/accounts/report/purchase_order_items_to_be_billed/purchase_order_items_to_be_billed.py,Suplier Name,Jméno suplier
apps/erpnext/erpnext/accounts/report/financial_statements.py,Could not retrieve information for {0}.,Nelze načíst informace pro {0}.
apps/erpnext/erpnext/regional/report/fichier_des_ecritures_comptables_[fec]/fichier_des_ecritures_comptables_[fec].py,Opening Entry Journal,Otevření deníku zápisu
DocType: Contract,Fulfilment Terms,Podmínky plnění
DocType: Sales Invoice,Time Sheet List,Doba Seznam Sheet
DocType: Employee,You can enter any date manually,Můžete zadat datum ručně
DocType: Healthcare Settings,Result Printed,Tiskový výsledek
DocType: Asset Category Account,Depreciation Expense Account,Odpisy Náklady účtu
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Probationary Period,Zkušební doba
DocType: Purchase Taxes and Charges Template,Is Inter State,Je Inter State
apps/erpnext/erpnext/config/hr.py,Shift Management,Shift Management
DocType: Customer Group,Only leaf nodes are allowed in transaction,Pouze koncové uzly jsou povoleny v transakci
DocType: Project,Total Costing Amount (via Timesheets),Celková částka kalkulování (prostřednictvím časových lístků)
DocType: Department,Expense Approver,Schvalovatel výdajů
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: Advance against Customer must be credit,Řádek {0}: Advance proti zákazník musí být úvěr
DocType: Quality Meeting,Quality Meeting,Kvalitní setkání
apps/erpnext/erpnext/accounts/doctype/account/account.js,Non-Group to Group,Non-skupiny ke skupině
DocType: Employee,ERPNext User,ERPN další uživatel
DocType: Coupon Code,Coupon Description,Popis kupónu
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,Batch is mandatory in row {0},Dávka je povinná v řádku {0}
DocType: Company,Default Buying Terms,Výchozí nákupní podmínky
DocType: Purchase Receipt Item Supplied,Purchase Receipt Item Supplied,Doklad o koupi Item Dodávané
DocType: Amazon MWS Settings,Enable Scheduled Synch,Povolit naplánovanou synchronizaci
apps/erpnext/erpnext/projects/report/daily_timesheet_summary/daily_timesheet_summary.py,To Datetime,Chcete-li datetime
apps/erpnext/erpnext/config/crm.py,Logs for maintaining sms delivery status,Protokoly pro udržení stavu doručení sms
DocType: Accounts Settings,Make Payment via Journal Entry,Provést platbu přes Journal Entry
apps/erpnext/erpnext/controllers/item_variant.py,Please do not create more than 500 items at a time,Nevytvářejte více než 500 položek najednou
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html,Printed On,Vytištěno na
DocType: Clinical Procedure Template,Clinical Procedure Template,Šablona klinického postupu
DocType: Item,Inspection Required before Delivery,Inspekce Požadované před porodem
apps/erpnext/erpnext/config/education.py,Content Masters,Obsahové mastery
DocType: Item,Inspection Required before Purchase,Inspekce Požadované před nákupem
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Pending Activities,Nevyřízené Aktivity
apps/erpnext/erpnext/healthcare/doctype/lab_test/lab_test_list.js,Create Lab Test,Vytvořit laboratorní test
DocType: Patient Appointment,Reminded,Připomenuto
DocType: Homepage Section,Cards,Karty
apps/erpnext/erpnext/public/js/setup_wizard.js,View Chart of Accounts,Zobrazit přehled účtů
DocType: Chapter Member,Chapter Member,Člen kapitoly
DocType: Material Request Plan Item,Minimum Order Quantity,Minimální množství pro objednání
apps/erpnext/erpnext/public/js/setup_wizard.js,Your Organization,Vaše organizace
apps/erpnext/erpnext/hr/doctype/leave_period/leave_period.py,"Skipping Leave Allocation for the following employees, as Leave Allocation records already exists against them. {0}","Přeskočit přidělení alokace pro následující zaměstnance, jelikož proti nim existují záznamy o přidělení alokace. {0}"
DocType: Fee Component,Fees Category,Kategorie poplatky
apps/erpnext/erpnext/hr/doctype/employee/employee.py,Please enter relieving date.,Zadejte zmírnění datum.
apps/erpnext/erpnext/controllers/trends.py,Amt,Amt
DocType: Travel Request,"Details of Sponsor (Name, Location)","Podrobnosti o sponzoru (název, umístění)"
DocType: Supplier Scorecard,Notify Employee,Upozornit zaměstnance
apps/erpnext/erpnext/templates/generators/item/item_configure.js,Enter value betweeen {0} and {1},Zadejte hodnotu mezi {0} a {1}
DocType: Opportunity,Enter name of campaign if source of enquiry is campaign,"Zadejte název kampaně, pokud zdroj šetření je kampaň"
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Newspaper Publishers,Vydavatelé novin
apps/erpnext/erpnext/hr/utils.py,Future dates not allowed,Budoucí data nejsou povolená
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Expected Delivery Date should be after Sales Order Date,Očekávaný termín dodání by měl být po datu objednávky
apps/erpnext/erpnext/stock/report/itemwise_recommended_reorder_level/itemwise_recommended_reorder_level.py,Reorder Level,Změna pořadí Level
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.py,Chart Of Accounts Template,Účtový rozvrh šablony
DocType: Attendance,Attendance Date,Účast Datum
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Update stock must be enable for the purchase invoice {0},Aktualizace akcií musí být povolena pro nákupní fakturu {0}
apps/erpnext/erpnext/stock/get_item_details.py,Item Price updated for {0} in Price List {1},Položka Cena aktualizován pro {0} v Ceníku {1}
,DATEV,DATEV
DocType: Salary Structure,Salary breakup based on Earning and Deduction.,Plat rozpad na základě Zisk a dedukce.
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with child nodes cannot be converted to ledger,Účet s podřízenými uzly nelze převést na hlavní účetní knihu
DocType: Purchase Invoice Item,Accepted Warehouse,Schválený sklad
DocType: Bank Reconciliation Detail,Posting Date,Datum zveřejnění
DocType: Item,Valuation Method,Metoda ocenění
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.js,One customer can be part of only single Loyalty Program.,Jeden zákazník může být součástí pouze jednoho loajálního programu.
apps/erpnext/erpnext/hr/doctype/employee_attendance_tool/employee_attendance_tool.js,Mark Half Day,Mark Půldenní
DocType: Sales Invoice,Sales Team,Prodejní tým
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Duplicate entry,Duplicitní záznam
apps/erpnext/erpnext/accounts/doctype/bank_guarantee/bank_guarantee.py,Enter the name of the Beneficiary before submittting.,Před odesláním zadejte jméno příjemce.
DocType: Program Enrollment Tool,Get Students,Získat studenty
apps/erpnext/erpnext/accounts/doctype/bank_statement_transaction_entry/bank_statement_transaction_entry.py,Bank Data mapper doesn't exist,Mapovač bankovních dat neexistuje
DocType: Serial No,Under Warranty,V rámci záruky
DocType: Homepage Section,Number of columns for this section. 3 cards will be shown per row if you select 3 columns.,"Počet sloupců pro tuto sekci. Pokud vyberete 3 sloupce, zobrazí se 3 karty na řádek."
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,[Error],[Chyba]
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.js,Reconcile Entries,Smíření položek
DocType: Sales Order,In Words will be visible once you save the Sales Order.,"Ve slovech budou viditelné, jakmile uložíte prodejní objednávky."
,Employee Birthday,Narozeniny zaměstnance
apps/erpnext/erpnext/assets/doctype/asset_repair/asset_repair.py,Please select Completion Date for Completed Repair,Zvolte datum dokončení dokončené opravy
DocType: Student Batch Attendance Tool,Student Batch Attendance Tool,Student Batch Účast Tool
apps/erpnext/erpnext/controllers/status_updater.py,Limit Crossed,Limit zkříženými
apps/erpnext/erpnext/education/report/assessment_plan_status/assessment_plan_status.js,Scheduled Upto,Naplánováno až
apps/erpnext/erpnext/hr/doctype/shift_type/shift_type.js,Attendance has been marked as per employee check-ins,Docházka byla označena podle odbavení zaměstnanců
DocType: Woocommerce Settings,Secret,Tajný
DocType: Plaid Settings,Plaid Secret,Plaid Secret
DocType: Company,Date of Establishment,Datum založení
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Venture Capital,Venture Capital
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,An academic term with this 'Academic Year' {0} and 'Term Name' {1} already exists. Please modify these entries and try again.,Akademický termín s tímto &quot;akademický rok &#39;{0} a&quot; Jméno Termín&#39; {1} již existuje. Upravte tyto položky a zkuste to znovu.
apps/erpnext/erpnext/stock/doctype/item/item.py,"As there are existing transactions against item {0}, you can not change the value of {1}",Stejně jako existují nějaké transakce proti položce {0} nelze změnit hodnotu {1}
DocType: UOM,Must be Whole Number,Musí být celé číslo
DocType: Campaign Email Schedule,Send After (days),Odeslat po (dny)
DocType: Leave Control Panel,New Leaves Allocated (In Days),Nové Listy Přidělené (ve dnech)
DocType: Purchase Invoice,Invoice Copy,Kopie faktury
apps/erpnext/erpnext/maintenance/doctype/maintenance_visit/maintenance_visit.py,Serial No {0} does not exist,Pořadové číslo {0} neexistuje
DocType: Sales Invoice Item,Customer Warehouse (Optional),Zákaznický sklad (volitelně)
DocType: Blanket Order Item,Blanket Order Item,Dekorační objednávka zboží
DocType: Pricing Rule,Discount Percentage,Sleva v procentech
apps/erpnext/erpnext/stock/page/stock_balance/stock_balance.js,Reserved for sub contracting,Vyhrazeno pro uzavření smlouvy
DocType: Payment Reconciliation Invoice,Invoice Number,Číslo faktury
DocType: Shopping Cart Settings,Orders,Objednávky
DocType: Travel Request,Event Details,Podrobnosti události
DocType: Department,Leave Approver,Schvalovatel absenece
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Please select a batch,Vyberte dávku
DocType: Sales Invoice,Redemption Cost Center,Centrum nákupních nákladů
DocType: QuickBooks Migrator,Scope,Rozsah
DocType: Assessment Group,Assessment Group Name,Název skupiny Assessment
DocType: Manufacturing Settings,Material Transferred for Manufacture,Převádí jaderný materiál pro Výroba
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.js,Add to Details,Přidat do podrobností
