Pension Funds,年金基金
"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.",すべてのSales Transactionsに適用できる標準税テンプレート。このテンプレートには、税額控除の一覧、および &quot;Shipping&quot;、 &quot;Insurance&quot;、 &quot;Handling&quot;などのその他の経費/収入の見積もりの一覧を含めることができます。アイテム**料金が異なる**アイテム**がある場合は、**アイテム**マスターの**アイテム税**表に追加する必要があります。 ####列の説明1.計算タイプ： - これは** Net Total **（基本額の合計です）に設定できます。 -  **前の行の合計/金額**（累積税金または請求額用）。このオプションを選択すると、税は前の行（税テーブル内）の金額または合計に対する割合として適用されます。 -  **実際の**（前述のとおり） 2.アカウントヘッド：この税が予約されるアカウント元帳3.コストセンター：税/請求が所得（配送料など）または経費である場合は、コストセンターに対して予約する必要があります。 4.説明：税の説明（請求書/見積書に印刷されます）。 5.料金：税率です。金額：税額。 7.合計：この時点までの累積合計。 8. Enter Row： &quot;Previous Row Total&quot;に基づいている場合は、この計算の基準となる行番号を選択できます（デフォルトは前の行です）。 9.この税金は基本レートに含まれていますか：これをチェックすると、この税金は商品テーブルの下に表示されず、メイン商品テーブルの基本レートに含まれることになります。これは、顧客に一律価格（すべての税金を含む）の価格を与えたい場合に便利です。
To Date must be greater than From Date,終了日は開始日より大きくなければなりません
Parent Customer Group,親顧客グループ
Prices will not be shown if Price List is not set,価格表が設定されていない場合、価格は表示されません
ERPNext Settings,ERPNextの設定
Time Sheet for manufacturing.,製造用タイムシート
Student Language,学生の言語
Please set the Payment Schedule,支払いスケジュールを設定してください
Name of Organizer,主催者の名前
Please set Depreciation related Accounts in Asset Category {0} or Company {1},資産カテゴリ{0}または会社{1}に減価償却関連勘定を設定してください。
Setup cheque dimensions for printing,印刷用チェック寸法の設定
"If you have any questions, please get back to us.",ご質問がありましたら、私たちに戻ってください。
Purchase Receipt {0} is not submitted,購入領収書{0}は送信されません
Total Expense Claim (via Expense Claim),総経費請求（経費請求による）
Quality Goal,品質目標
Support Portal,サポートポータル
End date of task <b>{0}</b> cannot be less than <b>{1}</b> expected start date <b>{2}</b>,タスク<b>{0}の</b>終了日を<b>{1}</b>予想開始日<b>{2}</b>より小さくすることはできません
Employee {0} is on Leave on {1},従業員{0}は在籍しています{1}に在籍します
Held On,開催日
Practitioner Schedules,施術者スケジュール
Begin On (Days),開始日（日）
"If enabled, then system will create the material even if the raw materials are available",有効にした場合、原材料が利用可能であってもシステムは材料を作成します
Work Order has been {0},作業指示は{0}です
Admission Schedule Date,入学予定日
Asset Value Adjustment,資産価値調整
Supplies made to Unregistered Persons,未登録の人への供給
All Jobs,すべての仕事
Appointment Type,予約タイプ
Allow Overtime,残業を許可する
Available Qty at Warehouse,倉庫で利用可能な数量
Sales Invoice Item,売上請求明細
HR,人事
Assessment Terms,評価用語
Increment for Attribute {0} cannot be 0,属性{0}の増分は0にできません
Carry Forward,繰り越す
Dependent Task,従属タスク
Allowed To Transact With,との取引を許可
Become a Seller,売り手になる
Bank Reconciliation,銀行勘定調整
Types of activities for Time Logs,タイムログの活動の種類
POS Closing Voucher Invoices,POS締め伝票請求書
AB Negative,ABネガティブ
Budget Detail,予算詳細
Normal reference range for an adult is 16–20 breaths/minute (RCP 2012),成人の通常の参照範囲は16〜20呼吸/分です（RCP 2012）
Sales Orders,販売注文
Create Journal Entry,仕訳伝票の登録
Secured Loans,担保ローン
To Shareholder,株主の皆様へ
Maintenance Schedule,メンテナンススケジュール
"chapters/chapter_name
leave blank automatically set after saving chapter.",chapters / chapter_nameは、章を保存した後に自動的に設定された空白のままにします。
Payment Success Url,支払い成功URL
Delivered Amount,納入額
Min Amt can not be greater than Max Amt,最小金額を最大金額より大きくすることはできません
Salary Structure not found for employee {0} and date {1},従業員{0}および日付{1}の給与構造が見つかりません
