Pension Funds,Fundusze emerytalne
All Contacts.,Wszystkie kontakty.
Used Leaves,Używane liście
The field From Shareholder cannot be blank,Pole From Shareholder nie może być puste
Brand Defaults,Domyślne marki
Depends on Tasks,Zależy od zadań
Healthcare Settings,Ustawienia opieki zdrowotnej
{0} Student Groups created.,{0} Utworzono grupy studentów.
Register,Zarejestrować
"This warehouse will be used to create Sale Orders. The fallback warehouse is ""Stores"".",Ten magazyn będzie używany do tworzenia zleceń sprzedaży. Magazyn zapasowy to „Sklepy”.
Oil Change,Wymiana oleju
Project User,Użytkownik projektu
Assessment,Oszacowanie
Price Discount Slabs,Płyty z rabatem cenowym
New Customers,Nowi Klienci
Total Expense Claim (via Expense Claims),Roszczenie o całkowity koszt (za pośrednictwem roszczeń dotyczących wydatków)
Other Details,Inne szczegóły
Cannot change Attributes after stock transaction. Make a new Item and transfer stock to the new Item,Nie można zmienić atrybutów po transakcji magazynowej. Zrób nowy przedmiot i przenieś zapasy do nowego przedmiotu
Employees HTML,Pracownicy HTML
Stop users from making Leave Applications on following days.,Powstrzymaj użytkowników przed wysyłaniem aplikacji w kolejne dni.
Ignore,Ignorować
Sales Person Target Variance Based On Item Group,Zmienna docelowa osoby sprzedaży na podstawie grupy pozycji
Current Academic Year,Aktualny rok akademicki
Submit/Reconcile Payments,Prześlij / Uzgodnij płatności
Set Advances and Allocate (FIFO),Ustaw zaliczki i przydziel (FIFO)
Item to be manufactured or repacked,Przedmiot do produkcji lub przepakowania
New Cart,Nowy koszyk
MAT-PRE-.YYYY.-,MAT-PRE-.YYYY.-
Please select Sample Retention Warehouse in Stock Settings first,Najpierw wybierz Magazyn przechowywania próbek w Ustawieniach magazynowych
Result Format,Format wyniku
Heads (or groups) against which Accounting Entries are made and balances are maintained.,"Głowice (lub grupy), w stosunku do których dokonywane są zapisy księgowe i utrzymywane są salda."
Material Request used to make this Stock Entry,Żądanie materiałowe użyte do wprowadzenia tego zapasu
Link to material requests,Link do żądań materiałów
Unsecured Loans,Pożyczki niezabezpieczone
Add Customers,Dodaj klientów
Default Finished Goods Warehouse,Domyślna hurtownia towarów gotowych
Grant Description,Opis dotacji
"Weight is mentioned,\nPlease mention ""Weight UOM"" too","Wspomina się o wadze, proszę wspomnieć o „wadze UOM”"
{0} {1} is disabled,{0} {1} jest wyłączone
Contract Period,Okres umowy
Please enter Item Code to get Batch Number,"Wprowadź kod przedmiotu, aby uzyskać numer partii"
Is Working Capital,Jest kapitałem obrotowym
Missing email template for dispatch. Please set one in Delivery Settings.,Brak szablonu e-mail do wysyłki. Ustaw jeden w Ustawieniach dostawy.
MAT-PAC-.YYYY.-,MAT-PAC-.YYYY.-
"Scorecard variables can be used, as well as:
{total_score} (the total score from that period),
{period_number} (the number of periods to present day)
","Można użyć zmiennych karty wyników, a także: {total_score} (łączny wynik z tego okresu), {numer_pozycji} (liczba okresów do dnia dzisiejszego)"
Value Or Qty,Wartość lub ilość
Please register the SIREN number in the company information file,Zarejestruj numer SIREN w pliku z informacjami o firmie
Check this to enable a scheduled Daily synchronization routine via scheduler,"Zaznacz to, aby włączyć zaplanowaną codzienną procedurę synchronizacji za pomocą harmonogramu"
Declarations,Deklaracje
Backflush Raw Materials Based On,Backflush Surowce oparte na
Distance from top edge,Odległość od górnej krawędzi
Job Description,Opis pracy
"Can not filter based on Voucher No, if grouped by Voucher","Nie można filtrować na podstawie numeru kuponu, jeśli jest pogrupowany według kuponu"
Received and Accepted,Otrzymane i zaakceptowane
Negative Valuation Rate is not allowed,Ujemna stopa wyceny nie jest dozwolona
"The user that will be used to create Customers, Items and Sales Orders. This user should have the relevant permissions.","Użytkownik, który będzie używany do tworzenia klientów, towarów i zleceń sprzedaży. Ten użytkownik powinien mieć odpowiednie uprawnienia."
Create Purchase Order,Utwórz zamówienie zakupu
Define budget for a financial year.,Zdefiniuj budżet na rok budżetowy.
Accounts table cannot be blank.,Tabela kont nie może być pusta.
Payment Period Based On Invoice Date,Okres płatności na podstawie daty faktury
Installation date cannot be before delivery date for Item {0},Data instalacji nie może być wcześniejsza niż data dostawy dla przedmiotu {0}
Link to Material Request,Link do wniosku o materiał
From Company,Z firmy
Mapped Data Type,Zmapowany typ danych
Row {0}: An Reorder entry already exists for this warehouse {1},Wiersz {0}: istnieje już pozycja ponownego zamówienia dla tej hurtowni {1}
Doc Date,Data Doc
Distribution Name,Nazwa dystrybucji
Group to Non-Group,Group to Non-Group
Update in progress. It might take a while.,Aktualizacja w toku. To może chwilę potrwać.
"Example: ABCD.#####
If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.","Przykład: ABCD. ##### Jeśli seria jest ustawiona i numer seryjny nie jest wymieniony w transakcjach, zostanie utworzony automatyczny numer seryjny na podstawie tej serii. Jeśli zawsze chcesz wyraźnie podać numery seryjne dla tego przedmiotu. pozostaw to pole puste."
Stock Entry (Outward GIT),Wjazd na giełdę (GIT zewnętrzny)
Processing Party Addresses,Adresy stron przetwarzających
Delivery Note Required,Wymagana nota dostawy
Sales Partner,Partner handlowy
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.","Wpis księgowy zamrożony do tej daty, nikt nie może dokonać / zmienić wpisu z wyjątkiem roli określonej poniżej."
Fuel Qty,Ilość paliwa
Guardian1 Mobile No,Guardian1 Mobile Nie
Disbursed,Wypłacone
Net Change in Accounts Payable,Zmiana netto w rachunkach płatniczych
Not Available,Niedostępne
Part-time,W niepełnym wymiarze godzin
Delivery,Dostawa
Student Group Creation Tool Course,Kurs narzędzia tworzenia grup studentów
Allocated amount cannot be greater than unadjusted amount,Kwota przydzielona nie może być większa niż kwota nieskorygowana
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,"Trzeci dystrybutor / dealer / agent prowizyjny / partner / reseller, który sprzedaje produkty firmom za prowizję."
Original Item,Oryginalny przedmiot
Series is mandatory,Seria jest obowiązkowa
Potential opportunities for selling.,Potencjalne możliwości sprzedaży.
Show PDC in Print,Pokaż PDC w druku
Shopify Supplier,Shopify dostawca
POS Profile User,Użytkownik profilu POS
Middle Name,Drugie imię
Sales Person Name,Nazwa osoby sprzedającej
Gross Weight,Waga brutto
Bill No,Bill Nie
New Location,Nowa lokalizacja
Project wise Stock Tracking,Projekt mądry Śledzenie zapasów
HR-VLOG-.YYYY.-,HR-VLOG-.YYYY.-
A+,A +
Service Level Agreement,Umowa o poziomie usług
Please select Employee and Date first,Najpierw wybierz pracownika i datę
Item valuation rate is recalculated considering landed cost voucher amount,Stawka wyceny przedmiotu jest przeliczana z uwzględnieniem kwoty kuponu kosztów wyładunku
Employee Detail,Szczegóły pracownika
Vouchers,Kupony
Guardian Details,Szczegóły strażnika
eg: frappe.myshopify.com,np .: frappe.myshopify.com
"Email Address must be unique, already exists for {0}","Adres e-mail musi być unikalny, istnieje już dla {0}"
Match Payments with Invoices,Dopasuj płatności do faktur
Weekly Off,Co tydzień wyłączone
Not allow to set alternative item for the item {0},Nie zezwalaj na ustawienie alternatywnego elementu dla przedmiotu {0}
Program {0} does not exist.,Program {0} nie istnieje.
You cannot edit root node.,Nie możesz edytować węzła głównego.
Student Category,Kategoria ucznia
"Item {0}: {1} qty produced, ","Pozycja {0}: {1} ilość wyprodukowana,"
Identification Document Type,Typ dokumentu identyfikacyjnego
Insufficient Stock,Niewystarczające zapasy
Row {0}: Conversion Factor is mandatory,Wiersz {0}: Współczynnik konwersji jest obowiązkowy
Purchase Receipt Required,Wymagany zakup paragonu
BOM Rate,BOM Rate
Invalid GSTIN! The check digit validation has failed. ,Nieprawidłowy GSTIN! Sprawdzanie poprawności cyfry sprawdzającej nie powiodło się.
Max working hours against Timesheet,Maksymalny czas pracy w stosunku do grafiku
Include holidays in Total no. of Working Days,Uwzględnij wakacje w sumie nie. dni roboczych
Quality Meeting,Spotkanie jakościowe
Consulting,Ordynacyjny
Default Payment Request Message,Wiadomość o domyślnym żądaniu płatności
GSTIN Email Sent On,GSTIN Email Sent On
Enable Scheduled Synch,Włącz zaplanowaną synchronizację
Please select Employee,Wybierz pracownika
"If checked, a customer will be created, mapped to Patient.
Patient Invoices will be created against this Customer. You can also select existing Customer while creating Patient.","Jeśli zaznaczone, klient zostanie utworzony, zmapowany do Pacjenta. Na tym kliencie zostaną utworzone faktury pacjenta. Możesz także wybrać istniejącego Klienta podczas tworzenia Pacjenta."
Stock User,Użytkownik giełdowy
Service Level Agreement.,Umowa o poziomie usług.
Date on which this component is applied,Data zastosowania tego komponentu
List of available Shareholders with folio numbers,Lista dostępnych Akcjonariuszy z numerami folio
Setup Gateway accounts.,Konfiguracja kont bramy.
Response Time Period,Okres czasu odpowiedzi
Purchase Taxes and Charges,Kupuj podatki i opłaty
Activity Date,Data aktywności
Select or add new customer,Wybierz lub dodaj nowego klienta
Unfulfilled,Niespełnione
Read blog,Czytaj blog
Project Value,Wartość projektu
Expected Time (in hours),Oczekiwany czas (w godzinach)
Updating Variants...,Aktualizowanie wariantów ...
Show Sales Person in Print,Pokaż osobę sprzedaży w druku
Per Year,Na rok
Admitted Datetime,Przyjęta data
Tax Template is mandatory.,Szablon podatkowy jest obowiązkowy.
Patient,Cierpliwy
Costing Amount,Kwota kalkulacji
Add / Edit Prices,Dodaj / edytuj ceny
Non-GST outward supplies,Dostawy zewnętrzne spoza GST
Row {0}: From time must be less than to time,Wiersz {0}: Od czasu musi być mniej niż do czasu
User {0} is already assigned to Employee {1},Użytkownik {0} jest już przypisany do pracownika {1}
Form View,Widok formularza
Auto Repeat Section,Automatyczna sekcja powtarzania
Select company name first.,Najpierw wybierz nazwę firmy.
Financial Year,Rok budżetowy
Deferred Revenue,Odroczone przychody
Atleast one of the Selling or Buying must be selected,Należy wybrać co najmniej jedną ze sprzedaży lub zakupu
Item-wise Purchase History,Historia zakupów pod kątem przedmiotu
Cannot change Service Stop Date for item in row {0},Nie można zmienić daty zakończenia usługi dla elementu w wierszu {0}
Include Subcontracted Items,Dołącz przedmioty podwykonawców
Max Benefits (Amount),Maksymalne korzyści (kwota)
Hero Section,Sekcja bohatera
Where manufacturing operations are carried.,Gdzie prowadzone są operacje produkcyjne.
Dispatch Notification,Powiadomienie o wysyłce
Timesheets,Ewidencja czasu pracy
Get current stock,Uzyskaj aktualne zapasy
Expense,Koszt
{0} asset cannot be transferred,{0} Nie można przenieść aktywa
Unpaid Expense Claim,Roszczenie niezapłaconego wydatku
Family Background,Tło rodziny
Bonus Payment Date cannot be a past date,Data płatności premii nie może być datą z przeszłości
No {0} found for Inter Company Transactions.,Nie znaleziono {0} dla transakcji między przedsiębiorstwami.
Party Type,Typ imprezy
Finish,koniec
C-Form Applicable,C-Form Dotyczy
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Saldo konta już w debecie, nie możesz ustawić „Saldo musi być” jako „Kredyt”"
Row #{0}: Qty increased by 1,Wiersz # {0}: Ilość zwiększona o 1
Set targets Item Group-wise for this Sales Person.,Ustaw cele Element Grupuj dla tej osoby sprzedaży.
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-
Student Mobile Number,Student Mobile Number
Academic Year: ,Rok akademicki:
Please set Naming Series for {0} via Setup &gt; Settings &gt; Naming Series,Ustaw Naming Series dla {0} za pomocą Setup&gt; Settings&gt; Naming Series
"As per the Buying Settings if Purchase Order Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Order first for item {0}","Zgodnie z ustawieniami zakupu, jeśli wymagane jest zamówienie zakupu == „TAK”, w przypadku tworzenia faktury zakupu użytkownik musi najpierw utworzyć zamówienie zakupu dla przedmiotu {0}"
To Value,Cenić
Please add the account to root level Company - ,Dodaj konto do poziomu głównego firmy -
Number of Days in Fiscal Year,Liczba dni w roku podatkowym
Total Amount Currency,Całkowita kwota waluty
Allow Same Item Multiple Times,Zezwalaj na wiele razy tego samego przedmiotu
Create BOM,Utwórz zestawienie komponentów
Charges,Opłaty
Personal Details,Dane osobowe
Billing and Delivery Status,Stan fakturowania i dostawy
Row {0}: For supplier {0} Email Address is required to send email,Wiersz {0}: dla dostawcy {0} adres e-mail jest wymagany do wysłania wiadomości e-mail
Cash Flow from Investing,Przepływ środków pieniężnych z inwestycji
Approving Role cannot be same as role the rule is Applicable To,"Zatwierdzenie roli nie może być takie samo jak rola, do której ma zastosowanie reguła"
Crop Spacing,Odstępy między uprawami
How often should project and company be updated based on Sales Transactions.,Jak często projekt i firma powinny być aktualizowane na podstawie transakcji sprzedaży.
Period Settings,Ustawienia okresu
Net Change in Accounts Receivable,Zmiana netto należności
For Quantity must be greater than zero,Dla Ilość musi być większa niż zero
Goal Objectives,Cele celu
