Pension Funds,የጡረታ ፈንዶች
Cash Entry,የገንዘብ ገቢ
GST Settings,የ GST ቅንጅቶች
Item-wise Sales Register,ንጥል-አግባብ ያለው የሽያጭ ንግድ መዝገብ
Item has variants.,ንጥሉ የተለያዩ ነገሮች አሉት.
Difference Amount must be zero,ልዩነት መጠን ዜሮ መሆን አለበት
Institution,ተቋም
Tobacco Current Use,የትምባሆ ወቅታዊ አጠቃቀም
Setup your ,ያቀናብሩ
Payment Entry Deduction,የክፍያ ማስገባት ቅነሳ
"Row #{0}: The batch {1} has only {2} qty. Please select another batch which has {3} qty available or split the row into multiple rows, to deliver/issue from multiple batches",ረድፍ # {0}: ቡት {1} ያለው {2} qty ብቻ ነው. እባክዎ ከበርካታ ስብስቦች ለማቅረብ / ለማስተላለፍ ረድፍ በያዘው ሌላ {3} qty ያለው ቡድን ይምረጡ ወይም ረድፍ ወደ ብዙ ረድፎች ይከፍሉ.
Procedure,ሂደት
Total Stock Summary,አጠቃላይ የአክሲዮን ማጠቃለያ
Additional Discount,ተጨማሪ የዋጋ ቅናሽ
Patient Name By,የታካሚ ስም በ
Rate / UOM,ደረጃ / ዩሞ
Job Offer Terms,የስራ አቅርቦት ውሎች
Debit Amount in Account Currency,ሂሳብ መጠን በመለያ ምንዛሬ
{0} must appear only once,{0} አንድ ጊዜ ብቻ ነው መታየት ያለበት
Expense / Difference account ({0}) must be a 'Profit or Loss' account,የወጪ / ልዩነት ሂሳብ ({0}) &#39;የ&#39; ትርፍ ወይም ኪሳራ &#39;መለያ መሆን አለበት
Row No {0}: Amount cannot be greater than Pending Amount against Expense Claim {1}. Pending Amount is {2},ረድፍ ቁጥር {0}: መጠን ከአሳሽ ክፍያ ጋር ከተያዘው መጠን በላይ መሆን አይችልም. {1}. ሂሳብ በመጠባበቅ ላይ ነው {2}
Earnest Money,እውነተኛ ገንዘብ
All Supplier scorecards.,ሁሉም የአቅራቢ መለኪያ ካርዶች.
Terms and Conditions Details,የአገልግሎት ውል ዝርዝሮች
Get Entries,ግቤቶችን ያግኙ
Service Item,የአገልግሎት ንጥል
Customer's Purchase Order,የደንበኛ ግዢ ትእዛዝ
Syntax error in formula or condition: {0},በቀመር ውስጥ ወይም ሁኔታ ውስጥ የአገባብ ስህተት: {0}
Agriculture User,የግብርና ተጠቃሚ
Please enter Reqd by Date,እባክዎ በቀን Reqd ያስገባሉ
Total Monthly Sales,ጠቅላላ የወጪ ሽያጭ
Monthly Distribution Percentage,ወርሃዊ ስርጭት መቶኛ
Reconciliation JSON,ማስታረቅ JSON
No Item with Barcode {0},በአሞሌ ኮድ የለም {0}
Scrapped,ተፍቷል
Delivery Trip,የመላኪያ ጉዞ
Application Fee,የማመልከቻ ክፍያ
Sales orders are not available for production,የሽያጭ ትዕዛዞች ለምርት አይገኙም
Attribute,ባህሪ
Rename Log,ምዝግብ ማስታወሻን እንደገና ሰይም
'Based On' and 'Group By' can not be same,&#39;Based on&#39; እና &#39;Group By&#39; ሊሆኑ አይችሉም
Show Ageing Warehouse-wise,የእርጅና መገልገያ ቁሳቁሶችን አሳይ
Write Off Outstanding Amount,ያልተከፈለ ገንዘብን ጻፍ
Employee Details,የሰራተኛ ዝርዝሮች
Start Time can't be greater than End Time for {0}.,የመጀመሪያ ጊዜ ከ {0} ማብቂያ ጊዜ በላይ መሆን አይችልም.
Discount Amount,የቅናሽ መጠን
Item Details,የንጥል ዝርዝሮች
From Delivery Note,ከማላከቻ ማስታወሻ
Holiday,የበዓል ቀን
Line spacing for amount in words,የገንዘብ መጠን በቃላት መካከል ያለው መስመር አዘራዘር
Item Group Defaults,የቡድን ቡድን ነባሪዎች
Abbr,አቡ
Warranty Claim against Serial No.,በ Serial No. ላይ ያለ ዋስትና
Quality,ጥራት
{0} is not a stock Item,{0} የአክሲዮን ዕቃ አይደለም
Raw Materials Supplied Cost,የተፈጥሮ ዕቃዎች ወጪ ነው
Permanent Address,ቀዋሚ አድራሻ
Booked Fixed Asset,የተመዘገበው ቋሚ ንብረት
Your tickets,የእርስዎ ቲኬቶች
Create Supplier Quotation,የአቅራቢ ትዕዛዝ ፍጠር
Inspection Required before Purchase,ከመግዛትዎ በፊት ምርመራ አስፈላጊ ነው
Payment Ordered,ክፍያ ትዕዛዝ ተሰጥቷል
"There seems to be an issue with the server's GoCardless configuration. Don't worry, in case of failure, the amount will get refunded to your account.","በአገልጋዩ የ GoCardless ውቅረት ላይ ችግር ያለ ይመስላል. አትጨነቅ, ካልተሳካ, ገንዘቡ ወደ ሂሳብህ ተመላሽ ይደረጋል."
"Payment Mode is not configured. Please check, whether account has been set on Mode of Payments or on POS Profile.",የክፍያ ሁኔታ አልተዋቀረም. እባክዎ መክፈል በሂሳብ አከፋፈል ሁኔታ ላይ ወይም በ POS ዝርዝር ላይ ይመልከቱ እንደሆነ ያረጋግጡ.
Purchase Orders Items Overdue,የግዢ ትዕዛዞችን ያለፈባቸው ናቸው
Inspection Required,ምርመራ ያስፈልጋል
{0} {1} is cancelled so the action cannot be completed,{0} {1} ተሰርዟል ስለዚህ እርምጃው ሊጠናቀቅ አልቻለም
Project Template Task,የፕሮጀክት ቅንብር ስራ
Circular Reference Error,የማስታወሻ ማጣቀሻ ስህተት
{0} {1}: 'Profit and Loss' type account {2} not allowed in Opening Entry,{0} {1}: በመክፈቻው ውስጥ &#39;የ &quot;ትርፍ እና የማጣት&quot; {2} አይፈቀዱም
Cross Listing of Item in multiple groups,የእቃ ዕቃ ዝርዝር በበርካታ ቡድኖች ውስጥ
Account with existing transaction cannot be converted to ledger,በነባር የገንዘብ ዝውውር ሂሳብ ወደ ለሽርሽር ሊቀየር አይችልም
Display Items In Stock,እቃዎችን በእቃ ውስጥ አሳይ
Service Level,የአገልግሎት ደረጃ
"Other outward supplies(Nil rated,Exempted)","ሌሎች የውጪ አቅርቦቶች (Nile ደረጃ የተሰጠው, ነጻ የተደረገ)"
TDS Payable Monthly,TDS የሚከፈል ወርሃዊ
Please select Posting Date before selecting Party,ድግሱን ከመምረጥዎ በፊት እባክዎ የመለጠፍ ቀን ይምረጡ
GST Purchase Register,GST ግዥ ይመዝገቡ
Automatically Add Taxes and Charges from Item Tax Template,በራስ-ሰር ከየክፍሪያ ግብር ቅፅ ላይ ግብሮችን እና ክፍሎችን ያክሉ
Stock Options,የገበያ አማራጮች
Healthcare Schedule Time Slot,የጤና እንክብካቤ የዕቅድ ሰአት
Tap items to add them here,እዚህ ለመጨመር ንጥሎችን መታ ያድርጉ
Invoice Portion,የገንዘብ መጠየቂያ ደረሰኝ
Tax Category for overriding tax rates.,የግብር ተመንን ለመተካት የክፍያ ምድብ.
Retained Earnings,ያገኙት ገቢዎች
Requested Amount,የተጠየቀው መጠን
Additional Amount,ተጨማሪ መጠን
Quiz Configuration,የጥያቄ አወቃቀር
General,አጠቃላይ
Annual Expenses,ዓመታዊ ወጪዎች
Expected End Date can not be less than Expected Start Date,የሚጠበቀው መጨረሻ ቀን ከተጠበቀው የጀመሪ ቀን ያነሰ መሆን አይችልም
Disable In Words,በቃላት አሰናክል
CUST-.YYYY.-,CUST-yYYYY.-
Net pay cannot be negative,የተጣራ ደሞዝ አሉታዊ ሊሆን አይችልም
No of Interactions,የበስተጀርባዎች ብዛት
Row {0}# Item {1} cannot be transferred more than {2} against Purchase Order {3},ረድፍ {0} # ንጥል {1} ከ {2} በላይ የግዢ ትዕዛዝ {3} ን ማስተላለፍ አይቻልም
Processing Chart of Accounts and Parties,የሂሳቦችን እና ፓርቲዎችን ያቀናብሩ
Convert Item Description to Clean HTML,የኤች ቲ ኤም ኤልን የንጥል መግለጫ ቀይር
All Supplier Groups,ሁሉም አቅራቢ ድርጅቶች
Final Assessment Grades,የመጨረሻ ፈተናዎች ደረጃዎች
Cannot close task {0} as its dependant task {1} is not closed.,ተግባር {0} እንደ የእሱ ጥገኛ ተግባሩ {1} አለመዘጋት አይቻልም.
Promotional Scheme Price Discount,የማስተዋወቂያ እቅድ ዋጋ ቅነሳ
Installation Note,የአጫጫን ማስታወሻ
Application Form Route,የመተግበሪያ ቅጽ መስመር
Planned Operating Cost,የታቀደ የትግበራ ወጭ
Colour,ቀለም
{0} is not in Optional Holiday List,{0} በአማራጭ የዕረፍት ዝርዝር ውስጥ አይደለም
Show Marks,ማርቆችን አሳይ
Max Benefit Amount (Yearly),ከፍተኛ ጥቅማ ጥቅም መጠን (ዓመታዊ)
Depreciation Row {0}: Next Depreciation Date cannot be before Purchase Date,የዝቅተኛ ዋጋ ረድፍ {0}: የቀጣዩ ቀን ማስተካከያ ቀን ከግዢ ቀን በፊት ሊሆን አይችልም
Customer Group,የደንበኛ ቡድን
Fiscal Year Start Date should be one year earlier than Fiscal Year End Date,የፊስካል ዓመት መጀመሪያ ቀን ከ Fiscal Year End End ቀን አንድ ዓመት በፊት መሆን አለበት
BOM Items and Scraps,የቦታ እቃዎች እና ስክራፕስ
High Sensitivity,ከፍተኛ ስውር
Apply Discount on Rate,በአመለካከት ላይ ቅናሽ ተግብር
"Update BOM cost automatically via Scheduler, based on latest valuation rate / price list rate / last purchase rate of raw materials.",በቅርብ ጊዜ የተመን ዋጋ / የዋጋ ዝርዝር / በመጨረሻው የጥሬ ዕቃ ዋጋ ላይ በመመርኮዝ BOM በጊዜ መርሐግብር በኩል የሚከፈል ይሆናል.
Tally Company,Tally Company
Quiz Question,የጥያቄ ጥያቄ
Task Depends On,ተግባር የሚያካሂደው
Lead Id,መሪ መታወቂያ
Subscription Plan Detail,የደንበኝነት ምዝገባ ዕቅድ ዝርዝር
Created {0} scorecards for {1} between: ,በ {1} መካከል {0} የካታኬት ካርዶች ተፈጥረዋል በ:
This Week's Summary,የዚህ ሳምንት ማጠቃለያ
Pricing Rule Item Code,የዋጋ አሰጣጥ ደንብ እሴት
Storage Temperature,የማከማቻ ሙቀት
Direct Income,ቀጥተኛ ገቢ
Amt,ኤም
Sales Analytics,የሽያጭ ትንታኔ
Total Billable Amount (via Timesheets),ጠቅላላ የክፍያ መጠን (በዳብያ ወረቀቶች በኩል)
Domains,ጎራዎች
"Not permitted, configure Lab Test Template as required","አልተፈቀደም, እንደ አስፈላጊነቱ የቤተ ሙከራ ሙከራ ቅንብርን ያዋቅሩ"
Default Unit of Measure,ልኬት ነባሪ መለኪያ
Distinct unit of an Item,የአንድ ንጥል ልዩነት
Synch Products,ምርቶችን አስምር
Path,ዱካ
Task ID,የተግባር መታወቂያ
Opening (Dr),መክፈቻ (ዶክተር)
% Completed,% ተጠናቅቋል
Commission Rate,የኮምሽናል ተመን
Central Tax,መካከለኛ ግብር
Total Outstanding Amount,አጠቃላይ የተቆራጩ መጠን
Maximum Exemption Amount,ከፍተኛው ነፃ የማውጣት መጠን
Based on price list,በዋጋ ዝርዝር ላይ ተመስርቶ
Additional Cost,ተጨማሪ ወጭ
Closing Account {0} must be of type Liability / Equity,መዝጋቢ ሂሳብ {0} የአካል ብቃት / ፍትሃዊ መሆን አለበት
Setup Company,Setup Company
Check In,ያረጋግጡ
Customer and Supplier,ደንበኛ እና አቅራቢ
Support Team,የድጋፍ ቡድን
Account {0}: You can not assign itself as parent account,መለያ {0}: እራስዎን እንደ የወላጅ መለጠፍ አይችሉም
Fixed Asset Item must be a non-stock item.,የቋሚ ንብረት ንጥል የግድ ያልሆነ ንብረት መሆን አለበት.
New Batch ID (Optional),አዲስ የቡድን መታወቂያ (ከተፈለገ)
Gantt Chart,Gantt ገበታ
Max Benefit Amount,ከፍተኛ ጥቅማጥቅሞች መጠን
{0} on Leave on {1},{0} በ ላይ ይውጡ {1}
Do you really want to restore this scrapped asset?,በእርግጥ የተሻለውን እቃ ወደነበረበት መመለስ ይፈልጋሉ?
Registration fee can not be Zero,የምዝገባ ክፍያ ዜሮ ሊሆን አይችልም
Item Tax Template,የንጥል ግብይት ቅጽ
Auto Created,በራሱ የተፈጠረ
Quality Objective,ጥራት ዒላማ
"The account head under Liability or Equity, in which Profit/Loss will be booked","በኃላፊነት ወይም በ E ኩልነት ላይ የተቀመጠው የሂሳብ ተጠያቂነት, በ ትርፍ ትርፍ / ኪሳራ ተቀማጭ የሚሆን"
Credit Amount in Account Currency,በሒሳብ ምንዛሬ ውስጥ የብድር መጠን
Employee Onboarding Activity,ተቀጣሪ ሰራተኛን እንቅስቃሴ
Parent Service Unit,የወላጅ አገልግሎት ክፍል
Include Payment (POS),ክፍያ አካት (POS)
Private Equity,የግል እሴት
Receipt Document,ደረሰኝ ሰነድ
Supplier Scorecard Period,የአገልግሎት አቅራቢ ካርድ ጊዜ
Default Salary Structure,መደበኛ የደመወዝ ስኬት
Total Gain/Loss,ጠቅላላ ገቢ / ኪሳራ
Student is already enrolled.,ተማሪው ቀድሞውኑ ተመዝግቧል.
Parent Item,የወላጅ እሴት
Brokerage,ደላላ
Please create purchase receipt or purchase invoice for the item {0},እባክዎ የግዢ ደረሰኝ ይፍጠሩ ወይም ለንጥል {0} የግዢ ደረሰኝ ይላኩ
Company Name cannot be Company,የኩባንያው ስም ኩባንያ ሊሆን አይችልም
Breakdown,መሰባበር
B Negative,ቢ አሉታዊ
Response By,ምላሽ በ
Credit To,ለ
Submit this Work Order for further processing.,ለተጨማሪ ሂደት ይህን የሥራ ትዕዛዝ ያቅርቡ.
Bank Guarantee Number,የባንክ ዋስትና ቁጥር
Delivered: {0},ደርሷል: {0}
Under Review,በ ግምገማ ላይ
Agriculture (beta),እርሻ (ቤታ)
Average Commission Rate,አማካይ የኮረንት ተመን
Customer's Purchase Order Date,የደንበኛ የግዢ ትዕዛዝ ቀን
All Contacts.,ሁሉም እውቂያዎች.
Used Leaves,ጥቅም ላይ የዋሉ ቅጾች
The field From Shareholder cannot be blank,ከአክሲዮን ባለቤት መስክ ባዶ መሆን አይችልም
Brand Defaults,የምርት መለያ ነባሪዎች
Depends on Tasks,በተግባራት ላይ ይመረመራል
Healthcare Settings,የጤና እንክብካቤ ቅንብሮች
{0} Student Groups created.,{0} የተማሪዎች ቡድኖች ተፈጥረዋል.
Register,መዝግብ
"This warehouse will be used to create Sale Orders. The fallback warehouse is ""Stores"".",ይህ መጋዘን የሽያጭ ትዕዛዞችን ለመፍጠር ጥቅም ላይ ይውላል. የወደብ መያዣው መደብር &quot;መደብሮች&quot; ነው.
Oil Change,የነዳጅ ለውጥ
Project User,የፕሮጀክት ተጠቃሚ
Assessment,ግምገማ
Price Discount Slabs,የዋጋ ቅናሽ ቅጠሎች
New Customers,አዲስ ደንበኞች
Total Expense Claim (via Expense Claims),የወጪ ደረሰኝ ይገባኛል (በወጪ ክፍያ)
Other Details,ሌሎች ዝርዝሮች
Cannot change Attributes after stock transaction. Make a new Item and transfer stock to the new Item,ከግብይት ግብይት በኋላ የባህርይ ለውጦችን መለወጥ አይቻልም. አዲስ ንጥል ያዘጋጁ እና ወደ አዲስ ንጥል ያስተላልፉ
